Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,98.314902,[314  49] ; [10 34],[288.97297297  74.02702703] ; [35.02702703  8.97297297],1
r1,1,0.0,54.823413,[271  90] ; [ 9 35],[249.58024691 111.41975309] ; [30.41975309 13.58024691],1
v4,1,0.0,53.426733,[337  25] ; [25 19],[322.76847291  39.23152709] ; [39.23152709  4.76847291],1
r3,1,0.0,30.744827,[331  31] ; [27 16],[319.99012346  42.00987654] ; [38.00987654  4.99012346],1
p10,1,9.3e-05,15.26555,[253 102] ; [18 25],[241.72110553 113.27889447] ; [29.27889447 13.72110553],1
d5,1,0.000128,14.675273,[272  90] ; [21 23],[261.24630542 100.75369458] ; [31.75369458 12.24630542],1
p9,1,0.000702,11.482813,[268  87] ; [22 21],[258.66834171  96.33165829] ; [31.33165829 11.66834171],1
a6,1,0.000907,11.008264,[255 108] ; [20 24],[245.27027027 117.72972973] ; [29.72972973 14.27027027],1
u3,1,0.001158,10.555556,[77 70] ; [ 4 20],[69.63157895 77.36842105] ; [11.36842105 12.63157895],0
a7,1,0.002336,9.265012,[261 100] ; [22 22],[252.25432099 108.74567901] ; [30.74567901 13.25432099],0
p2,1,0.002427,9.194741,[271  86] ; [24 20],[262.63092269  94.36907731] ; [32.36907731 11.63092269],0
v3,1,0.002954,8.835659,[106 242] ; [ 4 40],[ 97.65306122 250.34693878] ; [12.34693878 31.65306122],0
d1,1,0.003156,8.714951,[176 187] ; [11 33],[166.78378378 196.21621622] ; [20.21621622 23.78378378],0
n6,1,0.007362,7.182344,[279  81] ; [26 18],[271.78217822  88.21782178] ; [33.21782178 10.78217822],0
a2,1,0.008632,6.897485,[ 64 299] ; [ 1 43],[ 57.97297297 305.02702703] ; [ 7.02702703 36.97297297],0
p11,1,0.009517,6.723175,[266  97] ; [24 20],[258.64864865 104.35135135] ; [31.35135135 12.64864865],0
a5,1,0.010602,6.530815,[229 134] ; [19 25],[221.18918919 141.81081081] ; [26.81081081 17.18918919],0
b1,1,0.011199,6.433395,[127 236] ; [24 20],[134.67567568 228.32432432] ; [16.32432432 27.67567568],0
d3,1,0.015104,5.904245,[232 129] ; [20 24],[224.62222222 136.37777778] ; [27.37777778 16.62222222],0
d4,1,0.022398,5.214564,[279  83] ; [27 17],[272.83743842  89.16256158] ; [33.16256158 10.83743842],0
v1,1,0.022453,5.210348,[161 194] ; [12 32],[153.92230576 201.07769424] ; [19.07769424 24.92230576],0
a1,1,0.036109,4.391957,[ 15 348] ; [ 5 39],[ 17.83783784 345.16216216] ; [ 2.16216216 41.83783784],0
p5,1,0.044826,4.025156,[ 21 338] ; [ 6 37],[ 24.1119403 334.8880597] ; [ 2.8880597 40.1119403],0
p8,1,0.053714,3.72157,[154 202] ; [12 31],[148.11027569 207.88972431] ; [17.88972431 25.11027569],0
n4,1,0.060325,3.528417,[241 121] ; [23 21],[235.38916256 126.61083744] ; [28.61083744 15.38916256],0
a8,1,0.069855,3.286435,[ 28 307] ; [ 7 34],[ 31.18351064 303.81648936] ; [ 3.81648936 37.18351064],0
v2,1,0.072027,3.236219,[170 174] ; [15 28],[164.44444444 179.55555556] ; [20.55555556 22.44444444],0
u1,1,0.081121,3.0423,[ 38 325] ; [ 1 43],[ 34.78378378 328.21621622] ; [ 4.21621622 39.78378378],0
s6,1,0.105601,2.618854,[158 196] ; [14 30],[152.98492462 201.01507538] ; [19.01507538 24.98492462],0
p6,1,0.108753,2.572254,[ 80 273] ; [ 5 37],[ 75.96202532 277.03797468] ; [ 9.03797468 32.96202532],0
a3,1,0.108902,2.570089,[214 147] ; [20 23],[209.09405941 151.90594059] ; [24.90594059 18.09405941],0
p3,1,0.115733,2.474142,[127 233] ; [10 33],[122.382134 237.617866] ; [14.617866 28.382134],0
s3,1,0.137789,2.202476,[123 233] ; [10 33],[118.66666667 237.33333333] ; [14.33333333 28.66666667],0
s5,1,0.140428,2.173258,[ 73 279] ; [ 5 39],[ 69.33333333 282.66666667] ; [ 8.66666667 35.33333333],0
a4,1,0.172171,1.863937,[136 224] ; [12 32],[131.88118812 228.11881188] ; [16.11881188 27.88118812],0
p7,1,0.271027,1.21154,[184 170] ; [19 25],[180.55778894 173.44221106] ; [22.44221106 21.55778894],0
