Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,81.470981,[ 78 102] ; [410 108],[125.84527221  54.15472779] ; [362.15472779 155.84527221],1
d3,1,0.0,71.322585,[83 97] ; [411 107],[127.39255014  52.60744986] ; [366.60744986 151.39255014],1
a2,1,0.0,30.365162,[ 17 163] ; [156 364],[ 44.48571429 135.51428571] ; [128.51428571 391.48571429],1
b5,1,6e-06,20.486806,[81 99] ; [334 186],[106.71428571  73.28571429] ; [308.28571429 211.71428571],1
u1,1,8e-06,19.849142,[ 13 167] ; [115 405],[ 32.91428571 147.08571429] ; [ 95.08571429 424.91428571],1
d1,1,0.000213,13.712217,[90 90] ; [341 179],[110.82857143  69.17142857] ; [320.17142857 199.82857143],1
r3,1,0.00469,7.995278,[166  14] ; [503  15],[172.52148997   7.47851003] ; [496.47851003  21.52148997],0
v2,1,0.00964,6.700233,[86 86] ; [304 192],[100.41916168  71.58083832] ; [289.58083832 206.41916168],0
u3,1,0.010684,6.517113,[19 25] ; [92 50],[26.25806452 17.74193548] ; [84.74193548 57.25806452],0
r4,1,0.012317,6.26461,[161  19] ; [493  27],[168.17142857  11.82857143] ; [485.82857143  34.17142857],0
b3,1,0.015684,5.837951,[57 59] ; [109 192],[46.17745803 69.82254197] ; [119.82254197 181.17745803],0
b2,1,0.015684,5.837951,[57 59] ; [109 192],[46.17745803 69.82254197] ; [119.82254197 181.17745803],0
v4,1,0.016723,5.725219,[170   9] ; [509   9],[174.37733142   4.62266858] ; [504.62266858  13.37733142],0
d4,1,0.024298,5.073263,[139  40] ; [441  78],[148.73925501  30.26074499] ; [431.26074499  87.73925501],0
r1,1,0.030608,4.674814,[139  41] ; [436  81],[148.49354376  31.50645624] ; [426.50645624  90.49354376],0
p4,1,0.035999,4.397155,[100  79] ; [335 183],[111.71449067  67.28550933] ; [323.28550933 194.71449067],0
s5,1,0.068499,3.318632,[73 97] ; [176 325],[ 63.08494784 106.91505216] ; [185.91505216 315.08494784],0
b1,1,0.07166,3.24457,[ 74 106] ; [175 345],[ 64.02857143 115.97142857] ; [184.97142857 335.02857143],0
n5,1,0.078554,3.094562,[149  30] ; [398 119],[140.6795977  38.3204023] ; [406.3204023 110.6795977],0
