Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2e-06,22.272184,[ 6 72] ; [28 41],[18.04081633 59.95918367] ; [15.95918367 53.04081633],1
d1,1,3.4e-05,17.208108,[20 58] ; [41 28],[32.36734694 45.63265306] ; [28.63265306 40.36734694],1
a3,1,8.7e-05,15.394998,[29 49] ; [48 21],[40.85714286 37.14285714] ; [36.14285714 32.85714286],1
p4,1,0.000632,11.678922,[21 56] ; [38 31],[31.11643836 45.88356164] ; [27.88356164 41.11643836],1
d4,1,0.001193,10.501599,[46 31] ; [58 11],[54.84931507 22.15068493] ; [49.15068493 19.84931507],0
d2,1,0.001604,9.955686,[17 61] ; [32 37],[26. 52.] ; [23. 46.],0
d5,1,0.002179,9.392566,[43 34] ; [55 14],[51.68493151 25.31506849] ; [46.31506849 22.68493151],0
a6,1,0.006052,7.534694,[38 40] ; [49 20],[46.16326531 31.83673469] ; [40.83673469 28.16326531],0
p3,1,0.007301,7.197454,[14 64] ; [26 43],[21.2244898 56.7755102] ; [18.7755102 50.2244898],0
s6,1,0.011155,6.440505,[30 48] ; [41 28],[37.67346939 40.32653061] ; [33.32653061 35.67346939],0
d3,1,0.012658,6.216343,[41 35] ; [51 18],[48.22068966 27.77931034] ; [43.77931034 25.22068966],0
v2,1,0.015433,5.866324,[20 56] ; [29 34],[26.79136691 49.20863309] ; [22.20863309 40.79136691],0
u1,1,0.030006,4.708967,[ 2 76] ; [ 8 61],[ 5.30612245 72.69387755] ; [ 4.69387755 64.30612245],0
p7,1,0.043408,4.07945,[31 42] ; [41 28],[37.01408451 35.98591549] ; [34.98591549 34.01408451],0
s5,1,0.047493,3.927837,[14 62] ; [22 45],[19.13286713 56.86713287] ; [16.86713287 50.13286713],0
p10,1,0.057329,3.613018,[40 36] ; [47 22],[45.6 30.4] ; [41.4 27.6],0
r1,1,0.059186,3.560037,[42 36] ; [47 21],[47.54794521 30.45205479] ; [41.45205479 26.54794521],0
p9,1,0.076029,3.147814,[44 32] ; [49 19],[49.08333333 26.91666667] ; [43.91666667 24.08333333],0
v3,1,0.090793,2.860262,[ 9 66] ; [15 51],[12.76595745 62.23404255] ; [11.23404255 54.76595745],0
b5,1,0.10387,2.645101,[51 27] ; [36 33],[46.16326531 31.83673469] ; [40.83673469 28.16326531],0
n1,1,0.128425,2.311446,[ 6 24] ; [11 18],[ 8.6440678 21.3559322] ; [ 8.3559322 20.6440678],0
a1,1,0.131766,2.271579,[ 1 77] ; [ 4 65],[ 2.65306122 75.34693878] ; [ 2.34693878 66.65306122],0
p8,1,0.142341,2.15247,[27 50] ; [32 36],[31.33103448 45.66896552] ; [27.66896552 40.33103448],0
r4,1,0.147531,2.097596,[54 24] ; [55 14],[57.83673469 20.16326531] ; [51.16326531 17.83673469],0
s2,1,0.185876,1.750009,[25 53] ; [29 39],[28.84931507 49.15068493] ; [25.15068493 42.84931507],0
n5,1,0.240839,1.375675,[27 50] ; [18 51],[23.73287671 53.26712329] ; [21.26712329 47.73287671],0
s3,1,0.252207,1.311037,[30 48] ; [33 36],[33.42857143 44.57142857] ; [29.57142857 39.42857143],0
b3,1,0.305333,1.050756,[ 7 31] ; [10 25],[ 8.84931507 29.15068493] ; [ 8.15068493 26.84931507],0
b2,1,0.305333,1.050756,[ 7 31] ; [10 25],[ 8.84931507 29.15068493] ; [ 8.15068493 26.84931507],0
u2,1,0.480593,0.497517,[23 25] ; [12  9],[24.34782609 23.65217391] ; [10.65217391 10.34782609],0
s1,1,0.49534,0.464907,[ 4 74] ; [ 2 67],[ 3.18367347 74.81632653] ; [ 2.81632653 66.18367347],0
b4,1,0.502017,0.450669,[45 33] ; [36 33],[42.97959184 35.02040816] ; [38.02040816 30.97959184],0
r3,1,0.612691,0.256275,[68 10] ; [62  7],[68.97959184  9.02040816] ; [61.02040816  7.97959184],0
n3,1,0.647747,0.208752,[19 11] ; [20  9],[19.83050847 10.16949153] ; [19.16949153  9.83050847],0
n2,1,0.672804,0.17834,[18 11] ; [17 13],[17.20338983 11.79661017] ; [17.79661017 12.20338983],0
n6,1,0.686022,0.163426,[50 28] ; [42 27],[48.81632653 29.18367347] ; [43.18367347 25.81632653],0
s4,1,0.752113,0.099764,[21 57] ; [17 52],[20.16326531 57.83673469] ; [17.83673469 51.16326531],0
u3,1,0.753783,0.09838,[26 22] ; [10 10],[25.41176471 22.58823529] ; [10.58823529  9.41176471],0
v4,1,0.775502,0.081331,[66 10] ; [61  8],[66.56551724  9.43448276] ; [60.43448276  8.56551724],0
p2,1,0.779883,0.078104,[53 24] ; [46 23],[52.21232877 24.78767123] ; [46.78767123 22.21232877],0
s7,1,0.815113,0.054679,[18 58] ; [16 47],[18.58992806 57.41007194] ; [15.41007194 47.58992806],0
a8,1,0.864632,0.029064,[ 4 70] ; [ 3 60],[ 3.7810219 70.2189781] ; [ 3.2189781 59.7810219],0
r2,1,0.87976,0.022884,[66 12] ; [59 10],[66.32653061 11.67346939] ; [58.67346939 10.32653061],0
