Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,52.888501,[23 52] ; [89 17],[46.40883978 28.59116022] ; [65.59116022 40.40883978],1
n6,1,0.0,26.374349,[44 30] ; [97  9],[57.96666667 16.03333333] ; [83.03333333 22.96666667],1
r4,1,0.00022,13.655605,[54 21] ; [98  8],[62.98342541 12.01657459] ; [89.01657459 16.98342541],1
p11,1,0.000267,13.286379,[43 32] ; [87 19],[53.86740331 21.13259669] ; [76.13259669 29.86740331],1
v1,1,0.000913,10.996574,[19 53] ; [53 50],[29.62285714 42.37714286] ; [42.37714286 60.62285714],1
a8,1,0.001073,10.697479,[ 2 69] ; [19 77],[ 8.92814371 62.07185629] ; [12.07185629 83.92814371],0
p7,1,0.00181,9.733037,[29 41] ; [68 36],[39.02298851 30.97701149] ; [57.97701149 46.02298851],0
p3,1,0.003019,8.795804,[21 54] ; [53 53],[30.66298343 44.33701657] ; [43.33701657 62.66298343],0
n2,1,0.009253,6.773322,[12 11] ; [17  2],[15.88095238  7.11904762] ; [13.11904762  5.88095238],0
v3,1,0.01363,6.085491,[16 53] ; [43 61],[23.53179191 45.46820809] ; [35.46820809 68.53179191],0
p5,1,0.014091,6.026769,[ 2 72] ; [14 91],[ 6.61452514 67.38547486] ; [ 9.38547486 95.61452514],0
s4,1,0.015882,5.81589,[20 55] ; [13 91],[13.82681564 61.17318436] ; [19.17318436 84.82681564],0
p4,1,0.04046,4.198475,[26 49] ; [53 53],[32.73480663 42.26519337] ; [46.26519337 59.73480663],0
a3,1,0.044794,4.026383,[29 46] ; [56 48],[35.61452514 39.38547486] ; [49.38547486 54.61452514],0
p10,1,0.051829,3.781265,[46 25] ; [82 23],[51.63636364 19.36363636] ; [76.36363636 28.63636364],0
r3,1,0.058219,3.587402,[67  7] ; [102   3],[69.86592179  4.13407821] ; [99.13407821  5.86592179],0
a4,1,0.093107,2.819822,[ 8 67] ; [21 84],[12.08333333 62.91666667] ; [16.91666667 88.08333333],0
s6,1,0.094966,2.788118,[39 35] ; [69 37],[44.4 29.6] ; [63.6 42.4],0
n1,1,0.126422,2.335902,[ 6 18] ; [ 9 10],[ 8.37209302 15.62790698] ; [ 6.62790698 12.37209302],0
v2,1,0.128486,2.310696,[28 45] ; [50 50],[32.9132948 40.0867052] ; [45.0867052 54.9132948],0
p12,1,0.136943,2.211979,[ 1 74] ; [  6 100],[ 2.90055249 72.09944751] ; [  4.09944751 101.90055249],0
p9,1,0.191409,1.706738,[50 21] ; [83 22],[53.65340909 17.34659091] ; [79.34659091 25.65340909],0
v4,1,0.209456,1.57518,[67  7] ; [101   5],[69.06666667  4.93333333] ; [98.93333333  7.06666667],0
n3,1,0.225818,1.467011,[18  6] ; [17  2],[19.53488372  4.46511628] ; [15.46511628  3.53488372],0
s3,1,0.248153,1.333674,[36 39] ; [59 45],[39.80446927 35.19553073] ; [55.19553073 48.80446927],0
b4,1,0.290572,1.116971,[49 26] ; [61 45],[45.5801105 29.4198895] ; [64.4198895 41.5801105],0
r1,1,0.290843,1.115716,[48 27] ; [75 30],[51.25 23.75] ; [71.75 33.25],0
p6,1,0.319823,0.98967,[19 54] ; [34 69],[21.98295455 51.01704545] ; [31.01704545 71.98295455],0
s8,1,0.326712,0.961885,[21 54] ; [37 69],[24.03314917 50.96685083] ; [33.96685083 72.03314917],0
r2,1,0.338432,0.916364,[67  8] ; [98  7],[68.75  6.25] ; [96.25  8.75],0
d2,1,0.338977,0.914296,[12 63] ; [23 83],[14.50276243 60.49723757] ; [20.49723757 85.50276243],0
s7,1,0.446668,0.579094,[24 48] ; [39 61],[26.37209302 45.62790698] ; [36.62790698 63.37209302],0
p8,1,0.461862,0.541379,[30 43] ; [49 56],[32.3988764 40.6011236] ; [46.6011236 58.3988764],0
s2,1,0.477748,0.504,[31 44] ; [49 56],[33.33333333 41.66666667] ; [46.66666667 58.33333333],0
