Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.4e-05,18.935259,[ 9 16] ; [86 22],[17.85714286  7.14285714] ; [77.14285714 30.85714286],1
s2,1,0.004202,8.19444,[10 15] ; [76 32],[16.16541353  8.83458647] ; [69.83458647 38.16541353],0
b5,1,0.0082,6.98918,[ 9 16] ; [70 38],[14.84962406 10.15037594] ; [64.15037594 43.84962406],0
s7,1,0.013969,6.042069,[13 11] ; [84 23],[17.77099237  6.22900763] ; [79.22900763 27.77099237],0
s5,1,0.023276,5.147821,[ 4 18] ; [46 58],[ 8.73015873 13.26984127] ; [41.26984127 62.73015873],0
a6,1,0.038024,4.303964,[11 14] ; [71 36],[15.53030303  9.46969697] ; [66.46969697 40.53030303],0
r3,1,0.045284,4.008036,[22  3] ; [105   3],[23.87218045  1.12781955] ; [103.12781955   4.87218045],0
a2,1,0.089733,2.879154,[ 2 23] ; [25 83],[ 5.07518797 19.92481203] ; [21.92481203 86.07518797],0
r4,1,0.11946,2.424385,[21  4] ; [101   7],[22.93233083  2.06766917] ; [99.06766917  8.93233083],0
r1,1,0.121534,2.397434,[18  7] ; [91 16],[20.64393939  4.35606061] ; [88.35606061 18.64393939],0
v1,1,0.129766,2.2953,[10 15] ; [58 44],[13.38582677 11.61417323] ; [54.61417323 47.38582677],0
d3,1,0.154506,2.027193,[18  7] ; [61 47],[14.84962406 10.15037594] ; [64.15037594 43.84962406],0
p6,1,0.227112,1.458857,[ 8 16] ; [23 83],[ 5.72307692 18.27692308] ; [25.27692308 80.72307692],0
d5,1,0.265348,1.240639,[19  6] ; [92 16],[20.86466165  4.13533835] ; [90.13533835 17.86466165],0
p9,1,0.303101,1.060502,[20  5] ; [94 13],[21.59090909  3.40909091] ; [92.40909091 14.59090909],0
p7,1,0.304636,1.053787,[11 13] ; [58 43],[13.248 10.752] ; [55.752 45.248],0
v3,1,0.308097,1.038815,[14 11] ; [46 57],[11.71875 13.28125] ; [48.28125 54.71875],0
p5,1,0.35704,0.848278,[ 2 23] ; [  4 103],[ 1.13636364 23.86363636] ; [  4.86363636 102.13636364],0
r2,1,0.3632,0.826799,[23  2] ; [102   4],[23.85496183  1.14503817] ; [101.14503817   4.85496183],0
s4,1,0.373413,0.792274,[ 3 22] ; [21 86],[ 4.54545455 20.45454545] ; [19.45454545 87.54545455],0
n1,1,0.375954,0.78389,[5 3] ; [13 16],[3.89189189 4.10810811] ; [14.10810811 14.89189189],0
p2,1,0.377441,0.779021,[20  5] ; [77 31],[18.23308271  6.76691729] ; [78.76691729 29.23308271],0
d4,1,0.383094,0.760751,[22  3] ; [87 21],[20.4887218  4.5112782] ; [88.5112782 19.4887218],0
a4,1,0.393565,0.7279,[13 12] ; [46 62],[11.09022556 13.90977444] ; [47.90977444 60.09022556],0
d1,1,0.394562,0.724836,[16  9] ; [59 49],[14.09774436 10.90225564] ; [60.90225564 47.09774436],0
v2,1,0.518092,0.41769,[17  8] ; [61 39],[15.6  9.4] ; [62.4 37.6],0
d2,1,0.532541,0.38954,[14 11] ; [53 55],[12.59398496 12.40601504] ; [54.40601504 53.59398496],0
a5,1,0.537923,0.379404,[17  8] ; [80 28],[18.23308271  6.76691729] ; [78.76691729 29.23308271],0
p10,1,0.547586,0.36166,[20  5] ; [90 16],[20.99236641  4.00763359] ; [89.00763359 16.99236641],0
a8,1,0.60014,0.274785,[ 5 19] ; [16 82],[ 4.13114754 19.86885246] ; [16.86885246 81.13114754],0
u1,1,0.605506,0.266771,[ 5 20] ; [17 91],[ 4.13533835 20.86466165] ; [17.86466165 90.13533835],0
a7,1,0.607428,0.263938,[18  7] ; [72 36],[16.91729323  8.08270677] ; [73.08270677 34.91729323],0
n3,1,0.611982,0.257299,[6 2] ; [19 10],[5.40540541 2.59459459] ; [19.59459459  9.40540541],0
n6,1,0.619388,0.246729,[20  5] ; [90 17],[20.83333333  4.16666667] ; [89.16666667 17.83333333],0
n4,1,0.648,0.208431,[20  5] ; [81 26],[19.12878788  5.87121212] ; [81.87121212 25.12878788],0
p11,1,0.664168,0.1885,[20  5] ; [82 26],[19.17293233  5.82706767] ; [82.82706767 25.17293233],0
b4,1,0.68635,0.163065,[15 10] ; [60 48],[14.09774436 10.90225564] ; [60.90225564 47.09774436],0
u3,1,0.71249,0.135802,[4 2] ; [20  7],[4.36363636 1.63636364] ; [19.63636364  7.36363636],0
n2,1,0.736319,0.113389,[7 2] ; [24  5],[7.34210526 1.65789474] ; [23.65789474  5.34210526],0
b1,1,0.812972,0.055976,[10 15] ; [46 62],[10.52631579 14.47368421] ; [45.47368421 62.52631579],0
u2,1,0.815076,0.054701,[4 2] ; [16 10],[3.75 2.25] ; [16.25  9.75],0
v4,1,0.891281,0.018682,[24  1] ; [103   5],[23.87218045  1.12781955] ; [103.12781955   4.87218045],0
a1,1,0.891281,0.018682,[ 1 24] ; [  5 103],[ 1.12781955 23.87218045] ; [  4.87218045 103.12781955],0
b2,1,0.912456,0.012087,[ 7 10] ; [29 44],[ 6.8 10.2] ; [29.2 43.8],0
b3,1,0.912456,0.012087,[ 7 10] ; [29 44],[ 6.8 10.2] ; [29.2 43.8],0
p8,1,0.930155,0.007682,[10 15] ; [41 64],[ 9.80769231 15.19230769] ; [41.19230769 63.80769231],0
p1,1,0.956515,0.002973,[ 2 23] ; [ 9 99],[ 2.06766917 22.93233083] ; [ 8.93233083 99.06766917],0
p3,1,0.968695,0.00154,[ 8 17] ; [35 73],[ 8.08270677 16.91729323] ; [34.91729323 73.08270677],0
a3,1,0.974938,0.000987,[19  6] ; [81 26],[18.93939394  6.06060606] ; [81.06060606 25.93939394],0
n5,1,0.984844,0.000361,[17  7] ; [76 31],[17.03816794  6.96183206] ; [75.96183206 31.03816794],0
