Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,128.652591,[183  61] ; [ 17 111],[131.1827957 112.8172043] ; [68.8172043 59.1827957],1
d4,1,0.0,110.713769,[240   3] ; [73 55],[205.01078167  37.98921833] ; [107.98921833  20.01078167],1
d3,1,0.0,110.165341,[220  24] ; [50 78],[177.09677419  66.90322581] ; [92.90322581 35.09677419],1
d5,1,0.0,88.454765,[238   5] ; [79 49],[207.63072776  35.36927224] ; [109.36927224  18.63072776],1
u1,1,0.0,55.657848,[ 86 158] ; [  1 127],[ 57.06451613 186.93548387] ; [29.93548387 98.06451613],1
a4,1,0.0,44.256275,[149  94] ; [32 96],[118.55256065 124.44743935] ; [62.44743935 65.55256065],1
a2,1,0.0,43.944069,[ 94 150] ; [  8 120],[ 66.90322581 177.09677419] ; [35.09677419 92.90322581],1
a3,1,0.0,32.551011,[203  40] ; [72 56],[180.1212938  62.8787062] ; [94.8787062 33.1212938],1
a5,1,0.0,29.216201,[213  31] ; [81 47],[192.83870968  51.16129032] ; [101.16129032  26.83870968],1
s8,1,9e-06,19.654055,[145  96] ; [46 82],[124.74525745 116.25474255] ; [66.25474255 61.74525745],1
s2,1,0.000297,13.087189,[153  87] ; [56 71],[136.67574932 103.32425068] ; [72.32425068 54.67574932],1
r2,1,0.000612,11.737618,[234   7] ; [112  15],[226.5923913  14.4076087] ; [119.4076087   7.5923913],1
v1,1,0.001224,10.453178,[156  78] ; [62 64],[141.7  92.3] ; [76.3 49.7],0
p9,1,0.001548,10.020367,[228  15] ; [107  21],[219.42048518  23.57951482] ; [115.57951482  12.42048518],0
r1,1,0.002532,9.117219,[210  32] ; [95 33],[199.48648649  42.51351351] ; [105.51351351  22.48648649],0
r4,1,0.00426,8.169536,[232  12] ; [111  17],[224.97849462  19.02150538] ; [118.02150538   9.97849462],0
s3,1,0.005415,7.735421,[156  84] ; [63 63],[143.60655738  96.39344262] ; [75.39344262 50.60655738],0
s6,1,0.007033,7.264576,[188  49] ; [83 42],[177.42265193  59.57734807] ; [93.57734807 31.42265193],0
p10,1,0.011386,6.40412,[221  22] ; [104  23],[213.44594595  29.55405405] ; [111.55405405  15.44594595],0
s5,1,0.011686,6.357866,[106 124] ; [40 84],[ 94.85875706 135.14124294] ; [51.14124294 72.85875706],0
v4,1,0.016438,5.75537,[236   6] ; [118  10],[231.53513514  10.46486486] ; [122.46486486   5.53513514],0
a7,1,0.017476,5.64797,[191  53] ; [85 42],[181.52021563  62.47978437] ; [94.47978437 32.52021563],0
n4,1,0.018213,5.575521,[212  32] ; [99 29],[203.98924731  40.01075269] ; [107.01075269  20.98924731],0
v2,1,0.023032,5.166069,[152  84] ; [64 59],[141.99442897  94.00557103] ; [74.00557103 48.99442897],0
a6,1,0.030472,4.682487,[179  65] ; [80 48],[169.88172043  74.11827957] ; [89.11827957 38.88172043],0
s7,1,0.044483,4.038124,[142  84] ; [62 58],[133.24855491  92.75144509] ; [70.75144509 49.24855491],0
u3,1,0.062238,3.476718,[30 11] ; [30 25],[25.625 15.375] ; [34.375 20.625],0
a1,1,0.076129,3.145666,[ 19 225] ; [  4 124],[ 15.08602151 228.91397849] ; [  7.91397849 120.08602151],0
v3,1,0.119932,2.418206,[111 119] ; [50 76],[104.01685393 125.98314607] ; [56.98314607 69.01685393],0
u2,1,0.144089,2.133736,[28 13] ; [30 26],[24.51546392 16.48453608] ; [33.48453608 22.51546392],0
n5,1,0.170116,1.881922,[204  40] ; [98 28],[199.15675676  44.84324324] ; [102.84324324  23.15675676],0
p2,1,0.206909,1.592924,[224  19] ; [112  15],[220.67027027  22.32972973] ; [115.32972973  11.67027027],0
r3,1,0.219766,1.505899,[234   7] ; [121   7],[231.85636856   9.14363144] ; [123.14363144   4.85636856],0
n6,1,0.304175,1.055802,[220  22] ; [112  16],[217.14594595  24.85405405] ; [114.85405405  13.14594595],0
p6,1,0.327652,0.958158,[133 109] ; [63 64],[128.54200542 113.45799458] ; [67.45799458 59.54200542],0
b2,1,0.343234,0.898315,[68 96] ; [27 50],[64.6473029 99.3526971] ; [30.3526971 46.6473029],0
b3,1,0.343234,0.898315,[68 96] ; [27 50],[64.6473029 99.3526971] ; [30.3526971 46.6473029],0
s4,1,0.358366,0.843612,[ 49 190] ; [ 21 106],[ 45.71038251 193.28961749] ; [ 24.28961749 102.71038251],0
p12,1,0.361825,0.831548,[ 33 211] ; [ 13 114],[ 30.25336927 213.74663073] ; [ 15.74663073 111.25336927],0
b5,1,0.389279,0.741194,[141 103] ; [68 60],[137.08602151 106.91397849] ; [71.91397849 56.08602151],0
n2,1,0.443653,0.586816,[29 10] ; [15  8],[27.67741935 11.32258065] ; [16.32258065  6.67741935],0
s1,1,0.489179,0.478331,[  9 234] ; [  3 124],[  7.88108108 235.11891892] ; [  4.11891892 122.88108108],0
n3,1,0.57407,0.31592,[28 11] ; [18  5],[28.93548387 10.06451613] ; [17.06451613  5.93548387],0
a8,1,0.641266,0.21709,[ 29 185] ; [ 14 105],[ 27.63363363 186.36636637] ; [ 15.36636637 103.63363363],0
p8,1,0.710621,0.137657,[171  72] ; [87 40],[169.44324324  73.55675676] ; [88.55675676 38.44324324],0
n1,1,0.731047,0.118153,[17 22] ; [ 9 14],[16.35483871 22.64516129] ; [ 9.64516129 13.35483871],0
p7,1,0.885572,0.02071,[186  56] ; [96 30],[185.44565217  56.55434783] ; [96.55434783 29.44565217],0
b4,1,0.886218,0.020475,[143 101] ; [76 52],[143.64516129 100.35483871] ; [75.35483871 52.64516129],0
p11,1,0.922238,0.009529,[203  41] ; [107  21],[203.33333333  40.66666667] ; [106.66666667  21.33333333],0
p1,1,0.955554,0.003106,[ 30 212] ; [ 16 111],[ 30.16802168 211.83197832] ; [ 15.83197832 111.16802168],0
p5,1,0.987837,0.000232,[ 51 190] ; [ 27 101],[ 50.94308943 190.05691057] ; [ 27.05691057 100.94308943],0
b1,1,0.990544,0.00014,[105 139] ; [55 73],[104.94623656 139.05376344] ; [55.05376344 72.94623656],0
