Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.001274,10.380516,[10  7] ; [10 44],[ 4.78873239 12.21126761] ; [15.21126761 38.78873239],0
b1,1,0.00447,8.082306,[13  4] ; [20 34],[7.90140845 9.09859155] ; [25.09859155 28.90140845],0
p4,1,0.014504,5.975701,[11  6] ; [17 37],[ 6.70422535 10.29577465] ; [21.29577465 32.70422535],0
u3,1,0.055163,3.677152,[5 4] ; [ 8 27],[2.65909091 6.34090909] ; [10.34090909 24.65909091],0
s8,1,0.064195,3.425536,[ 6 11] ; [ 8 46],[ 3.35211268 13.64788732] ; [10.64788732 43.35211268],0
p7,1,0.069297,3.299602,[12  5] ; [24 29],[8.74285714 8.25714286] ; [27.25714286 25.74285714],0
n2,1,0.079182,3.081613,[6 1] ; [ 9 10],[4.03846154 2.96153846] ; [10.96153846  8.03846154],0
s2,1,0.123683,2.370048,[ 7 10] ; [12 42],[ 4.54929577 12.45070423] ; [14.45070423 39.54929577],0
s3,1,0.161862,1.956741,[9 8] ; [18 35],[ 6.55714286 10.44285714] ; [20.44285714 32.55714286],0
a7,1,0.197952,1.657418,[ 5 12] ; [25 28],[7.28571429 9.71428571] ; [22.71428571 30.28571429],0
d3,1,0.199153,1.648575,[ 5 12] ; [ 8 44],[ 3.20289855 13.79710145] ; [ 9.79710145 42.20289855],0
r3,1,0.201493,1.631521,[14  3] ; [35 18],[11.9  5.1] ; [37.1 15.9],0
p10,1,0.224734,1.47388,[12  5] ; [28 24],[9.85507246 7.14492754] ; [30.14492754 21.85507246],0
d5,1,0.268108,1.226401,[9 8] ; [20 33],[7.04285714 9.95714286] ; [21.95714286 31.04285714],0
b2,1,0.268206,1.225898,[1 7] ; [10 21],[2.25641026 5.74358974] ; [ 8.74358974 22.25641026],0
b3,1,0.268206,1.225898,[1 7] ; [10 21],[2.25641026 5.74358974] ; [ 8.74358974 22.25641026],0
b5,1,0.306342,1.046381,[8 9] ; [33 21],[9.81690141 7.18309859] ; [31.18309859 22.81690141],0
d2,1,0.330432,0.947205,[ 3 14] ; [16 38],[ 4.54929577 12.45070423] ; [14.45070423 39.54929577],0
a4,1,0.344608,0.893213,[ 2 15] ; [12 42],[ 3.35211268 13.64788732] ; [10.64788732 43.35211268],0
n6,1,0.374963,0.787151,[10  7] ; [38 16],[11.49295775  5.50704225] ; [36.50704225 17.49295775],0
a3,1,0.379141,0.773486,[8 9] ; [19 35],[ 6.46478873 10.53521127] ; [20.53521127 33.46478873],0
d1,1,0.381067,0.767256,[ 1 16] ; [ 1 53],[ 0.47887324 16.52112676] ; [ 1.52112676 52.47887324],0
p6,1,0.459514,0.547077,[ 5 12] ; [11 42],[ 3.88571429 13.11428571] ; [12.11428571 40.88571429],0
u2,1,0.462522,0.539785,[4 5] ; [11 24],[3.06818182 5.93181818] ; [11.93181818 23.06818182],0
a8,1,0.476235,0.507473,[ 1 16] ; [ 6 44],[ 1.7761194 15.2238806] ; [ 5.2238806 44.7761194],0
v4,1,0.532883,0.388891,[13  3] ; [39 14],[12.05797101  3.94202899] ; [39.94202899 13.05797101],0
r4,1,0.615232,0.252626,[ 7 10] ; [26 28],[7.90140845 9.09859155] ; [25.09859155 28.90140845],0
n5,1,0.625808,0.237789,[13  4] ; [38 16],[12.21126761  4.78873239] ; [38.78873239 15.21126761],0
s7,1,0.64347,0.214233,[ 4 10] ; [12 41],[ 3.34328358 10.65671642] ; [12.65671642 40.34328358],0
v3,1,0.648989,0.207177,[ 3 14] ; [ 7 46],[ 2.42857143 14.57142857] ; [ 7.57142857 45.42857143],0
p3,1,0.659607,0.194001,[ 6 11] ; [16 38],[ 5.26760563 11.73239437] ; [16.73239437 37.26760563],0
s6,1,0.674816,0.17602,[ 5 10] ; [15 39],[ 4.34782609 10.65217391] ; [15.65217391 38.34782609],0
p2,1,0.693168,0.155677,[11  6] ; [37 16],[11.65714286  5.34285714] ; [36.34285714 16.65714286],0
s1,1,0.696962,0.151651,[ 1 16] ; [ 2 52],[ 0.71830986 16.28169014] ; [ 2.28169014 51.71830986],0
s5,1,0.704304,0.144033,[ 2 14] ; [ 5 49],[ 1.6 14.4] ; [ 5.4 48.6],0
p5,1,0.720802,0.127725,[ 1 16] ; [ 2 50],[ 0.73913043 16.26086957] ; [ 2.26086957 49.73913043],0
b4,1,0.7303,0.118837,[9 8] ; [26 28],[8.38028169 8.61971831] ; [26.61971831 27.38028169],0
p9,1,0.80107,0.063485,[12  5] ; [35 17],[11.57971014  5.42028986] ; [35.42028986 16.57971014],0
n4,1,0.812712,0.056135,[10  7] ; [30 24],[9.57746479 7.42253521] ; [30.42253521 23.57746479],0
p11,1,0.812712,0.056135,[10  7] ; [30 24],[9.57746479 7.42253521] ; [30.42253521 23.57746479],0
a6,1,0.832468,0.044748,[8 9] ; [27 27],[8.38028169 8.61971831] ; [26.61971831 27.38028169],0
p8,1,0.856133,0.032869,[ 6 11] ; [20 33],[ 6.31428571 10.68571429] ; [19.68571429 33.31428571],0
a5,1,0.881516,0.022215,[ 6 11] ; [18 36],[ 5.74647887 11.25352113] ; [18.25352113 35.74647887],0
