Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.00058,11.83764,[ 7 47] ; [9 8],[12.16901408 41.83098592] ; [ 3.83098592 13.16901408],1
s6,1,0.002011,9.53947,[13 41] ; [11  6],[18.25352113 35.74647887] ; [ 5.74647887 11.25352113],0
s8,1,0.003944,8.309325,[ 4 50] ; [ 6 11],[ 7.6056338 46.3943662] ; [ 2.3943662 14.6056338],0
s3,1,0.0049,7.915841,[14 38] ; [11  6],[18.84057971 33.15942029] ; [ 6.15942029 10.84057971],0
a2,1,0.010378,6.568918,[ 2 52] ; [ 4 13],[ 4.56338028 49.43661972] ; [ 1.43661972 15.56338028],0
u1,1,0.013768,6.067599,[ 1 53] ; [ 3 14],[ 3.04225352 50.95774648] ; [ 0.95774648 16.04225352],0
p6,1,0.018797,5.520279,[ 8 43] ; [7 9],[11.41791045 39.58208955] ; [ 3.58208955 12.41791045],0
s5,1,0.021036,5.323791,[ 5 48] ; [ 5 10],[ 7.79411765 45.20588235] ; [ 2.20588235 12.79411765],0
a3,1,0.024995,5.024238,[24 29] ; [13  4],[28.01428571 24.98571429] ; [8.98571429 8.01428571],0
r2,1,0.057437,3.60989,[32 21] ; [13  2],[35.07352941 17.92647059] ; [9.92647059 5.07352941],0
s4,1,0.064195,3.425536,[ 8 46] ; [ 6 11],[10.64788732 43.35211268] ; [ 3.35211268 13.64788732],0
n1,1,0.076626,3.135059,[ 6 16] ; [5 3],[ 8.06666667 13.93333333] ; [2.93333333 5.06666667],0
n2,1,0.077241,3.12202,[12 11] ; [7 1],[14.09677419  8.90322581] ; [4.90322581 3.09677419],0
a5,1,0.112754,2.515189,[20 34] ; [10  7],[22.81690141 31.18309859] ; [7.18309859 9.81690141],0
p9,1,0.119326,2.426152,[17 37] ; [8 7],[19.56521739 34.43478261] ; [5.43478261 9.56521739],0
d4,1,0.123841,2.368054,[30 24] ; [13  4],[32.70422535 21.29577465] ; [10.29577465  6.70422535],0
v1,1,0.128591,2.309434,[11 42] ; [6 9],[13.25 39.75] ; [ 3.75 11.25],0
d1,1,0.138478,2.194791,[15 39] ; [8 9],[17.49295775 36.50704225] ; [ 5.50704225 11.49295775],0
p11,1,0.19141,1.706728,[19 35] ; [9 8],[21.29577465 32.70422535] ; [ 6.70422535 10.29577465],0
r3,1,0.198928,1.650228,[32 22] ; [13  4],[34.22535211 19.77464789] ; [10.77464789  6.22535211],0
p3,1,0.24782,1.335553,[14 39] ; [ 7 10],[15.9 37.1] ; [ 5.1 11.9],0
a4,1,0.319748,0.989977,[15 38] ; [ 7 10],[16.65714286 36.34285714] ; [ 5.34285714 11.65714286],0
p4,1,0.33084,0.945608,[18 35] ; [8 9],[19.68571429 33.31428571] ; [ 6.31428571 10.68571429],0
