Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1.2e-05,19.239374,[583  97] ; [8 9],[576.58536585 103.41463415] ; [14.41463415  2.58536585],1
s3,1,0.00059,11.80585,[400 275] ; [ 3 14],[393.09971098 281.90028902] ; [9.90028902 7.09971098],1
s2,1,0.002358,9.247823,[372 306] ; [ 3 14],[365.82733813 312.17266187] ; [9.17266187 7.82733813],0
v4,1,0.003599,8.475953,[671  12] ; [15  2],[669.34  13.66] ; [16.66  0.34],0
p5,1,0.004963,7.892719,[ 83 595] ; [ 6 11],[ 86.82302158 591.17697842] ; [ 2.17697842 14.82302158],0
n2,1,0.014652,5.957871,[108  31] ; [1 3],[105.95104895  33.04895105] ; [3.04895105 0.95104895],0
d1,1,0.026858,4.899913,[422 261] ; [ 6 11],[417.60571429 265.39428571] ; [10.39428571  6.60571429],0
n4,1,0.04138,4.160367,[540 141] ; [10  7],[536.60458453 144.39541547] ; [13.39541547  3.60458453],0
s7,1,0.044988,4.019105,[347 310] ; [ 4 11],[343.16517857 313.83482143] ; [7.83482143 7.16517857],0
a3,1,0.052434,3.761865,[503 177] ; [9 8],[499.51219512 180.48780488] ; [12.48780488  4.51219512],0
v1,1,0.065528,3.391627,[383 281] ; [ 6 11],[379.28928047 284.71071953] ; [9.71071953 7.28928047],0
a5,1,0.093202,2.818184,[522 161] ; [10  7],[519.08 163.92] ; [12.92  4.08],0
p3,1,0.130588,2.285502,[367 315] ; [ 6 11],[363.92846924 318.07153076] ; [9.07153076 7.92846924],0
d4,1,0.140625,2.171112,[571 109] ; [12  5],[568.7804878 111.2195122] ; [14.2195122  2.7804878],0
a4,1,0.14148,2.161785,[323 358] ; [ 5 12],[320.01146132 360.98853868] ; [7.98853868 9.01146132],0
n6,1,0.163876,1.938095,[596  83] ; [13  4],[594.125  84.875] ; [14.875  2.125],0
n5,1,0.185438,1.753499,[531 148] ; [11  6],[528.76149425 150.23850575] ; [13.23850575  3.76149425],0
u3,1,0.191164,1.708624,[108  70] ; [3 5],[106.22580645  71.77419355] ; [4.77419355 3.22580645],0
s4,1,0.198832,1.650931,[121 555] ; [ 1 16],[119.00721501 556.99278499] ; [ 2.99278499 14.00721501],0
d5,1,0.198881,1.650575,[561 118] ; [12  5],[559.00431034 119.99568966] ; [13.99568966  3.00431034],0
v2,1,0.207983,1.585414,[388 265] ; [7 9],[385.55306428 267.44693572] ; [9.44693572 6.55306428],0
n3,1,0.215437,1.534511,[106  32] ; [2 2],[104.95774648  33.04225352] ; [3.04225352 0.95774648],0
s6,1,0.231849,1.429479,[482 187] ; [10  7],[479.80758017 189.19241983] ; [12.19241983  4.80758017],0
s8,1,0.265122,1.241812,[333 347] ; [ 6 11],[330.73170732 349.26829268] ; [8.26829268 8.73170732],0
a6,1,0.301129,1.06919,[479 201] ; [10  7],[477.07317073 202.92682927] ; [11.92682927  5.07317073],0
a7,1,0.348332,0.879525,[509 172] ; [11  6],[507.33524355 173.66475645] ; [12.66475645  4.33524355],0
p6,1,0.378271,0.776314,[270 405] ; [ 5 12],[268.24421965 406.75578035] ; [ 6.75578035 10.24421965],0
s1,1,0.457772,0.551336,[ 19 654] ; [ 1 16],[ 19.50724638 653.49275362] ; [ 0.49275362 16.50724638],0
b1,1,0.518534,0.416807,[230 453] ; [ 7 10],[231.24428571 451.75571429] ; [ 5.75571429 11.24428571],0
d3,1,0.570838,0.321282,[483 197] ; [11  6],[481.95121951 198.04878049] ; [12.04878049  4.95121951],0
v3,1,0.621768,0.24339,[269 383] ; [ 6 11],[268.01195815 383.98804185] ; [ 6.98804185 10.01195815],0
p2,1,0.623136,0.241485,[589  92] ; [14  3],[588.31375358  92.68624642] ; [14.68624642  2.31375358],0
p1,1,0.633359,0.227533,[ 63 617] ; [ 1 16],[ 62.43902439 617.56097561] ; [ 1.56097561 15.43902439],0
p10,1,0.635493,0.224686,[624  58] ; [15  2],[623.45922747  58.54077253] ; [15.54077253  1.45922747],0
a8,1,0.664757,0.187797,[ 92 528] ; [ 3 13],[ 92.61006289 527.38993711] ; [ 2.38993711 13.61006289],0
p7,1,0.740962,0.109283,[446 222] ; [12  5],[446.63357664 221.36642336] ; [11.36642336  5.63357664],0
p12,1,0.741838,0.108517,[ 64 617] ; [ 2 15],[ 64.39255014 616.60744986] ; [ 1.60744986 15.39255014],0
s5,1,0.748631,0.102685,[244 409] ; [ 7 10],[244.63134328 408.36865672] ; [ 6.36865672 10.63134328],0
b5,1,0.760273,0.0931,[417 266] ; [11  6],[417.60571429 265.39428571] ; [10.39428571  6.60571429],0
a1,1,0.768023,0.087003,[ 30 653] ; [ 1 16],[ 30.24714286 652.75285714] ; [ 0.75285714 16.24714286],0
p8,1,0.84094,0.040277,[380 294] ; [10  7],[380.40520984 293.59479016] ; [9.59479016 7.40520984],0
p4,1,0.878085,0.023531,[427 252] ; [11  6],[427.30172414 251.69827586] ; [10.69827586  6.30172414],0
b3,1,0.880489,0.022605,[165 247] ; [3 4],[165.19331742 246.80668258] ; [2.80668258 4.19331742],0
b2,1,0.880489,0.022605,[165 247] ; [3 4],[165.19331742 246.80668258] ; [2.80668258 4.19331742],0
d2,1,0.895137,0.017373,[331 349] ; [8 9],[330.73170732 349.26829268] ; [8.26829268 8.73170732],0
b4,1,0.906257,0.013868,[392 291] ; [10  7],[392.23714286 290.76285714] ; [9.76285714 7.23714286],0
