Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,114.651338,[126 206] ; [247  63],[192.89096573 139.10903427] ; [180.10903427 129.89096573],1
p8,1,0.0,53.341053,[124 209] ; [203 104],[170.1421875 162.8578125] ; [156.8578125 150.1421875],1
p7,1,0.0,49.567636,[158 168] ; [231  74],[200.97305864 125.02694136] ; [188.02694136 116.97305864],1
p6,1,0.0,33.728442,[ 77 256] ; [136 167],[111.52358491 221.47641509] ; [101.47641509 201.52358491],1
s8,1,0.0,28.208151,[111 224] ; [166 142],[144.31570762 190.68429238] ; [132.68429238 175.31570762],1
p5,1,0.0,28.054423,[ 18 317] ; [ 58 249],[ 39.65732087 295.34267913] ; [ 36.34267913 270.65732087],1
s7,1,1e-06,25.128383,[122 203] ; [168 123],[153.00324675 171.99675325] ; [136.99675325 154.00324675],1
p10,1,1e-06,24.710444,[240  95] ; [268  38],[265.49141966  69.50858034] ; [242.50858034  63.49141966],1
p2,1,1e-06,23.227771,[252  84] ; [276  32],[275.47826087  60.52173913] ; [252.52173913  55.47826087],1
p9,1,1e-05,19.591948,[252  78] ; [276  32],[273.10344828  56.89655172] ; [254.89655172  53.10344828],1
v1,1,2.3e-05,17.942508,[152 176] ; [189 110],[178.38596491 149.61403509] ; [162.61403509 136.38596491],1
s5,1,7.7e-05,15.629643,[ 78 249] ; [115 184],[100.81629393 226.18370607] ; [ 92.18370607 206.81629393],1
p1,1,8.9e-05,15.360222,[ 12 323] ; [ 36 271],[ 25.04672897 309.95327103] ; [ 22.95327103 284.04672897],1
s6,1,0.000303,13.052911,[187 145] ; [214  91],[208.99843014 123.00156986] ; [192.00156986 112.99843014],1
n4,1,0.00032,12.95245,[244  93] ; [260  49],[262.92260062  74.07739938] ; [241.07739938  67.92260062],1
s2,1,0.000673,11.562063,[138 195] ; [169 139],[159.48673947 173.51326053] ; [147.51326053 160.48673947],1
n6,1,0.001006,10.816266,[261  73] ; [270  37],[276.68330733  57.31669267] ; [254.31669267  52.68330733],0
v2,1,0.001146,10.574767,[169 153] ; [196 104],[188.95498392 133.04501608] ; [176.04501608 123.95498392],0
u1,1,0.001272,10.383058,[ 48 289] ; [ 75 235],[ 64.06646059 272.93353941] ; [ 58.93353941 251.06646059],0
a5,1,0.001567,9.997678,[238  99] ; [252  58],[255.22411128  81.77588872] ; [234.77588872  75.22411128],0
v4,1,0.001968,9.579289,[300  34] ; [297  12],[310.10575428  23.89424572] ; [286.89424572  22.10575428],0
v3,1,0.002827,8.91594,[114 209] ; [139 156],[132.23139159 190.76860841] ; [120.76860841 174.23139159],0
n5,1,0.003155,8.715419,[226 107] ; [241  67],[242.60686427  90.39313573] ; [224.39313573  83.60686427],0
r2,1,0.003257,8.657413,[299  31] ; [295  11],[308.20754717  21.79245283] ; [285.79245283  20.20754717],0
p12,1,0.003339,8.612408,[ 17 318] ; [ 35 272],[ 27.13395639 307.86604361] ; [ 24.86604361 282.13395639],0
d5,1,0.004137,8.22269,[281  56] ; [282  28],[293.24729521  43.75270479] ; [269.75270479  40.24729521],0
r4,1,0.004389,8.115242,[284  53] ; [284  26],[295.85162287  41.14837713] ; [272.14837713  37.85162287],0
p11,1,0.016673,5.730464,[251  86] ; [255  55],[263.55795981  73.44204019] ; [242.44204019  67.55795981],0
d1,1,0.016734,5.724029,[215 122] ; [225  85],[229.18083462 107.81916538] ; [210.81916538  99.18083462],0
s3,1,0.031505,4.62521,[159 169] ; [175 132],[172.52283465 155.47716535] ; [161.47716535 145.52283465],0
a3,1,0.038408,4.286851,[239  97] ; [241  67],[250.43478261  85.56521739] ; [229.56521739  78.43478261],0
a2,1,0.038861,4.266936,[ 75 262] ; [ 91 219],[ 86.46367852 250.53632148] ; [ 79.53632148 230.46367852],0
n3,1,0.049329,3.864117,[62 40] ; [37 11],[67.32 34.68] ; [31.68 16.32],0
b1,1,0.115816,2.473004,[121 216] ; [130 180],[130.73724884 206.26275116] ; [120.26275116 189.73724884],0
b5,1,0.130313,2.288776,[211 126] ; [176 134],[201.57496136 135.42503864] ; [185.42503864 124.57496136],0
b2,1,0.144665,2.127622,[ 76 126] ; [ 90 111],[ 83.20595533 118.79404467] ; [ 82.79404467 118.20595533],0
b3,1,0.144665,2.127622,[ 76 126] ; [ 90 111],[ 83.20595533 118.79404467] ; [ 82.79404467 118.20595533],0
u4,1,0.160164,1.972682,[  6 331] ; [ 11 299],[  8.85471406 328.14528594] ; [  8.14528594 301.85471406],0
u3,1,0.177119,1.821631,[52 44] ; [44 24],[56.19512195 39.80487805] ; [39.80487805 28.19512195],0
