Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,23.653146,[ 5 54] ; [17 14],[14.42222222 44.57777778] ; [ 7.57777778 23.42222222],1
p7,1,3e-06,21.941546,[17 39] ; [25  5],[27.34883721 28.65116279] ; [14.65116279 15.34883721],1
p8,1,5.7e-05,16.195575,[12 47] ; [19 11],[20.5505618 38.4494382] ; [10.4494382 19.5505618],1
s8,1,0.001449,10.142173,[ 5 54] ; [11 20],[10.48888889 48.51111111] ; [ 5.51111111 25.48888889],0
s7,1,0.001505,10.072395,[10 48] ; [14 14],[16.18604651 41.81395349] ; [ 7.81395349 20.18604651],0
p6,1,0.001743,9.802442,[ 6 51] ; [12 19],[11.65909091 45.34090909] ; [ 6.34090909 24.65909091],0
s2,1,0.004028,8.271286,[10 49] ; [14 17],[15.73333333 43.26666667] ; [ 8.26666667 22.73333333],0
p2,1,0.004378,8.11989,[31 27] ; [26  5],[37.14606742 20.85393258] ; [19.85393258 11.14606742],0
s3,1,0.007282,7.202068,[14 43] ; [16 14],[19.65517241 37.34482759] ; [10.34482759 19.65517241],0
s6,1,0.00951,6.724437,[16 43] ; [17 14],[21.63333333 37.36666667] ; [11.36666667 19.63333333],0
n1,1,0.017643,5.631262,[ 8 19] ; [9 4],[11.475 15.525] ; [5.525 7.475],0
p11,1,0.022146,5.234248,[25 34] ; [21 10],[30.15555556 28.84444444] ; [15.84444444 15.15555556],0
p10,1,0.024643,5.048828,[25 31] ; [21  9],[29.95348837 26.04651163] ; [16.04651163 13.95348837],0
p9,1,0.033583,4.5158,[29 28] ; [23  8],[33.68181818 23.31818182] ; [18.31818182 12.68181818],0
b1,1,0.047025,3.944486,[27 32] ; [21 10],[31.46666667 27.53333333] ; [16.53333333 14.46666667],0
d3,1,0.053666,3.723065,[13 45] ; [13 18],[16.94382022 41.05617978] ; [ 9.05617978 21.94382022],0
a5,1,0.055041,3.680855,[20 39] ; [17 14],[24.25555556 34.74444444] ; [12.74444444 18.25555556],0
b2,1,0.061056,3.508472,[15 18] ; [ 4 16],[11.83018868 21.16981132] ; [ 7.16981132 12.83018868],0
b3,1,0.061056,3.508472,[15 18] ; [ 4 16],[11.83018868 21.16981132] ; [ 7.16981132 12.83018868],0
u3,1,0.120281,2.413664,[ 8 25] ; [7 8],[10.3125 22.6875] ; [ 4.6875 10.3125],0
d5,1,0.14218,2.154202,[21 38] ; [16 15],[24.25555556 34.74444444] ; [12.74444444 18.25555556],0
r3,1,0.184001,1.76501,[26 30] ; [19 12],[28.96551724 27.03448276] ; [16.03448276 14.96551724],0
n6,1,0.19228,1.700062,[28 28] ; [20 11],[30.89655172 25.10344828] ; [17.10344828 13.89655172],0
s4,1,0.224249,1.47697,[ 9 50] ; [ 8 23],[11.14444444 47.85555556] ; [ 5.85555556 25.14444444],0
p12,1,0.239052,1.386176,[ 1 57] ; [ 2 29],[ 1.95505618 56.04494382] ; [ 1.04494382 29.95505618],0
v4,1,0.277868,1.177489,[30 25] ; [20 10],[32.35294118 22.64705882] ; [17.64705882 12.35294118],0
d2,1,0.292989,1.105834,[13 46] ; [ 4 27],[11.14444444 47.85555556] ; [ 5.85555556 25.14444444],0
a7,1,0.314551,1.011469,[27 31] ; [11 20],[24.76404494 33.23595506] ; [13.23595506 17.76404494],0
r2,1,0.322535,0.978641,[29 26] ; [12 17],[26.8452381 28.1547619] ; [14.1547619 14.8452381],0
a8,1,0.329717,0.950008,[ 5 49] ; [ 1 28],[ 3.90361446 50.09638554] ; [ 2.09638554 26.90361446],0
b4,1,0.331016,0.94492,[33 26] ; [14 17],[30.81111111 28.18888889] ; [16.18888889 14.81111111],0
p1,1,0.33351,0.935221,[ 5 53] ; [ 1 30],[ 3.91011236 54.08988764] ; [ 2.08988764 28.91011236],0
v2,1,0.359628,0.839191,[13 43] ; [10 21],[14.8045977 41.1954023] ; [ 8.1954023 22.8045977],0
