Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.078983,3.085714,[2 4] ; [5 1],[3.5 2.5] ; [3.5 2.5],0
s3,1,0.121681,2.395556,[4 2] ; [1 4],[2.72727273 3.27272727] ; [2.27272727 2.72727273],0
r1,1,0.121681,2.395556,[4 2] ; [1 4],[2.72727273 3.27272727] ; [2.27272727 2.72727273],0
v4,1,0.136844,2.213095,[5 1] ; [2 3],[3.81818182 2.18181818] ; [3.18181818 1.81818182],0
v1,1,0.196706,1.666667,[4 1] ; [2 3],[3. 2.] ; [3. 2.],0
p8,1,0.220671,1.5,[5 1] ; [3 3],[4. 2.] ; [4. 2.],0
a7,1,0.220671,1.5,[5 1] ; [3 3],[4. 2.] ; [4. 2.],0
d1,1,0.220671,1.5,[3 3] ; [5 1],[4. 2.] ; [4. 2.],0
b3,1,0.293718,1.1025,[3 2] ; [1 3],[2.22222222 2.77777778] ; [1.77777778 2.22222222],0
b2,1,0.293718,1.1025,[3 2] ; [1 3],[2.22222222 2.77777778] ; [1.77777778 2.22222222],0
s6,1,0.303052,1.060714,[3 3] ; [1 4],[2.18181818 3.81818182] ; [1.81818182 3.18181818],0
v2,1,0.303052,1.060714,[3 3] ; [1 4],[2.18181818 3.81818182] ; [1.81818182 3.18181818],0
n6,1,0.386916,0.748611,[5 1] ; [3 2],[4.36363636 1.63636364] ; [3.63636364 1.36363636],0
s5,1,0.490153,0.47619,[1 4] ; [2 3],[1.5 3.5] ; [1.5 3.5],0
r2,1,0.490153,0.47619,[3 2] ; [4 1],[3.5 1.5] ; [3.5 1.5],0
a5,1,0.504985,0.444444,[5 1] ; [4 2],[4.5 1.5] ; [4.5 1.5],0
a6,1,0.504985,0.444444,[4 2] ; [5 1],[4.5 1.5] ; [4.5 1.5],0
n4,1,0.504985,0.444444,[5 1] ; [4 2],[4.5 1.5] ; [4.5 1.5],0
d3,1,0.504985,0.444444,[4 2] ; [5 1],[4.5 1.5] ; [4.5 1.5],0
b5,1,0.558185,0.342857,[3 3] ; [4 2],[3.5 2.5] ; [3.5 2.5],0
p3,1,0.558185,0.342857,[3 3] ; [4 2],[3.5 2.5] ; [3.5 2.5],0
p2,1,0.621014,0.244444,[4 2] ; [4 1],[4.36363636 1.63636364] ; [3.63636364 1.36363636],0
r3,1,0.740144,0.11,[3 3] ; [2 3],[2.72727273 3.27272727] ; [2.27272727 2.72727273],0
p7,1,0.818971,0.052381,[3 2] ; [4 2],[3.18181818 1.81818182] ; [3.81818182 2.18181818],0
s2,1,0.886508,0.02037,[1 5] ; [1 4],[1.09090909 4.90909091] ; [0.90909091 4.09090909],0
a3,1,1.0,0.0,[4 2] ; [4 2],[4. 2.] ; [4. 2.],0
p6,1,1.0,0.0,[2 3] ; [2 3],[2. 3.] ; [2. 3.],0
a2,1,1.0,0.0,[2 4] ; [2 4],[2. 4.] ; [2. 4.],0
u1,1,1.0,0.0,[1 5] ; [1 5],[1. 5.] ; [1. 5.],0
a4,1,1.0,0.0,[3 3] ; [3 3],[3. 3.] ; [3. 3.],0
s1,1,1.0,0.0,[1 5] ; [1 5],[1. 5.] ; [1. 5.],0
n5,1,1.0,0.0,[5 1] ; [5 1],[5. 1.] ; [5. 1.],0
n3,1,1.0,0.0,[2 2] ; [1 1],[2. 2.] ; [1. 1.],0
n1,1,1.0,0.0,[2 2] ; [1 1],[2. 2.] ; [1. 1.],0
d2,1,1.0,0.0,[4 2] ; [4 2],[4. 2.] ; [4. 2.],0
b4,1,1.0,0.0,[4 2] ; [4 2],[4. 2.] ; [4. 2.],0
