Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,5.9e-05,16.139241,[71 16] ; [13 17],[62.46153846 24.53846154] ; [21.53846154  8.46153846],1
d3,1,0.000892,11.039671,[64 23] ; [12 18],[56.51282051 30.48717949] ; [19.48717949 10.51282051],1
p8,1,0.001184,10.515686,[44 41] ; [ 5 24],[36.53508772 48.46491228] ; [12.46491228 16.53508772],0
a4,1,0.001416,10.18534,[24 63] ; [18 12],[31.23076923 55.76923077] ; [10.76923077 19.23076923],0
a6,1,0.001667,9.884483,[65 22] ; [13 17],[58. 29.] ; [20. 10.],0
p9,1,0.002308,9.287236,[72 13] ; [16 12],[66.19469027 18.80530973] ; [21.80530973  6.19469027],0
p7,1,0.005429,7.730734,[54 26] ; [11 18],[47.70642202 32.29357798] ; [17.29357798 11.70642202],0
n1,1,0.033345,4.527962,[ 6 22] ; [8 7],[ 9.11627907 18.88372093] ; [ 4.88372093 10.11627907],0
p3,1,0.034966,4.446851,[37 50] ; [ 6 23],[32.25 54.75] ; [10.75 18.25],0
p11,1,0.039192,4.252536,[59 28] ; [14 16],[54.28205128 32.71794872] ; [18.71794872 11.28205128],0
p10,1,0.064718,3.41216,[65 20] ; [17 12],[61.14035088 23.85964912] ; [20.85964912  8.14035088],0
v4,1,0.068216,3.325435,[81  5] ; [25  5],[78.5862069  7.4137931] ; [27.4137931  2.5862069],0
s6,1,0.071916,3.238746,[71 16] ; [19 10],[67.5 19.5] ; [22.5  6.5],0
a1,1,0.072121,3.23407,[ 2 85] ; [ 3 27],[ 3.71794872 83.28205128] ; [ 1.28205128 28.71794872],0
b1,1,0.072407,3.227586,[25 62] ; [14 16],[29. 58.] ; [10. 20.],0
s1,1,0.074729,3.175965,[ 2 84] ; [ 3 27],[ 3.70689655 82.29310345] ; [ 1.29310345 28.70689655],0
d2,1,0.093924,2.805799,[34 53] ; [17 13],[37.92307692 49.07692308] ; [13.07692308 16.92307692],0
r2,1,0.102103,2.672382,[83  4] ; [26  4],[81.05128205  5.94871795] ; [27.94871795  2.05128205],0
n3,1,0.112724,2.515605,[23  5] ; [9 6],[20.8372093  7.1627907] ; [11.1627907  3.8372093],0
n6,1,0.134161,2.243684,[53 32] ; [14 16],[49.52173913 35.47826087] ; [17.47826087 12.52173913],0
u1,1,0.147221,2.100813,[11 76] ; [ 1 29],[ 8.92307692 78.07692308] ; [ 3.07692308 26.92307692],0
d4,1,0.157157,2.001372,[73 13] ; [22  8],[70.43103448 15.56896552] ; [24.56896552  5.43103448],0
b4,1,0.164742,1.930153,[56 31] ; [15 15],[52.79487179 34.20512821] ; [18.20512821 11.79487179],0
r1,1,0.196224,1.670257,[65 21] ; [19 11],[62.27586207 23.72413793] ; [21.72413793  8.27586207],0
a3,1,0.209283,1.57638,[49 37] ; [21  9],[51.89655172 34.10344828] ; [18.10344828 11.89655172],0
d1,1,0.223944,1.478917,[46 41] ; [12 18],[43.12820513 43.87179487] ; [14.87179487 15.12820513],0
s8,1,0.226745,1.461166,[43 44] ; [11 19],[40.15384615 46.84615385] ; [13.84615385 16.15384615],0
v3,1,0.239664,1.382567,[25 58] ; [ 5 22],[22.63636364 60.36363636] ; [ 7.36363636 19.63636364],0
n2,1,0.249537,1.325893,[22  6] ; [10  6],[20.36363636  7.63636364] ; [11.63636364  4.36363636],0
v1,1,0.263125,1.252238,[34 48] ; [16 14],[36.60714286 45.39285714] ; [13.39285714 16.60714286],0
p1,1,0.285477,1.140828,[ 6 80] ; [ 4 26],[ 7.4137931 78.5862069] ; [ 2.5862069 27.4137931],0
p4,1,0.334522,0.931311,[45 42] ; [12 17],[42.75 44.25] ; [14.25 14.75],0
u4,1,0.42617,0.633238,[ 1 86] ; [ 1 29],[ 1.48717949 85.51282051] ; [ 0.51282051 29.48717949],0
u3,1,0.429195,0.625,[25 11] ; [5 4],[24. 12.] ; [6. 3.],0
a5,1,0.435882,0.607099,[48 39] ; [19 11],[49.82051282 37.17948718] ; [17.17948718 12.82051282],0
r3,1,0.460483,0.54472,[83  3] ; [28  2],[82.29310345  3.70689655] ; [28.70689655  1.29310345],0
b2,1,0.460658,0.544294,[14 28] ; [7 9],[15.20689655 26.79310345] ; [ 5.79310345 10.20689655],0
b3,1,0.460658,0.544294,[14 28] ; [7 9],[15.20689655 26.79310345] ; [ 5.79310345 10.20689655],0
a8,1,0.522492,0.408971,[ 3 76] ; [ 2 28],[ 3.62385321 75.37614679] ; [ 1.37614679 28.62385321],0
p6,1,0.57483,0.314667,[22 63] ; [ 6 23],[20.87719298 64.12280702] ; [ 7.12280702 21.87719298],0
r4,1,0.623914,0.240405,[73 14] ; [24  6],[72.12820513 14.87179487] ; [24.87179487  5.12820513],0
s4,1,0.653333,0.201724,[30 57] ; [ 9 21],[29. 58.] ; [10. 20.],0
s5,1,0.738507,0.111443,[33 51] ; [12 16],[33.75 50.25] ; [11.25 16.75],0
u2,1,0.760907,0.092593,[22 14] ; [5 4],[21.6 14.4] ; [5.4 3.6],0
p12,1,0.791818,0.06967,[ 4 83] ; [ 1 28],[ 3.75 83.25] ; [ 1.25 27.75],0
a2,1,0.821435,0.05094,[13 74] ; [ 5 25],[13.38461538 73.61538462] ; [ 4.61538462 25.38461538],0
