Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.2e-05,19.11409,[32 45] ; [37  8],[43.54918033 33.45081967] ; [25.45081967 19.54918033],1
n4,1,9.1e-05,15.308475,[50 28] ; [43  2],[58.97560976 19.02439024] ; [34.02439024 10.97560976],1
s7,1,0.004559,8.046653,[34 39] ; [31 11],[41.26086957 31.73913043] ; [23.73913043 18.26086957],0
p8,1,0.005573,7.683281,[43 35] ; [36  9],[50.09756098 27.90243902] ; [28.90243902 16.09756098],0
n6,1,0.006989,7.275892,[60 18] ; [43  2],[65.31707317 12.68292683] ; [37.68292683  7.31707317],0
v1,1,0.009234,6.777015,[33 45] ; [30 15],[39.95121951 38.04878049] ; [23.04878049 21.95121951],0
n5,1,0.015763,5.829092,[53 23] ; [40  5],[58.41322314 17.58677686] ; [34.58677686 10.41322314],0
s4,1,0.019305,5.473692,[15 61] ; [ 2 43],[10.67768595 65.32231405] ; [ 6.32231405 38.67768595],0
p5,1,0.020534,5.365919,[12 66] ; [15 30],[17.12195122 60.87804878] ; [ 9.87804878 35.12195122],0
s8,1,0.031203,4.641781,[29 48] ; [26 19],[34.71311475 42.28688525] ; [20.28688525 24.71311475],0
p10,1,0.032488,4.572558,[55 21] ; [40  5],[59.66942149 16.33057851] ; [35.33057851  9.66942149],0
p9,1,0.034048,4.492311,[59 19] ; [41  4],[63.41463415 14.58536585] ; [36.58536585  8.41463415],0
p1,1,0.040309,4.204837,[ 7 71] ; [10 35],[10.7804878 67.2195122] ; [ 6.2195122 38.7804878],0
r4,1,0.057575,3.605897,[63 15] ; [42  3],[66.58536585 11.41463415] ; [38.41463415  6.58536585],0
a5,1,0.063702,3.438276,[35 43] ; [28 17],[39.95121951 38.04878049] ; [23.04878049 21.95121951],0
p4,1,0.064061,3.42899,[50 28] ; [36  9],[54.53658537 23.46341463] ; [31.46341463 13.53658537],0
p11,1,0.10113,2.687625,[60 18] ; [40  5],[63.41463415 14.58536585] ; [36.58536585  8.41463415],0
a3,1,0.12068,2.408476,[39 39] ; [29 16],[43.12195122 34.87804878] ; [24.87804878 20.12195122],0
b4,1,0.12068,2.408476,[39 39] ; [29 16],[43.12195122 34.87804878] ; [24.87804878 20.12195122],0
n1,1,0.123828,2.36822,[ 8 14] ; [6 3],[ 9.93548387 12.06451613] ; [4.06451613 4.93548387],0
p3,1,0.127256,2.325663,[41 37] ; [30 15],[45.02439024 32.97560976] ; [25.97560976 19.02439024],0
r1,1,0.150015,2.072096,[53 25] ; [36  9],[56.43902439 21.56097561] ; [32.56097561 12.43902439],0
p12,1,0.171851,1.866724,[ 6 72] ; [ 7 38],[ 8.24390244 69.75609756] ; [ 4.75609756 40.24390244],0
r2,1,0.177704,1.816722,[68  9] ; [43  2],[70.05737705  6.94262295] ; [40.94262295  4.05737705],0
b1,1,0.189835,1.718897,[39 39] ; [17 28],[35.51219512 42.48780488] ; [20.48780488 24.51219512],0
u1,1,0.298991,1.078687,[ 5 73] ; [ 1 44],[ 3.80487805 74.19512195] ; [ 2.19512195 42.80487805],0
n2,1,0.35322,0.861857,[16  6] ; [5 4],[14.90322581  7.09677419] ; [6.09677419 2.90322581],0
s5,1,0.4152,0.663862,[26 47] ; [19 25],[28.07692308 44.92307692] ; [16.92307692 27.07692308],0
u2,1,0.430743,0.620819,[24 15] ; [8 8],[22.69090909 16.30909091] ; [9.30909091 6.69090909],0
a1,1,0.431814,0.61794,[ 4 74] ; [ 1 44],[ 3.17073171 74.82926829] ; [ 1.82926829 43.17073171],0
n3,1,0.444549,0.584512,[14  8] ; [7 2],[14.90322581  7.09677419] ; [6.09677419 2.90322581],0
s3,1,0.45075,0.568765,[37 41] ; [24 20],[39. 39.] ; [22. 22.],0
d3,1,0.453711,0.561365,[34 42] ; [17 28],[32.03305785 43.96694215] ; [18.96694215 26.03305785],0
a4,1,0.47883,0.501527,[21 56] ; [15 30],[22.72131148 54.27868852] ; [13.27868852 31.72131148],0
v4,1,0.481698,0.495017,[72  6] ; [43  2],[72.92682927  5.07317073] ; [42.07317073  2.92682927],0
d2,1,0.508308,0.437548,[12 66] ; [ 5 40],[10.7804878 67.2195122] ; [ 6.2195122 38.7804878],0
a6,1,0.58079,0.304959,[49 29] ; [26 19],[47.56097561 30.43902439] ; [27.43902439 17.56097561],0
u3,1,0.593955,0.284211,[22 16] ; [8 8],[21.11111111 16.88888889] ; [8.88888889 7.11111111],0
b2,1,0.608737,0.262018,[21 25] ; [14 13],[22.05479452 23.94520548] ; [12.94520548 14.05479452],0
b3,1,0.608737,0.262018,[21 25] ; [14 13],[22.05479452 23.94520548] ; [12.94520548 14.05479452],0
d4,1,0.610248,0.259814,[47 31] ; [25 20],[45.65853659 32.34146341] ; [26.34146341 18.65853659],0
s1,1,0.616414,0.25094,[ 3 74] ; [ 1 44],[ 2.52459016 74.47540984] ; [ 1.47540984 43.52459016],0
s6,1,0.622157,0.242847,[49 26] ; [30 13],[50.21186441 24.78813559] ; [28.78813559 14.21186441],0
s2,1,0.67116,0.180249,[38 39] ; [24 21],[39.13114754 37.86885246] ; [22.86885246 22.13114754],0
p2,1,0.672045,0.17922,[68 10] ; [38  7],[67.2195122 10.7804878] ; [38.7804878  6.2195122],0
d5,1,0.699985,0.148487,[40 37] ; [25 20],[41.02459016 35.97540984] ; [23.97540984 21.02459016],0
r3,1,0.722782,0.125843,[74  4] ; [42  3],[73.56097561  4.43902439] ; [42.43902439  2.56097561],0
a2,1,0.815071,0.054704,[ 6 72] ; [ 4 41],[ 6.34146341 71.65853659] ; [ 3.65853659 41.34146341],0
b5,1,0.834807,0.043489,[50 28] ; [28 17],[49.46341463 28.53658537] ; [28.53658537 16.46341463],0
