Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.006792,7.327232,[42  9] ; [2 4],[39.36842105 11.63157895] ; [4.63157895 1.36842105],0
a5,1,0.008849,6.85314,[36 15] ; [1 5],[33.10526316 17.89473684] ; [3.89473684 2.10526316],0
v4,1,0.024552,5.055204,[48  3] ; [4 2],[46.52631579  4.47368421] ; [5.47368421 0.52631579],0
d5,1,0.026126,4.947633,[39 12] ; [2 4],[36.68421053 14.31578947] ; [4.31578947 1.68421053],0
r1,1,0.026126,4.947633,[39 12] ; [2 4],[36.68421053 14.31578947] ; [4.31578947 1.68421053],0
n5,1,0.049868,3.845898,[30 21] ; [1 5],[27.73684211 23.26315789] ; [3.26315789 2.73684211],0
d1,1,0.049868,3.845898,[30 21] ; [1 5],[27.73684211 23.26315789] ; [3.26315789 2.73684211],0
a7,1,0.050614,3.821016,[37 14] ; [2 4],[34.89473684 16.10526316] ; [4.10526316 1.89473684],0
n6,1,0.055327,3.672203,[36 14] ; [2 4],[33.92857143 16.07142857] ; [4.07142857 1.92857143],0
d2,1,0.092722,2.826463,[27 24] ; [1 5],[25.05263158 25.94736842] ; [2.94736842 3.05263158],0
d3,1,0.125924,2.342046,[40 11] ; [3 3],[38.47368421 12.52631579] ; [4.52631579 1.47368421],0
p6,1,0.138769,2.191558,[17 31] ; [4 2],[18.66666667 29.33333333] ; [2.33333333 3.66666667],0
n4,1,0.16482,1.929442,[32 19] ; [2 4],[30.42105263 20.57894737] ; [3.57894737 2.42105263],0
b4,1,0.16482,1.929442,[32 19] ; [2 4],[30.42105263 20.57894737] ; [3.57894737 2.42105263],0
b1,1,0.211249,1.562848,[29 22] ; [5 1],[30.42105263 20.57894737] ; [3.57894737 2.42105263],0
s2,1,0.292823,1.106598,[22 28] ; [4 2],[23.21428571 26.78571429] ; [2.78571429 3.21428571],0
s4,1,0.307983,1.039305,[ 8 41] ; [2 4],[ 8.90909091 40.09090909] ; [1.09090909 4.90909091],0
a3,1,0.363476,0.825848,[27 24] ; [2 4],[25.94736842 25.05263158] ; [3.05263158 2.94736842],0
s7,1,0.380122,0.770308,[20 30] ; [1 4],[19.09090909 30.90909091] ; [1.90909091 3.09090909],0
p4,1,0.418427,0.65473,[34 17] ; [3 3],[33.10526316 17.89473684] ; [3.89473684 2.10526316],0
u2,1,0.435678,0.607639,[13 11] ; [3 1],[13.71428571 10.28571429] ; [2.28571429 1.71428571],0
r3,1,0.469869,0.522285,[47  4] ; [5 1],[46.52631579  4.47368421] ; [5.47368421 0.52631579],0
b5,1,0.479962,0.49895,[33 18] ; [3 3],[32.21052632 18.78947368] ; [3.78947368 2.21052632],0
s8,1,0.494525,0.466667,[15 35] ; [1 5],[14.28571429 35.71428571] ; [1.71428571 4.28571429],0
d4,1,0.515917,0.422049,[40 11] ; [4 2],[39.36842105 11.63157895] ; [4.63157895 1.36842105],0
p2,1,0.515917,0.422049,[40 11] ; [4 2],[39.36842105 11.63157895] ; [4.63157895 1.36842105],0
n1,1,0.521839,0.410256,[7 6] ; [1 2],[6.5 6.5] ; [1.5 1.5],0
n3,1,0.521839,0.410256,[6 7] ; [2 1],[6.5 6.5] ; [1.5 1.5],0
a8,1,0.56174,0.3367,[ 4 40] ; [1 5],[ 4.4 39.6] ; [0.6 5.4],0
p11,1,0.582778,0.301765,[28 23] ; [4 2],[28.63157895 22.36842105] ; [3.36842105 2.63157895],0
s6,1,0.683463,0.166254,[29 21] ; [4 2],[29.46428571 20.53571429] ; [3.53571429 2.46428571],0
n2,1,0.711531,0.136752,[10  3] ; [2 1],[9.75 3.25] ; [2.25 0.75],0
p7,1,0.763536,0.090505,[39 11] ; [5 1],[39.28571429 10.71428571] ; [4.71428571 1.28571429],0
p3,1,0.852729,0.034462,[23 27] ; [3 3],[23.21428571 26.78571429] ; [2.78571429 3.21428571],0
v3,1,0.866745,0.028155,[15 35] ; [2 4],[15.17857143 34.82142857] ; [1.82142857 4.17857143],0
u3,1,0.877059,0.023932,[13 11] ; [2 2],[12.85714286 11.14285714] ; [2.14285714 1.85714286],0
s3,1,0.89144,0.018627,[27 24] ; [3 3],[26.84210526 24.15789474] ; [3.15789474 2.84210526],0
s5,1,0.918799,0.010393,[ 9 40] ; [1 5],[ 8.90909091 40.09090909] ; [1.09090909 4.90909091],0
p10,1,0.92416,0.009062,[18 33] ; [2 4],[17.89473684 33.10526316] ; [2.10526316 3.89473684],0
v1,1,0.92416,0.009062,[18 33] ; [2 4],[17.89473684 33.10526316] ; [2.10526316 3.89473684],0
v2,1,0.963758,0.002065,[25 26] ; [3 3],[25.05263158 25.94736842] ; [2.94736842 3.05263158],0
a6,1,1.0,0.0,[34 17] ; [4 2],[34. 17.] ; [4. 2.],0
