Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,41.8121,[288   8] ; [40 14],[277.39428571  18.60571429] ; [50.60571429  3.39428571],1
v4,1,0.000219,13.66084,[291   5] ; [47  6],[286.67048711   9.32951289] ; [51.32951289  1.67048711],1
r2,1,0.000335,12.865599,[284  10] ; [44  8],[278.70520231  15.29479769] ; [49.29479769  2.70520231],1
u1,1,0.000993,10.839876,[ 77 219] ; [ 3 51],[ 67.65714286 228.34285714] ; [12.34285714 41.65714286],1
a3,1,0.001533,10.038859,[246  49] ; [35 19],[237.52148997  57.47851003] ; [43.47851003 10.52148997],0
d3,1,0.001894,9.64921,[216  80] ; [28 26],[206.35428571  89.64571429] ; [37.64571429 16.35428571],0
a5,1,0.004981,7.886336,[246  50] ; [36 18],[238.49142857  57.50857143] ; [43.50857143 10.49142857],0
d2,1,0.012274,6.27088,[175 121] ; [22 32],[166.60571429 129.39428571] ; [30.39428571 23.60571429],0
d5,1,0.016764,5.720883,[256  39] ; [40 14],[250.20057307  44.79942693] ; [45.79942693  8.20057307],0
a2,1,0.018949,5.506201,[ 90 206] ; [ 8 46],[ 82.88 213.12] ; [15.12 38.88],0
d1,1,0.022234,5.227383,[206  90] ; [29 25],[198.74285714  97.25714286] ; [36.25714286 17.74285714],0
n4,1,0.024144,5.084233,[251  45] ; [39 15],[245.25714286  50.74285714] ; [44.74285714  9.25714286],0
d4,1,0.032295,4.582747,[257  38] ; [41 13],[251.89111748  43.10888252] ; [46.10888252  7.89111748],0
n6,1,0.032324,4.581227,[265  30] ; [43 11],[260.34383954  34.65616046] ; [47.65616046  6.34383954],0
a4,1,0.036182,4.388525,[150 146] ; [19 35],[142.92571429 153.07428571] ; [26.07428571 27.92571429],0
v2,1,0.04088,4.180983,[181 105] ; [24 26],[174.49404762 111.50595238] ; [30.50595238 19.49404762],0
p2,1,0.059771,3.543734,[258  37] ; [42 12],[253.58166189  41.41833811] ; [46.41833811  7.58166189],0
a7,1,0.063331,3.447926,[212  83] ; [32 22],[206.24641834  88.75358166] ; [37.75358166 16.24641834],0
r3,1,0.08059,3.052954,[288   8] ; [50  4],[285.85142857  10.14857143] ; [52.14857143  1.85142857],0
p1,1,0.096992,2.754317,[ 27 267] ; [ 9 45],[ 30.4137931 263.5862069] ; [ 5.5862069 48.4137931],0
s4,1,0.110891,2.541476,[ 54 240] ; [15 39],[ 58.29310345 235.70689655] ; [10.70689655 43.29310345],0
s1,1,0.124669,2.357657,[  9 283] ; [ 4 50],[ 10.97109827 281.02890173] ; [ 2.02890173 51.97109827],0
a6,1,0.124696,2.357328,[201  94] ; [31 23],[196.10315186  98.89684814] ; [35.89684814 18.10315186],0
v1,1,0.159377,1.980124,[184 103] ; [28 24],[179.48082596 107.51917404] ; [32.51917404 19.48082596],0
b3,1,0.175347,1.836625,[ 90 107] ; [14 27],[ 86.08403361 110.91596639] ; [17.91596639 23.08403361],0
b2,1,0.175347,1.836625,[ 90 107] ; [14 27],[ 86.08403361 110.91596639] ; [17.91596639 23.08403361],0
s5,1,0.187948,1.733629,[137 148] ; [19 31],[132.71641791 152.28358209] ; [23.28358209 26.71641791],0
p12,1,0.188141,1.732119,[ 41 253] ; [ 4 50],[ 38.01724138 255.98275862] ; [ 6.98275862 47.01724138],0
n5,1,0.210735,1.566372,[245  50] ; [41 13],[241.747851  53.252149] ; [44.252149  9.747851],0
p7,1,0.27556,1.188857,[214  73] ; [35 17],[210.80530973  76.19469027] ; [38.19469027 13.80530973],0
n1,1,0.278114,1.176282,[25 32] ; [10  7],[26.95945946 30.04054054] ; [8.04054054 8.95945946],0
p11,1,0.286603,1.135511,[246  50] ; [48  6],[248.64  47.36] ; [45.36  8.64],0
p5,1,0.291913,1.110778,[ 50 242] ; [ 6 47],[ 47.39710145 244.60289855] ; [ 8.60289855 44.39710145],0
v3,1,0.295472,1.094521,[140 145] ; [21 30],[136.5625 148.4375] ; [24.4375 26.5625],0
s6,1,0.321681,0.982101,[253  41] ; [42 10],[250.66473988  43.33526012] ; [44.33526012  7.66473988],0
s2,1,0.337308,0.920635,[210  84] ; [42 12],[212.89655172  81.10344828] ; [39.10344828 14.89655172],0
p9,1,0.343148,0.898635,[283  13] ; [50  4],[281.62285714  14.37714286] ; [51.37714286  2.62285714],0
a8,1,0.39036,0.737822,[ 45 227] ; [ 6 45],[ 42.94736842 229.05263158] ; [ 8.05263158 42.94736842],0
p8,1,0.393459,0.728224,[178 114] ; [29 24],[175.2 116.8] ; [31.8 21.2],0
p6,1,0.403059,0.699181,[137 157] ; [28 25],[139.79827089 154.20172911] ; [25.20172911 27.79827089],0
u4,1,0.488685,0.479421,[ 11 285] ; [ 1 53],[ 10.14857143 285.85142857] ; [ 1.85142857 52.14857143],0
p4,1,0.528175,0.397901,[204  91] ; [35 19],[202.02005731  92.97994269] ; [36.97994269 17.02005731],0
u3,1,0.53152,0.391484,[33 17] ; [11  8],[31.88405797 18.11594203] ; [12.11594203  6.88405797],0
b5,1,0.534615,0.385612,[173 123] ; [34 20],[175.06285714 120.93714286] ; [31.93714286 22.06285714],0
u2,1,0.620124,0.245693,[31 19] ; [13  6],[31.88405797 18.11594203] ; [12.11594203  6.88405797],0
n2,1,0.666846,0.185313,[44 13] ; [13  5],[43.32 13.68] ; [13.68  4.32],0
n3,1,0.668968,0.182811,[41 16] ; [12  6],[40.28 16.72] ; [12.72  5.28],0
b4,1,0.698346,0.150198,[167 129] ; [32 22],[168.29714286 127.70285714] ; [30.70285714 23.29714286],0
s7,1,0.85187,0.034869,[221  62] ; [40 12],[220.48656716  62.51343284] ; [40.51343284 11.48656716],0
b1,1,0.903832,0.014598,[118 178] ; [22 32],[118.4 177.6] ; [21.6 32.4],0
s3,1,0.959469,0.002583,[218  75] ; [40 14],[217.85014409  75.14985591] ; [40.14985591 13.85014409],0
a1,1,0.96428,0.002006,[ 16 280] ; [ 3 51],[ 16.06857143 279.93142857] ; [ 2.93142857 51.06857143],0
p3,1,0.984904,0.000358,[175 121] ; [32 22],[175.06285714 120.93714286] ; [31.93714286 22.06285714],0
