Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,87.468199,[135  35] ; [ 54 128],[91.27840909 78.72159091] ; [97.72159091 84.27840909],1
s2,1,0.0,33.523327,[134  43] ; [ 85 100],[107.0801105  69.9198895] ; [111.9198895  73.0801105],1
s3,1,0.0,27.345452,[145  32] ; [102  79],[122.12011173  54.87988827] ; [124.87988827  56.12011173],1
d2,1,0.000384,12.608254,[99 80] ; [ 68 117],[82.12362637 96.87637363] ; [ 84.87637363 100.12362637],1
a3,1,0.000386,12.596755,[140  39] ; [113  72],[124.41483516  54.58516484] ; [128.58516484  56.41483516],1
p10,1,0.00068,11.543233,[153  24] ; [133  52],[139.83977901  37.16022099] ; [146.16022099  38.83977901],1
r4,1,0.001981,9.5674,[169  10] ; [157  29],[159.8739726  19.1260274] ; [166.1260274  19.8739726],0
r1,1,0.002461,9.169019,[155  22] ; [139  46],[143.75138122  33.24861878] ; [150.24861878  34.75138122],0
p9,1,0.010767,6.503362,[157  21] ; [143  40],[147.92243767  30.07756233] ; [152.07756233  30.92243767],0
d1,1,0.011934,6.320669,[111  68] ; [91 95],[99.0630137 79.9369863] ; [102.9369863  83.0630137],0
v3,1,0.015325,5.878688,[77 91] ; [ 60 121],[ 65.94842407 102.05157593] ; [ 71.05157593 109.94842407],0
u4,1,0.015463,5.862916,[  8 171] ; [  1 185],[  4.41369863 174.58630137] ; [  4.58630137 181.41369863],0
a2,1,0.015971,5.806025,[ 53 126] ; [ 35 151],[ 43.15616438 135.84383562] ; [ 44.84383562 141.15616438],0
p3,1,0.022303,5.221981,[87 92] ; [ 68 117],[ 76.22252747 102.77747253] ; [ 78.77747253 106.22252747],0
v4,1,0.047909,3.913188,[174   4] ; [172  12],[170.13259669   7.86740331] ; [175.86740331   8.13259669],0
d5,1,0.048302,3.899437,[152  27] ; [142  43],[144.57692308  34.42307692] ; [149.42307692  35.57692308],0
n4,1,0.051117,3.804451,[137  40] ; [127  59],[128.72727273  48.27272727] ; [135.27272727  50.72727273],0
b2,1,0.066766,3.360799,[43 79] ; [22 71],[36.88372093 85.11627907] ; [28.11627907 64.88372093],0
b3,1,0.066766,3.360799,[43 79] ; [22 71],[36.88372093 85.11627907] ; [28.11627907 64.88372093],0
s5,1,0.073345,3.206538,[ 73 101] ; [ 60 123],[ 64.82352941 109.17647059] ; [ 68.17647059 114.82352941],0
u3,1,0.108912,2.569936,[27 12] ; [38 33],[23.04545455 15.95454545] ; [41.95454545 29.04545455],0
r2,1,0.111357,2.534853,[169   8] ; [168  16],[165.23268698  11.76731302] ; [171.76731302  12.23268698],0
r3,1,0.115037,2.48362,[173   6] ; [172  13],[169.65659341   9.34340659] ; [175.34340659   9.65659341],0
