Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2.9e-05,17.470009,[78 23] ; [11 19],[68.61832061 32.38167939] ; [20.38167939  9.61832061],1
a5,1,0.00086,11.107685,[65 36] ; [ 9 21],[57.05343511 43.94656489] ; [16.94656489 13.05343511],1
d3,1,0.001142,10.581259,[75 25] ; [13 17],[67.69230769 32.30769231] ; [20.30769231  9.69230769],0
d2,1,0.001381,10.231553,[42 59] ; [ 3 27],[34.69465649 66.30534351] ; [10.30534351 19.69465649],0
v2,1,0.007372,7.179995,[47 52] ; [ 6 24],[40.6744186 58.3255814] ; [12.3255814 17.6744186],0
a4,1,0.011473,6.390538,[34 67] ; [ 3 27],[28.52671756 72.47328244] ; [ 8.47328244 21.52671756],0
n4,1,0.030694,4.670001,[69 32] ; [14 16],[63.99236641 37.00763359] ; [19.00763359 10.99236641],0
d4,1,0.040996,4.176193,[82 19] ; [19 11],[77.87022901 23.12977099] ; [23.12977099  6.87022901],0
a3,1,0.065406,3.3947,[66 35] ; [14 16],[61.67938931 39.32061069] ; [18.32061069 11.67938931],0
b4,1,0.12869,2.308232,[66 35] ; [15 15],[62.45038168 38.54961832] ; [18.54961832 11.45038168],0
p3,1,0.185799,1.750621,[47 53] ; [10 20],[43.84615385 56.15384615] ; [13.15384615 16.84615385],0
u2,1,0.266192,1.236264,[20 15] ; [6 9],[18.2 16.8] ; [7.8 7.2],0
v1,1,0.298979,1.078742,[44 53] ; [10 19],[41.57142857 55.42857143] ; [12.42857143 16.57142857],0
n6,1,0.304817,1.053,[79 21] ; [21  9],[76.92307692 23.07692308] ; [23.07692308  6.92307692],0
v3,1,0.331843,0.941693,[32 66] ; [ 7 23],[29.859375 68.140625] ; [ 9.140625 20.859375],0
p7,1,0.366314,0.81613,[47 52] ; [16 12],[49.11023622 49.88976378] ; [13.88976378 14.11023622],0
u3,1,0.408083,0.68438,[17 17] ; [ 6 10],[15.64 18.36] ; [7.36 8.64],0
r2,1,0.423764,0.639854,[79 16] ; [23  7],[77.52 17.48] ; [24.48  5.52],0
p8,1,0.426387,0.632644,[40 60] ; [14 15],[41.86046512 58.13953488] ; [12.13953488 16.86046512],0
s8,1,0.4354,0.608376,[31 70] ; [ 7 23],[29.29770992 71.70229008] ; [ 8.70229008 21.29770992],0
p11,1,0.480719,0.497232,[74 27] ; [20 10],[72.47328244 28.52671756] ; [21.52671756  8.47328244],0
p10,1,0.488073,0.480772,[74 23] ; [21  9],[72.55905512 24.44094488] ; [22.44094488  7.55905512],0
r4,1,0.507165,0.439912,[64 37] ; [17 13],[62.45038168 38.54961832] ; [18.54961832 11.45038168],0
s5,1,0.521923,0.410092,[25 69] ; [ 6 23],[23.69105691 70.30894309] ; [ 7.30894309 21.69105691],0
b2,1,0.524308,0.40541,[25 34] ; [ 5 10],[23.91891892 35.08108108] ; [6.08108108 8.91891892],0
b3,1,0.524308,0.40541,[25 34] ; [ 5 10],[23.91891892 35.08108108] ; [6.08108108 8.91891892],0
s3,1,0.527605,0.399002,[47 54] ; [12 18],[45.48854962 55.51145038] ; [13.51145038 16.48854962],0
r3,1,0.548114,0.360706,[88 13] ; [24  5],[87.01538462 13.98461538] ; [24.98461538  4.01538462],0
p12,1,0.600193,0.274705,[ 6 95] ; [ 1 28],[ 5.43846154 95.56153846] ; [ 1.56153846 27.43846154],0
n3,1,0.611982,0.257299,[19 10] ; [6 2],[19.59459459  9.40540541] ; [5.40540541 2.59459459],0
n1,1,0.628745,0.233766,[ 8 20] ; [3 5],[ 8.55555556 19.44444444] ; [2.44444444 5.55555556],0
s7,1,0.6377,0.221763,[34 61] ; [ 9 20],[32.94354839 62.05645161] ; [10.05645161 18.94354839],0
p4,1,0.667508,0.184531,[46 55] ; [15 15],[47.03053435 53.96946565] ; [13.96946565 16.03053435],0
s1,1,0.722803,0.125823,[ 5 95] ; [ 2 28],[ 5.38461538 94.61538462] ; [ 1.61538462 28.38461538],0
p9,1,0.731127,0.118079,[78 20] ; [23  7],[77.328125 20.671875] ; [23.671875  6.328125],0
b1,1,0.740703,0.109509,[37 64] ; [10 20],[36.23664122 64.76335878] ; [10.76335878 19.23664122],0
n2,1,0.740947,0.109296,[20  9] ; [6 2],[20.37837838  8.62162162] ; [5.62162162 2.37837838],0
n5,1,0.766176,0.088435,[63 37] ; [18 12],[62.30769231 37.69230769] ; [18.69230769 11.30769231],0
p6,1,0.785234,0.074259,[32 66] ; [ 9 21],[31.390625 66.609375] ; [ 9.609375 20.390625],0
p1,1,0.810043,0.057778,[ 8 92] ; [ 2 28],[ 7.69230769 92.30769231] ; [ 2.30769231 27.69230769],0
a8,1,0.811054,0.057153,[11 84] ; [ 3 27],[10.64 84.36] ; [ 3.36 26.64],0
a1,1,0.82031,0.051595,[ 8 93] ; [ 2 28],[ 7.70992366 93.29007634] ; [ 2.29007634 27.70992366],0
v4,1,0.824387,0.049242,[85 15] ; [25  5],[84.61538462 15.38461538] ; [25.38461538  4.61538462],0
b5,1,0.861417,0.030475,[69 32] ; [21  9],[69.38931298 31.61068702] ; [20.61068702  9.38931298],0
s6,1,0.901295,0.015382,[51 47] ; [16 14],[51.296875 46.703125] ; [15.703125 14.296875],0
s4,1,0.924972,0.008869,[21 80] ; [ 6 24],[20.81679389 80.18320611] ; [ 6.18320611 23.81679389],0
s2,1,0.953581,0.003388,[41 60] ; [12 18],[40.86259542 60.13740458] ; [12.13740458 17.86259542],0
p5,1,0.969507,0.001461,[10 89] ; [ 3 26],[10.0546875 88.9453125] ; [ 2.9453125 26.0546875],0
p2,1,0.971202,0.001303,[73 27] ; [22  8],[73.07692308 26.92307692] ; [21.92307692  8.07692308],0
