Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.019143,5.488374,[1 8] ; [10  7],[3.80769231 5.19230769] ; [7.19230769 9.80769231],0
p4,1,0.029345,4.747253,[2 7] ; [12  6],[4.66666667 4.33333333] ; [9.33333333 8.66666667],0
r3,1,0.036966,4.351974,[4 5] ; [15  3],[6.33333333 2.66666667] ; [12.66666667  5.33333333],0
n4,1,0.052539,3.758523,[3 6] ; [13  5],[5.33333333 3.66666667] ; [10.66666667  7.33333333],0
a3,1,0.069676,3.290625,[7 1] ; [9 9],[4.92307692 3.07692308] ; [11.07692308  6.92307692],0
d4,1,0.120507,2.410714,[5 4] ; [15  3],[6.66666667 2.33333333] ; [13.33333333  4.66666667],0
p11,1,0.158834,1.985294,[4 5] ; [13  5],[5.66666667 3.33333333] ; [11.33333333  6.66666667],0
n6,1,0.164725,1.930303,[3 5] ; [12  6],[4.61538462 3.38461538] ; [10.38461538  7.61538462],0
r4,1,0.16612,1.917614,[2 7] ; [9 9],[3.66666667 5.33333333] ; [ 7.33333333 10.66666667],0
p9,1,0.192373,1.699346,[4 5] ; [12  5],[5.53846154 3.46153846] ; [10.46153846  6.53846154],0
s1,1,0.193931,1.6875,[2 7] ; [ 1 17],[1. 8.] ; [ 2. 16.],0
p6,1,0.214193,1.542857,[1 8] ; [ 6 12],[2.33333333 6.66666667] ; [ 4.66666667 13.33333333],0
b1,1,0.259656,1.270588,[7 2] ; [10  8],[5.66666667 3.33333333] ; [11.33333333  6.66666667],0
v4,1,0.267938,1.227273,[4 5] ; [12  6],[5.33333333 3.66666667] ; [10.66666667  7.33333333],0
p7,1,0.267938,1.227273,[4 5] ; [12  6],[5.33333333 3.66666667] ; [10.66666667  7.33333333],0
a5,1,0.267938,1.227273,[4 5] ; [12  6],[5.33333333 3.66666667] ; [10.66666667  7.33333333],0
s2,1,0.366444,0.815686,[3 6] ; [ 3 14],[2.07692308 6.92307692] ; [ 3.92307692 13.07692308],0
n3,1,0.376462,0.782222,[2 4] ; [3 2],[2.72727273 3.27272727] ; [2.27272727 2.72727273],0
n2,1,0.376462,0.782222,[4 2] ; [2 3],[3.27272727 2.72727273] ; [2.72727273 2.27272727],0
a8,1,0.399765,0.709034,[2 6] ; [ 2 15],[1.28 6.72] ; [ 2.72 14.28],0
b2,1,0.408961,0.681818,[2 2] ; [3 8],[1.33333333 2.66666667] ; [3.66666667 7.33333333],0
b3,1,0.408961,0.681818,[2 2] ; [3 8],[1.33333333 2.66666667] ; [3.66666667 7.33333333],0
a7,1,0.411314,0.675,[4 5] ; [11  7],[5. 4.] ; [10.  8.],0
p8,1,0.411314,0.675,[3 6] ; [9 9],[4. 5.] ; [ 8. 10.],0
s6,1,0.411314,0.675,[3 6] ; [9 9],[4. 5.] ; [ 8. 10.],0
p2,1,0.534561,0.385714,[6 3] ; [14  4],[6.66666667 2.33333333] ; [13.33333333  4.66666667],0
s8,1,0.579639,0.306818,[3 6] ; [ 8 10],[3.66666667 5.33333333] ; [ 7.33333333 10.66666667],0
d3,1,0.585957,0.296703,[4 5] ; [10  8],[4.66666667 4.33333333] ; [9.33333333 8.66666667],0
p10,1,0.591838,0.287483,[6 3] ; [13  4],[6.57692308 2.42307692] ; [12.42307692  4.57692308],0
s3,1,0.591838,0.287483,[3 6] ; [ 4 13],[2.42307692 6.57692308] ; [ 4.57692308 12.42307692],0
p1,1,0.603332,0.27,[1 8] ; [ 1 17],[0.66666667 8.33333333] ; [ 1.33333333 16.66666667],0
u2,1,0.657619,0.196429,[1 1] ; [6 3],[1.27272727 0.72727273] ; [5.72727273 3.27272727],0
a6,1,0.778096,0.079412,[3 6] ; [ 7 11],[3.33333333 5.66666667] ; [ 6.66666667 11.33333333],0
a4,1,0.778096,0.079412,[3 6] ; [ 7 11],[3.33333333 5.66666667] ; [ 6.66666667 11.33333333],0
n5,1,0.781814,0.076705,[5 4] ; [11  7],[5.33333333 3.66666667] ; [10.66666667  7.33333333],0
s7,1,0.878854,0.023232,[4 4] ; [7 8],[3.82608696 4.17391304] ; [7.17391304 7.82608696],0
u3,1,0.886508,0.02037,[1 1] ; [5 4],[1.09090909 0.90909091] ; [4.90909091 4.09090909],0
a2,1,1.0,0.0,[1 8] ; [ 2 16],[1. 8.] ; [ 2. 16.],0
s4,1,1.0,0.0,[1 8] ; [ 2 16],[1. 8.] ; [ 2. 16.],0
b5,1,1.0,0.0,[5 4] ; [10  8],[5. 4.] ; [10.  8.],0
b4,1,1.0,0.0,[6 3] ; [12  6],[6. 3.] ; [12.  6.],0
v1,1,1.0,0.0,[3 6] ; [ 6 12],[3. 6.] ; [ 6. 12.],0
