Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,71.234783,[107  18] ; [37 78],[75. 50.] ; [69. 46.],1
p4,1,0.0,33.159882,[90 36] ; [40 76],[67.68595041 58.31404959] ; [62.31404959 53.68595041],1
p3,1,0.0,30.988786,[80 47] ; [31 83],[58.49377593 68.50622407] ; [52.50622407 61.49377593],1
p6,1,0.0,29.811365,[57 68] ; [15 99],[37.65690377 87.34309623] ; [34.34309623 79.65690377],1
p2,1,0.0,28.278149,[114  12] ; [70 44],[96.6 29.4] ; [87.4 26.6],1
v1,1,1.8e-05,18.38611,[77 48] ; [39 76],[60.41666667 64.58333333] ; [55.58333333 59.41666667],1
r4,1,2.5e-05,17.778315,[121   6] ; [89 27],[109.75308642  17.24691358] ; [100.24691358  15.75308642],1
v4,1,0.00013,14.640959,[124   3] ; [96 19],[115.45454545  11.54545455] ; [104.54545455  10.45454545],1
p10,1,0.000136,14.555664,[108  19] ; [74 42],[95.11934156 31.88065844] ; [86.88065844 29.11934156],1
p9,1,0.000229,13.57823,[110  16] ; [77 37],[98.175 27.825] ; [88.825 25.175],1
p11,1,0.003427,8.565006,[105  22] ; [77 39],[95.11934156 31.88065844] ; [86.88065844 29.11934156],0
r1,1,0.009126,6.79803,[110  16] ; [86 30],[102.04958678  23.95041322] ; [93.95041322 22.04958678],0
s8,1,0.011351,6.409519,[42 84] ; [22 94],[33.32231405 92.67768595] ; [30.67768595 85.32231405],0
n6,1,0.033462,4.521966,[109  17] ; [88 28],[102.57024793  23.42975207] ; [94.42975207 21.57024793],0
r3,1,0.03557,4.417623,[121   6] ; [101  14],[116.50413223  10.49586777] ; [105.49586777   9.50413223],0
v3,1,0.048463,3.893869,[53 69] ; [35 78],[45.68510638 76.31489362] ; [42.31489362 70.68510638],0
n5,1,0.056225,3.645374,[94 33] ; [72 43],[87.11570248 39.88429752] ; [78.88429752 36.11570248],0
n2,1,0.076254,3.142988,[15  5] ; [21 20],[11.80327869  8.19672131] ; [24.19672131 16.80327869],0
r2,1,0.109536,2.560902,[120   4] ; [104   9],[117.19831224   6.80168776] ; [106.80168776   6.19831224],0
a8,1,0.130017,2.292299,[16 94] ; [ 8 93],[12.51184834 97.48815166] ; [11.48815166 89.51184834],0
a6,1,0.157891,1.994308,[92 35] ; [93 23],[96.6872428 30.3127572] ; [88.3127572 27.6872428],0
a5,1,0.185216,1.755268,[107  20] ; [90 26],[102.95884774  24.04115226] ; [94.04115226 21.95884774],0
b4,1,0.186857,1.742229,[75 52] ; [78 38],[79.96296296 47.03703704] ; [73.03703704 42.96296296],0
n4,1,0.193816,1.688369,[101  26] ; [84 32],[96.6872428 30.3127572] ; [88.3127572 27.6872428],0
p5,1,0.198468,1.653615,[ 15 112] ; [  8 107],[ 12.07024793 114.92975207] ; [ 10.92975207 104.07024793],0
b2,1,0.22387,1.479391,[28 52] ; [33 41],[31.68831169 48.31168831] ; [29.31168831 44.68831169],0
b3,1,0.22387,1.479391,[28 52] ; [33 41],[31.68831169 48.31168831] ; [29.31168831 44.68831169],0
a4,1,0.239541,1.383291,[65 61] ; [68 47],[69.53526971 56.46473029] ; [63.46473029 51.53526971],0
a1,1,0.246608,1.342415,[  3 124] ; [  6 110],[  4.7037037 122.2962963] ; [  4.2962963 111.7037037],0
d5,1,0.271005,1.211653,[126   1] ; [113   3],[124.90946502   2.09053498] ; [114.09053498   1.90946502],0
v2,1,0.278997,1.171969,[74 50] ; [59 53],[69.88135593 54.11864407] ; [63.11864407 48.88135593],0
a2,1,0.305095,1.05179,[35 92] ; [39 77],[38.67489712 88.32510288] ; [35.32510288 80.67489712],0
b1,1,0.344865,0.892261,[44 83] ; [47 69],[47.55967078 79.44032922] ; [43.44032922 72.55967078],0
s1,1,0.358982,0.84145,[  3 123] ; [  1 114],[  2.09128631 123.90871369] ; [  1.90871369 113.09128631],0
s6,1,0.38853,0.743537,[56 68] ; [46 70],[52.7 71.3] ; [49.3 66.7],0
s5,1,0.398264,0.713563,[30 95] ; [22 91],[27.31092437 97.68907563] ; [24.68907563 88.31092437],0
n1,1,0.432156,0.617021,[ 8 11] ; [13 28],[ 6.65 12.35] ; [14.35 26.65],0
u4,1,0.508921,0.436285,[  1 126] ; [  2 114],[  1.56790123 125.43209877] ; [  1.43209877 114.56790123],0
n3,1,0.531964,0.390638,[13  6] ; [24 16],[11.91525424  7.08474576] ; [25.08474576 14.91525424],0
b5,1,0.536268,0.3825,[75 52] ; [73 43],[77.34979424 49.65020576] ; [70.65020576 45.34979424],0
p1,1,0.596262,0.280671,[ 11 115] ; [  8 108],[  9.89256198 116.10743802] ; [  9.10743802 106.89256198],0
d4,1,0.625783,0.237823,[125   2] ; [113   1],[125.41908714   1.58091286] ; [112.58091286   1.41908714],0
s4,1,0.639148,0.219858,[ 10 116] ; [ 11 103],[ 11.025 114.975] ; [  9.975 104.025],0
u3,1,0.681348,0.168612,[15 14] ; [16 12],[15.77192982 13.22807018] ; [15.22807018 12.77192982],0
s3,1,0.687826,0.161449,[29 97] ; [24 91],[27.70954357 98.29045643] ; [25.29045643 89.70954357],0
d3,1,0.716411,0.131958,[112  15] ; [104  12],[112.88888889  14.11111111] ; [103.11111111  12.88888889],0
a3,1,0.724072,0.124624,[98 28] ; [88 28],[96.84297521 29.15702479] ; [89.15702479 26.84297521],0
u2,1,0.773907,0.082523,[15 14] ; [15 12],[15.53571429 13.46428571] ; [14.46428571 12.53571429],0
p12,1,0.830895,0.045605,[  5 121] ; [  4 112],[  4.68595041 121.31404959] ; [  4.31404959 111.68595041],0
d2,1,0.868484,0.027418,[89 38] ; [81 33],[89.58506224 37.41493776] ; [80.41493776 33.58506224],0
s7,1,0.92046,0.009971,[32 89] ; [30 81],[32.3362069 88.6637931] ; [29.6637931 81.3362069],0
u1,1,0.955808,0.003071,[ 27 100] ; [25 91],[27.17695473 99.82304527] ; [24.82304527 91.17695473],0
a7,1,0.991104,0.000124,[96 31] ; [87 28],[96.03719008 30.96280992] ; [86.96280992 28.03719008],0
