Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3.5e-05,17.135621,[ 31 110] ; [21 16],[41.19101124 99.80898876] ; [10.80898876 26.19101124],1
p1,1,0.001494,10.086207,[  3 144] ; [ 5 30],[  6.46153846 140.53846154] ; [ 1.53846154 33.46153846],0
s6,1,0.001547,10.022017,[62 83] ; [26 10],[70.49723757 74.50276243] ; [17.50276243 18.49723757],0
s2,1,0.002321,9.276316,[51 96] ; [23 14],[59.11956522 87.88043478] ; [14.88043478 22.11956522],0
s4,1,0.002634,9.04508,[ 20 125] ; [13 24],[ 26.29120879 118.70879121] ; [ 6.70879121 30.29120879],0
b5,1,0.030598,4.675399,[96 51] ; [17 20],[90.27717391 56.72282609] ; [22.72282609 14.27717391],0
p2,1,0.036318,4.382103,[96 51] ; [30  6],[101.21311475  45.78688525] ; [24.78688525 11.21311475],0
s8,1,0.055046,3.680707,[ 33 114] ; [14 23],[ 37.54891304 109.45108696] ; [ 9.45108696 27.54891304],0
a8,1,0.058287,3.585459,[ 13 125] ; [ 7 26],[ 16.14035088 121.85964912] ; [ 3.85964912 29.14035088],0
b4,1,0.078534,3.09499,[84 63] ; [27 10],[88.67934783 58.32065217] ; [22.32065217 14.67934783],0
d5,1,0.121359,2.399695,[78 68] ; [25 12],[82.17486339 63.82513661] ; [20.82513661 16.17486339],0
p8,1,0.12763,2.321096,[ 45 100] ; [16 20],[48.86740331 96.13259669] ; [12.13259669 23.86740331],0
u1,1,0.131551,2.274111,[  2 145] ; [ 2 35],[  3.19565217 143.80434783] ; [ 0.80434783 36.19565217],0
v1,1,0.158039,1.992892,[46 98] ; [16 20],[49.6 94.4] ; [12.4 23.6],0
p7,1,0.184113,1.764105,[62 77] ; [20 15],[65.50574713 73.49425287] ; [16.49425287 18.50574713],0
s3,1,0.184214,1.763298,[68 76] ; [22 15],[71.60220994 72.39779006] ; [18.39779006 18.60220994],0
n1,1,0.210316,1.569252,[14 36] ; [6 7],[15.87301587 34.12698413] ; [4.12698413 8.87301587],0
v4,1,0.215401,1.534752,[121  24] ; [33  3],[123.37016575  21.62983425] ; [30.62983425  5.37016575],0
r4,1,0.218934,1.511343,[100  47] ; [29  8],[103.05978261  43.94021739] ; [25.94021739 11.05978261],0
r3,1,0.220433,1.50155,[122  24] ; [33  3],[124.34065934  21.65934066] ; [30.65934066  5.34065934],0
p12,1,0.264128,1.246992,[  3 143] ; [ 2 35],[  3.98907104 142.01092896] ; [ 1.01092896 35.98907104],0
n2,1,0.292945,1.106037,[30 19] ; [10  3],[31.61290323 17.38709677] ; [8.38709677 4.61290323],0
p9,1,0.297387,1.085873,[93 50] ; [26  9],[95.6011236 47.3988764] ; [23.3988764 11.6011236],0
n6,1,0.315675,1.006781,[98 48] ; [28  9],[100.52459016  45.47540984] ; [25.47540984 11.52459016],0
r2,1,0.340109,0.910019,[120  25] ; [33  4],[121.8956044  23.1043956] ; [31.1043956  5.8956044],0
p10,1,0.379509,0.772291,[88 55] ; [25 11],[90.27374302 52.72625698] ; [22.72625698 13.27374302],0
p6,1,0.38883,0.742599,[ 33 111] ; [11 26],[ 35.00552486 108.99447514] ; [ 8.99447514 28.00552486],0
d1,1,0.395668,0.721452,[ 42 105] ; [ 8 29],[ 39.94565217 107.05434783] ; [10.05434783 26.94565217],0
a6,1,0.397847,0.714824,[71 76] ; [15 22],[68.70652174 78.29347826] ; [17.29347826 19.70652174],0
n5,1,0.4171,0.658472,[89 56] ; [20 17],[86.84065934 58.15934066] ; [22.15934066 14.84065934],0
u3,1,0.431519,0.618731,[38 42] ; [12  9],[39.6039604 40.3960396] ; [10.3960396 10.6039604],0
d2,1,0.484585,0.488526,[ 29 118] ; [ 9 27],[ 30.52459016 116.47540984] ; [ 7.47540984 28.52459016],0
p5,1,0.551531,0.354581,[  5 141] ; [ 2 34],[  5.61538462 140.38461538] ; [ 1.38461538 34.61538462],0
u2,1,0.616576,0.250709,[43 37] ; [10 11],[41.98019802 38.01980198] ; [11.01980198  9.98019802],0
p4,1,0.619921,0.245979,[ 37 107] ; [11 26],[ 38.1878453 105.8121547] ; [ 9.8121547 27.1878453],0
b3,1,0.658026,0.19593,[20 56] ; [ 5 18],[19.19191919 56.80808081] ; [ 5.80808081 17.19191919],0
b2,1,0.658026,0.19593,[20 56] ; [ 5 18],[19.19191919 56.80808081] ; [ 5.80808081 17.19191919],0
r1,1,0.741206,0.10907,[87 60] ; [23 14],[87.88043478 59.11956522] ; [22.11956522 14.88043478],0
v2,1,0.768064,0.086971,[57 80] ; [14 22],[56.22543353 80.77456647] ; [14.77456647 21.22543353],0
d3,1,0.790454,0.070608,[78 67] ; [19 18],[77.28021978 67.71978022] ; [19.71978022 17.28021978],0
n4,1,0.821435,0.05094,[78 68] ; [19 18],[77.38797814 68.61202186] ; [19.61202186 17.38797814],0
v3,1,0.848444,0.036521,[ 38 107] ; [10 26],[ 38.45303867 106.54696133] ; [ 9.54696133 26.45303867],0
p11,1,0.855681,0.033078,[97 50] ; [25 12],[97.4673913 49.5326087] ; [24.5326087 12.4673913],0
b1,1,0.856577,0.032665,[54 93] ; [13 24],[53.52717391 93.47282609] ; [13.47282609 23.52717391],0
d4,1,0.856738,0.03259,[95 51] ; [24 12],[95.46153846 50.53846154] ; [23.53846154 12.46153846],0
s1,1,0.891937,0.018456,[  7 137] ; [ 2 35],[  7.16022099 136.83977901] ; [ 1.83977901 35.16022099],0
a3,1,0.934489,0.006757,[66 80] ; [16 20],[65.78021978 80.21978022] ; [16.21978022 19.78021978],0
a4,1,0.945106,0.004741,[ 23 123] ; [ 6 31],[ 23.13661202 122.86338798] ; [ 5.86338798 31.13661202],0
a7,1,0.95031,0.003883,[86 60] ; [21 15],[85.83516484 60.16483516] ; [21.16483516 14.83516484],0
n3,1,0.975646,0.000932,[31 19] ; [8 5],[30.95238095 19.04761905] ; [8.04761905 4.95238095],0
a1,1,0.995095,3.8e-05,[  4 143] ; [ 1 36],[  3.99456522 143.00543478] ; [ 1.00543478 35.99456522],0
