Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,38.574947,[35 48] ; [139  33],[56.63529412 26.36470588] ; [117.36470588  54.63529412],1
d5,1,0.0,33.402045,[42 42] ; [144  27],[61.27058824 22.72941176] ; [124.72941176  46.27058824],1
d1,1,0.0,31.41794,[19 65] ; [103  69],[40.03125 43.96875] ; [81.96875 90.03125],1
d4,1,1e-06,24.029912,[47 36] ; [145  26],[62.74015748 20.25984252] ; [129.25984252  41.74015748],1
a4,1,1.4e-05,18.935163,[21 63] ; [92 79],[37.22352941 46.77647059] ; [75.77647059 95.22352941],1
d2,1,2.4e-05,17.846354,[25 59] ; [99 72],[40.84705882 43.15294118] ; [83.15294118 87.84705882],1
p3,1,3.2e-05,17.324342,[24 59] ; [97 74],[39.53937008 43.46062992] ; [81.46062992 89.53937008],1
b3,1,7.2e-05,15.764248,[10 41] ; [61 55],[21.68263473 29.31736527] ; [49.31736527 66.68263473],1
b2,1,7.2e-05,15.764248,[10 41] ; [61 55],[21.68263473 29.31736527] ; [49.31736527 66.68263473],1
s8,1,0.000824,11.18643,[27 57] ; [93 78],[39.52941176 44.47058824] ; [80.47058824 90.52941176],1
s7,1,0.000937,10.948357,[29 50] ; [99 68],[41.10569106 37.89430894] ; [86.89430894 80.10569106],1
p10,1,0.00391,8.325065,[51 31] ; [134  35],[60.43824701 21.56175299] ; [124.56175299  44.43824701],0
r1,1,0.003914,8.323488,[51 33] ; [134  38],[60.703125 23.296875] ; [124.296875  47.703125],0
v3,1,0.005893,7.582616,[21 61] ; [72 93],[30.87449393 51.12550607] ; [ 62.12550607 102.87449393],0
a6,1,0.010519,6.544805,[25 59] ; [80 92],[34.453125 49.546875] ; [ 70.546875 101.453125],0
b5,1,0.013123,6.152465,[50 34] ; [74 98],[40.6875 43.3125] ; [83.3125 88.6875],0
n4,1,0.018611,5.537708,[56 28] ; [137  34],[63.57647059 20.42352941] ; [129.42352941  41.57647059],0
r2,1,0.019146,5.48816,[70 13] ; [159  11],[75.12648221  7.87351779] ; [153.87351779  16.12648221],0
p11,1,0.040422,4.200096,[60 24] ; [142  30],[66.28125 17.71875] ; [135.71875  36.28125],0
p2,1,0.040606,4.192369,[56 27] ; [134  35],[62.57936508 20.42063492] ; [127.42063492  41.57936508],0
n3,1,0.044099,4.052783,[15 11] ; [36  9],[18.67605634  7.32394366] ; [32.32394366 12.67605634],0
p9,1,0.067011,3.354758,[60 22] ; [142  29],[65.47035573 16.52964427] ; [136.52964427  34.47035573],0
n6,1,0.078646,3.092661,[61 22] ; [141  29],[66.2687747 16.7312253] ; [135.7312253  34.2687747],0
r4,1,0.080184,3.061171,[68 16] ; [153  19],[72.515625 11.484375] ; [148.484375  23.515625],0
n5,1,0.086214,2.943675,[55 27] ; [132  39],[60.60869565 21.39130435] ; [126.39130435  44.60869565],0
u1,1,0.097719,2.742377,[ 2 82] ; [ 13 159],[ 4.921875 79.078125] ; [ 10.078125 161.921875],0
v2,1,0.100141,2.703297,[33 45] ; [90 78],[39. 39.] ; [84. 84.],0
p8,1,0.138568,2.19379,[34 49] ; [85 82],[39.508 43.492] ; [79.492 87.508],0
s5,1,0.139107,2.187813,[24 54] ; [67 98],[29.20987654 48.79012346] ; [ 61.79012346 103.20987654],0
s6,1,0.142815,2.147361,[46 34] ; [112  55],[51.17408907 28.82591093] ; [106.82591093  60.17408907],0
u3,1,0.224258,1.476914,[26 23] ; [13 20],[23.30487805 25.69512195] ; [15.69512195 17.30487805],0
s2,1,0.226435,1.463114,[36 47] ; [88 83],[40.51968504 42.48031496] ; [83.48031496 87.51968504],0
a1,1,0.276044,1.186463,[ 3 81] ; [ 12 160],[ 4.921875 79.078125] ; [ 10.078125 161.921875],0
s4,1,0.386961,0.748469,[18 66] ; [ 29 142],[15.48235294 68.51764706] ; [ 31.51764706 139.48235294],0
u4,1,0.394015,0.726515,[ 1 83] ; [  5 167],[ 1.96875 82.03125] ; [  4.03125 167.96875],0
v1,1,0.502782,0.449059,[41 42] ; [90 77],[43.492 39.508] ; [87.508 79.492],0
p7,1,0.578363,0.308888,[49 32] ; [109  61],[50.98804781 30.01195219] ; [107.01195219  62.98804781],0
s3,1,0.594541,0.283308,[50 33] ; [97 74],[48.03543307 34.96456693] ; [98.96456693 72.03543307],0
