Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,6e-06,20.440391,[71  6] ; [38 25],[59.95 17.05] ; [49.05 13.95],1
p7,1,0.000129,14.654026,[43 34] ; [15 48],[31.9 45.1] ; [26.1 36.9],1
r3,1,0.00025,13.412116,[68  9] ; [39 24],[58.85 18.15] ; [48.15 14.85],1
p11,1,0.000544,11.957161,[45 33] ; [18 45],[34.85106383 43.14893617] ; [28.14893617 34.85106383],1
p9,1,0.000765,11.324493,[34 41] ; [11 50],[24.81617647 50.18382353] ; [20.18382353 40.81617647],1
r4,1,0.00123,10.444684,[62 16] ; [34 29],[53.10638298 24.89361702] ; [42.89361702 20.10638298],0
p8,1,0.001674,9.87662,[29 46] ; [ 9 53],[20.80291971 54.19708029] ; [17.19708029 44.80291971],0
s3,1,0.00233,9.269194,[39 37] ; [16 46],[30.28985507 45.71014493] ; [24.71014493 37.28985507],0
p4,1,0.009275,6.769089,[36 41] ; [16 47],[28.6 48.4] ; [23.4 39.6],0
s1,1,0.011285,6.419872,[ 2 74] ; [ 9 54],[ 6.01438849 69.98561151] ; [ 4.98561151 58.01438849],0
s7,1,0.011566,6.376142,[24 49] ; [ 8 50],[17.83206107 55.16793893] ; [14.16793893 43.83206107],0
p6,1,0.015073,5.907925,[23 53] ; [ 8 54],[17.07246377 58.92753623] ; [13.92753623 48.07246377],0
s8,1,0.019874,5.422925,[19 58] ; [ 6 57],[13.75 63.25] ; [11.25 51.75],0
b5,1,0.022639,5.196008,[52 26] ; [30 33],[45.36170213 32.63829787] ; [36.63829787 26.36170213],0
a1,1,0.0272,4.878067,[ 3 75] ; [ 9 54],[ 6.63829787 71.36170213] ; [ 5.36170213 57.63829787],0
b1,1,0.033465,4.521829,[33 45] ; [38 25],[39.27659574 38.72340426] ; [31.72340426 31.27659574],0
n3,1,0.034659,4.4619,[23 10] ; [12 16],[18.93442623 14.06557377] ; [16.06557377 11.93442623],0
d3,1,0.045105,4.014715,[46 32] ; [26 36],[40.11428571 37.88571429] ; [31.88571429 30.11428571],0
n6,1,0.052454,3.761218,[54 24] ; [33 29],[48.47142857 29.52857143] ; [38.52857143 23.47142857],0
a7,1,0.05724,3.615612,[49 28] ; [30 33],[43.45 33.55] ; [35.55 27.45],0
p3,1,0.06712,3.352093,[27 51] ; [13 50],[22.12765957 55.87234043] ; [17.87234043 45.12765957],0
