Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,7.2e-05,15.753038,[23  9] ; [18 44],[13.95744681 18.04255319] ; [27.04255319 34.95744681],1
r3,1,0.001492,10.089054,[29  3] ; [39 27],[22.20408163  9.79591837] ; [45.79591837 20.20408163],0
s8,1,0.00202,9.53154,[14 18] ; [10 56],[ 7.83673469 24.16326531] ; [16.16326531 49.83673469],0
p3,1,0.002057,9.498281,[16 16] ; [13 53],[ 9.46938776 22.53061224] ; [19.53061224 46.46938776],0
p2,1,0.002219,9.358993,[26  5] ; [34 32],[19.17525773 11.82474227] ; [40.82474227 25.17525773],0
s6,1,0.003565,8.493024,[19 13] ; [19 47],[12.40816327 19.59183673] ; [25.59183673 40.40816327],0
p11,1,0.004122,8.229232,[22 10] ; [25 41],[15.34693878 16.65306122] ; [31.65306122 34.34693878],0
u3,1,0.010876,6.485539,[12  2] ; [13 16],[8.13953488 5.86046512] ; [16.86046512 12.13953488],0
b1,1,0.028659,4.788009,[23  9] ; [32 34],[17.95918367 14.04081633] ; [37.04081633 28.95918367],0
p6,1,0.034248,4.482287,[10 21] ; [ 9 56],[ 6.13541667 24.86458333] ; [12.86458333 52.13541667],0
v4,1,0.035986,4.397748,[28  4] ; [44 21],[23.75257732  8.24742268] ; [48.24742268 16.75257732],0
s2,1,0.055999,3.65209,[14 17] ; [17 49],[ 9.90721649 21.09278351] ; [21.09278351 44.90721649],0
s7,1,0.056417,3.639706,[11 19] ; [11 49],[ 7.33333333 22.66666667] ; [14.66666667 45.33333333],0
u2,1,0.059161,3.560739,[11  3] ; [14 15],[8.13953488 5.86046512] ; [16.86046512 12.13953488],0
s5,1,0.061824,3.487762,[ 9 21] ; [ 9 56],[ 5.68421053 24.31578947] ; [12.31578947 52.68421053],0
r4,1,0.075086,3.168183,[23  9] ; [35 31],[18.93877551 13.06122449] ; [39.06122449 26.93877551],0
p8,1,0.075905,3.150477,[13 18] ; [16 50],[ 9.26804124 21.73195876] ; [19.73195876 46.26804124],0
s3,1,0.165369,1.924429,[19 12] ; [30 35],[15.82291667 15.17708333] ; [33.17708333 31.82291667],0
p9,1,0.186842,1.742343,[21 11] ; [34 32],[17.95918367 14.04081633] ; [37.04081633 28.95918367],0
p5,1,0.19034,1.714983,[ 2 29] ; [ 1 65],[ 0.95876289 30.04123711] ; [ 2.04123711 63.95876289],0
a5,1,0.192336,1.69963,[20 12] ; [32 34],[16.97959184 15.02040816] ; [35.02040816 30.97959184],0
p10,1,0.252646,1.308612,[18 14] ; [29 37],[15.34693878 16.65306122] ; [31.65306122 34.34693878],0
a8,1,0.292399,1.108544,[ 5 25] ; [ 6 59],[ 3.47368421 26.52631579] ; [ 7.52631579 57.47368421],0
a4,1,0.318803,0.993851,[15 17] ; [24 42],[12.73469388 19.26530612] ; [26.26530612 39.73469388],0
v1,1,0.353024,0.862557,[12 19] ; [19 46],[10.01041667 20.98958333] ; [20.98958333 44.01041667],0
a1,1,0.367895,0.810761,[ 2 30] ; [ 8 58],[ 3.26530612 28.73469388] ; [ 6.73469388 59.26530612],0
d4,1,0.375463,0.785503,[24  8] ; [43 22],[22.10309278  9.89690722] ; [44.89690722 20.10309278],0
a6,1,0.401635,0.703427,[22 10] ; [39 26],[20.12371134 11.87628866] ; [40.87628866 24.12371134],0
a2,1,0.409767,0.679477,[ 7 25] ; [10 56],[ 5.55102041 26.44897959] ; [11.44897959 54.55102041],0
n4,1,0.47599,0.508036,[15 17] ; [36 30],[16.65306122 15.34693878] ; [34.34693878 31.65306122],0
d1,1,0.479907,0.499074,[13 19] ; [22 44],[11.42857143 20.57142857] ; [23.57142857 42.42857143],0
a7,1,0.481584,0.495275,[18 14] ; [42 24],[19.59183673 12.40816327] ; [40.40816327 25.59183673],0
n5,1,0.544512,0.367241,[12 20] ; [29 37],[13.3877551 18.6122449] ; [27.6122449 38.3877551],0
d3,1,0.561572,0.33699,[19 13] ; [34 30],[17.66666667 14.33333333] ; [35.33333333 28.66666667],0
n2,1,0.582716,0.301865,[7 4] ; [14 12],[6.24324324 4.75675676] ; [14.75675676 11.24324324],0
d2,1,0.599847,0.275226,[12 20] ; [28 37],[13.19587629 18.80412371] ; [26.80412371 38.19587629],0
p1,1,0.615828,0.251775,[ 2 30] ; [ 6 59],[ 2.63917526 29.36082474] ; [ 5.36082474 59.63917526],0
b5,1,0.641853,0.216327,[20 12] ; [38 28],[18.93877551 13.06122449] ; [39.06122449 26.93877551],0
b4,1,0.65141,0.204127,[19 13] ; [36 30],[17.95918367 14.04081633] ; [37.04081633 28.95918367],0
s4,1,0.66452,0.188079,[ 7 25] ; [12 54],[ 6.20408163 25.79591837] ; [12.79591837 53.20408163],0
d5,1,0.702902,0.14547,[20 12] ; [38 27],[19.13402062 12.86597938] ; [38.86597938 26.13402062],0
n3,1,0.80276,0.062389,[6 5] ; [12 12],[5.65714286 5.34285714] ; [12.34285714 11.65714286],0
v3,1,0.901463,0.01533,[ 4 26] ; [ 9 54],[ 4.19354839 25.80645161] ; [ 8.80645161 54.19354839],0
n1,1,0.904273,0.014464,[4 7] ; [10 16],[4.16216216 6.83783784] ; [ 9.83783784 16.16216216],0
s1,1,0.926028,0.00862,[ 3 28] ; [ 6 60],[ 2.87628866 28.12371134] ; [ 6.12371134 59.87628866],0
b2,1,0.935096,0.006632,[ 7 18] ; [11 27],[ 7.14285714 17.85714286] ; [10.85714286 27.14285714],0
b3,1,0.935096,0.006632,[ 7 18] ; [11 27],[ 7.14285714 17.85714286] ; [10.85714286 27.14285714],0
a3,1,0.949843,0.003957,[18 14] ; [37 28],[18.1443299 13.8556701] ; [36.8556701 28.1443299],0
u1,1,0.970745,0.001345,[ 2 30] ; [ 4 62],[ 1.95918367 30.04081633] ; [ 4.04081633 61.95918367],0
r2,1,0.97259,0.001181,[26  6] ; [53 12],[26.06185567  5.93814433] ; [52.93814433 12.06185567],0
r1,1,0.978593,0.00072,[19 13] ; [39 27],[18.93877551 13.06122449] ; [39.06122449 26.93877551],0
