Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000381,12.623377,[ 1 21] ; [8 6],[ 5.5 16.5] ; [ 3.5 10.5],1
p9,1,0.01123,6.428571,[ 9 12] ; [12  2],[12.6  8.4] ; [8.4 5.6],0
b1,1,0.02964,4.730053,[11 11] ; [12  2],[14.05555556  7.94444444] ; [8.94444444 5.05555556],0
s6,1,0.045563,3.997669,[ 5 16] ; [8 6],[ 7.8 13.2] ; [5.2 8.8],0
p8,1,0.09223,2.83502,[ 7 13] ; [9 5],[ 9.41176471 10.58823529] ; [6.58823529 7.41176471],0
p1,1,0.126279,2.337662,[ 2 20] ; [ 4 10],[ 3.66666667 18.33333333] ; [ 2.33333333 11.66666667],0
s4,1,0.136826,2.213294,[ 6 16] ; [ 1 13],[ 4.27777778 17.72222222] ; [ 2.72222222 11.27777778],0
a3,1,0.157845,1.99475,[13  8] ; [11  2],[14.82352941  6.17647059] ; [9.17647059 3.82352941],0
p11,1,0.166356,1.915476,[ 6 16] ; [7 7],[ 7.94444444 14.05555556] ; [5.05555556 8.94444444],0
p10,1,0.17146,1.87013,[ 9 13] ; [9 5],[11. 11.] ; [7. 7.],0
d5,1,0.201176,1.633813,[17  5] ; [8 6],[15.27777778  6.72222222] ; [9.72222222 4.27777778],0
p2,1,0.221272,1.496104,[ 8 14] ; [8 6],[ 9.77777778 12.22222222] ; [6.22222222 7.77777778],0
a2,1,0.236289,1.402597,[ 4 18] ; [5 9],[ 5.5 16.5] ; [ 3.5 10.5],0
v2,1,0.236289,1.402597,[ 4 18] ; [5 9],[ 5.5 16.5] ; [ 3.5 10.5],0
n3,1,0.2524,1.309972,[8 5] ; [2 4],[6.84210526 6.15789474] ; [3.15789474 2.84210526],0
s5,1,0.269065,1.22151,[ 4 17] ; [5 9],[ 5.4 15.6] ; [ 3.6 10.4],0
b2,1,0.271644,1.208424,[ 5 13] ; [4 4],[ 6.23076923 11.76923077] ; [2.76923077 5.23076923],0
b3,1,0.271644,1.208424,[ 5 13] ; [4 4],[ 6.23076923 11.76923077] ; [2.76923077 5.23076923],0
p5,1,0.300623,1.071429,[ 3 18] ; [ 4 10],[ 4.2 16.8] ; [ 2.8 11.2],0
u3,1,0.310494,1.028571,[6 3] ; [1 2],[5.25 3.75] ; [1.75 1.25],0
n2,1,0.342104,0.902531,[8 5] ; [5 1],[8.89473684 4.10526316] ; [4.10526316 1.89473684],0
s7,1,0.381768,0.765,[ 7 13] ; [7 7],[ 8.23529412 11.76470588] ; [5.76470588 8.23529412],0
s2,1,0.39638,0.719281,[ 5 17] ; [5 9],[ 6.11111111 15.88888889] ; [ 3.88888889 10.11111111],0
a6,1,0.452461,0.564479,[13  9] ; [10  4],[14.05555556  7.94444444] ; [8.94444444 5.05555556],0
d1,1,0.494125,0.467532,[12 10] ; [6 8],[11. 11.] ; [7. 7.],0
r1,1,0.494125,0.467532,[12 10] ; [6 8],[11. 11.] ; [7. 7.],0
p3,1,0.501436,0.451896,[ 7 15] ; [6 8],[ 7.94444444 14.05555556] ; [5.05555556 8.94444444],0
d4,1,0.591943,0.28732,[16  6] ; [9 5],[15.27777778  6.72222222] ; [9.72222222 4.27777778],0
