Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.9e-05,18.320573,[ 8 81] ; [17 25],[16.98473282 72.01526718] ; [ 8.01526718 33.98473282],1
p8,1,0.000124,14.723375,[ 9 81] ; [16 26],[17.04545455 72.95454545] ; [ 7.95454545 34.04545455],1
p3,1,0.000619,11.718616,[20 69] ; [22 20],[28.53435115 60.46564885] ; [13.46564885 28.53435115],1
a2,1,0.001738,9.807286,[29 61] ; [ 3 39],[21.81818182 68.18181818] ; [10.18181818 31.81818182],0
p4,1,0.005522,7.7,[23 67] ; [21 21],[30. 60.] ; [14. 28.],0
a8,1,0.008411,6.943745,[ 3 82] ; [ 7 34],[ 6.74603175 78.25396825] ; [ 3.25396825 37.74603175],0
n2,1,0.011921,6.322547,[22 19] ; [12  1],[25.81481481 15.18518519] ; [8.18518519 4.81481481],0
d2,1,0.012226,6.277776,[60 28] ; [19 23],[53.47692308 34.52307692] ; [25.52307692 16.47692308],0
a4,1,0.02215,5.233992,[57 32] ; [18 24],[50.95419847 38.04580153] ; [24.04580153 17.95419847],0
r4,1,0.029671,4.728264,[61 29] ; [36  6],[66.13636364 23.86363636] ; [30.86363636 11.13636364],0
p10,1,0.030385,4.687363,[43 45] ; [29 13],[48.73846154 39.26153846] ; [23.26153846 18.73846154],0
u1,1,0.033391,4.525614,[20 70] ; [ 3 39],[15.68181818 74.31818182] ; [ 7.31818182 34.68181818],0
s2,1,0.05008,3.838776,[33 57] ; [23 19],[38.18181818 51.81818182] ; [17.81818182 24.18181818],0
s3,1,0.055758,3.659283,[35 54] ; [24 18],[40.08396947 48.91603053] ; [18.91603053 23.08396947],0
v2,1,0.056298,3.643223,[38 46] ; [26 15],[43.008 40.992] ; [20.992 20.008],0
s6,1,0.080663,3.051496,[44 45] ; [27 14],[48.60769231 40.39230769] ; [22.39230769 18.60769231],0
p9,1,0.107449,2.591345,[46 39] ; [29 13],[50.19685039 34.80314961] ; [24.80314961 17.19685039],0
u2,1,0.107478,2.590913,[14  7] ; [5 8],[11.73529412  9.26470588] ; [7.26470588 5.73529412],0
n5,1,0.111968,2.526224,[49 41] ; [29 13],[53.18181818 36.81818182] ; [24.81818182 17.18181818],0
r3,1,0.132509,2.262857,[72 18] ; [38  4],[75. 15.] ; [35.  7.],0
p11,1,0.134924,2.234921,[41 49] ; [25 17],[45. 45.] ; [21. 21.],0
p5,1,0.153475,2.037367,[ 3 84] ; [ 4 38],[ 4.72093023 82.27906977] ; [ 2.27906977 39.72093023],0
a1,1,0.180305,1.795106,[11 79] ; [ 2 40],[ 8.86363636 81.13636364] ; [ 4.13636364 37.86363636],0
n3,1,0.187986,1.733333,[22 17] ; [10  3],[24. 15.] ; [8. 5.],0
s5,1,0.191629,1.705048,[20 64] ; [14 26],[23.03225806 60.96774194] ; [10.96774194 29.03225806],0
u3,1,0.198674,1.652098,[15  6] ; [7 7],[13.2  7.8] ; [8.8 5.2],0
v1,1,0.20223,1.626194,[27 59] ; [18 24],[30.234375 55.765625] ; [14.765625 27.234375],0
a3,1,0.225394,1.469691,[69 21] ; [28 14],[66.13636364 23.86363636] ; [30.86363636 11.13636364],0
s7,1,0.231134,1.43387,[33 50] ; [20 19],[36.05737705 46.94262295] ; [16.94262295 22.05737705],0
v4,1,0.253433,1.304279,[72 18] ; [37  5],[74.31818182 15.68181818] ; [34.68181818  7.31818182],0
d4,1,0.274358,1.194828,[81  9] ; [35  7],[79.09090909 10.90909091] ; [36.90909091  5.09090909],0
v3,1,0.340731,0.907681,[29 53] ; [11 30],[26.66666667 55.33333333] ; [13.33333333 27.66666667],0
d3,1,0.35394,0.859281,[61 29] ; [25 17],[58.63636364 31.36363636] ; [27.36363636 14.63636364],0
n4,1,0.392666,0.730671,[53 37] ; [28 14],[55.22727273 34.77272727] ; [25.77272727 16.22727273],0
p12,1,0.408167,0.684134,[ 5 84] ; [ 1 41],[ 4.07633588 84.92366412] ; [ 1.92366412 40.07633588],0
a6,1,0.420539,0.648808,[58 32] ; [24 18],[55.90909091 34.09090909] ; [26.09090909 15.90909091],0
s8,1,0.430933,0.620308,[33 57] ; [18 23],[35.03816794 54.96183206] ; [15.96183206 25.03816794],0
n6,1,0.431848,0.617848,[62 28] ; [31 10],[63.89312977 26.10687023] ; [29.10687023 11.89312977],0
b1,1,0.454772,0.55873,[43 47] ; [23 19],[45. 45.] ; [21. 21.],0
b5,1,0.462069,0.540878,[54 36] ; [28 14],[55.90909091 34.09090909] ; [26.09090909 15.90909091],0
r2,1,0.477141,0.505391,[78 10] ; [38  3],[79.13178295  8.86821705] ; [36.86821705  4.13178295],0
b4,1,0.489535,0.477547,[55 35] ; [23 19],[53.18181818 36.81818182] ; [24.81818182 17.18181818],0
n1,1,0.513414,0.427103,[18 23] ; [4 8],[17.01886792 23.98113208] ; [4.98113208 7.01886792],0
s1,1,0.521989,0.409963,[ 7 83] ; [ 2 40],[ 6.13636364 83.86363636] ; [ 2.86363636 39.13636364],0
p1,1,0.521989,0.409963,[ 7 83] ; [ 2 40],[ 6.13636364 83.86363636] ; [ 2.86363636 39.13636364],0
b2,1,0.56147,0.337165,[23 35] ; [10 20],[21.75 36.25] ; [11.25 18.75],0
b3,1,0.56147,0.337165,[23 35] ; [10 20],[21.75 36.25] ; [11.25 18.75],0
d1,1,0.604794,0.267826,[64 26] ; [28 14],[62.72727273 27.27272727] ; [29.27272727 12.72727273],0
a5,1,0.714651,0.133676,[67 23] ; [30 12],[66.13636364 23.86363636] ; [30.86363636 11.13636364],0
a7,1,0.788089,0.07225,[60 30] ; [27 15],[59.31818182 30.68181818] ; [27.68181818 14.31818182],0
s4,1,0.898126,0.016391,[18 70] ; [ 9 33],[18.27692308 69.72307692] ; [ 8.72307692 33.27692308],0
