Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.014033,6.034046,[15 14] ; [21 58],[ 9.66666667 19.33333333] ; [26.33333333 52.66666667],0
r2,1,0.043223,4.086652,[27  2] ; [59 19],[23.30841121  5.69158879] ; [62.69158879 15.30841121],0
n3,1,0.065126,3.401771,[8 2] ; [19 21],[5.4 4.6] ; [21.6 18.4],0
v1,1,0.094739,2.791946,[13 16] ; [22 57],[ 9.39814815 19.60185185] ; [25.60185185 53.39814815],0
p6,1,0.119394,2.425255,[ 2 25] ; [16 62],[ 4.62857143 22.37142857] ; [13.37142857 64.62857143],0
n2,1,0.119879,2.418895,[8 3] ; [19 22],[5.71153846 5.28846154] ; [21.28846154 19.71153846],0
r1,1,0.141089,2.166039,[20  9] ; [42 37],[16.64814815 12.35185185] ; [45.35185185 33.64814815],0
b3,1,0.169762,1.885041,[ 3 12] ; [20 31],[5.22727273 9.77272727] ; [17.77272727 33.22727273],0
b2,1,0.169762,1.885041,[ 3 12] ; [20 31],[5.22727273 9.77272727] ; [17.77272727 33.22727273],0
r4,1,0.190659,1.712522,[20  9] ; [44 36],[17.02752294 11.97247706] ; [46.97247706 33.02752294],0
u2,1,0.205292,1.604319,[6 5] ; [12 24],[4.21276596 6.78723404] ; [13.78723404 22.21276596],0
s6,1,0.23133,1.432667,[15 13] ; [32 47],[12.29906542 15.70093458] ; [34.70093458 44.29906542],0
p1,1,0.272106,1.2061,[ 1 28] ; [ 8 72],[ 2.39449541 26.60550459] ; [ 6.60550459 73.39449541],0
d3,1,0.272994,1.20164,[19 10] ; [43 37],[16.49541284 12.50458716] ; [45.50458716 34.49541284],0
p8,1,0.32729,0.95959,[ 9 19] ; [18 61],[ 7.06542056 20.93457944] ; [19.93457944 59.06542056],0
p4,1,0.341665,0.904174,[13 15] ; [29 51],[10.88888889 17.11111111] ; [31.11111111 48.88888889],0
a2,1,0.398317,0.713401,[ 8 21] ; [16 64],[ 6.3853211 22.6146789] ; [17.6146789 62.3853211],0
s3,1,0.411124,0.675548,[14 14] ; [32 46],[12.1509434 15.8490566] ; [33.8490566 44.1509434],0
n4,1,0.422591,0.643099,[19 10] ; [45 34],[17.18518519 11.81481481] ; [46.81481481 32.18518519],0
a4,1,0.463053,0.538504,[10 19] ; [33 45],[11.65420561 17.34579439] ; [31.34579439 46.65420561],0
r3,1,0.471218,0.519118,[22  7] ; [55 25],[20.48623853  8.51376147] ; [56.51376147 23.48623853],0
p9,1,0.485372,0.48677,[ 6 22] ; [22 56],[ 7.39622642 20.60377358] ; [20.60377358 57.39622642],0
s2,1,0.491117,0.474078,[10 18] ; [23 57],[ 8.55555556 19.44444444] ; [24.44444444 55.55555556],0
b4,1,0.495555,0.464443,[17 12] ; [41 39],[15.43119266 13.56880734] ; [42.56880734 37.43119266],0
d1,1,0.510205,0.433647,[11 18] ; [36 44],[12.50458716 16.49541284] ; [34.49541284 45.50458716],0
d2,1,0.534666,0.385516,[12 17] ; [38 41],[13.42592593 15.57407407] ; [36.57407407 42.42592593],0
n6,1,0.552795,0.352334,[18 11] ; [44 35],[16.64814815 12.35185185] ; [45.35185185 33.64814815],0
s4,1,0.593363,0.285123,[ 4 24] ; [15 65],[ 4.92592593 23.07407407] ; [14.07407407 65.92592593],0
s7,1,0.607011,0.26455,[ 6 19] ; [22 53],[ 7. 18.] ; [21. 54.],0
s1,1,0.619892,0.246019,[ 2 27] ; [ 8 72],[ 2.66055046 26.33944954] ; [ 7.33944954 72.66055046],0
p2,1,0.633049,0.227949,[13 16] ; [40 40],[14.10091743 14.89908257] ; [38.89908257 41.10091743],0
d5,1,0.655302,0.199281,[19 10] ; [56 24],[19.95412844  9.04587156] ; [55.04587156 24.95412844],0
a5,1,0.668554,0.183298,[18 11] ; [46 34],[17.02752294 11.97247706] ; [46.97247706 33.02752294],0
p3,1,0.668761,0.183055,[ 9 20] ; [28 51],[ 9.93518519 19.06481481] ; [27.06481481 51.93518519],0
d4,1,0.684833,0.164736,[21  8] ; [54 25],[20.13888889  8.86111111] ; [54.86111111 24.13888889],0
b5,1,0.685639,0.163848,[18 11] ; [53 27],[18.88990826 10.11009174] ; [52.11009174 27.88990826],0
n5,1,0.686434,0.162973,[16 13] ; [47 32],[16.91666667 12.08333333] ; [46.08333333 32.91666667],0
p5,1,0.712415,0.135877,[ 2 27] ; [ 4 75],[ 1.61111111 27.38888889] ; [ 4.38888889 74.61111111],0
n1,1,0.728255,0.12072,[5 5] ; [18 23],[4.50980392 5.49019608] ; [18.49019608 22.50980392],0
a6,1,0.736507,0.113221,[17 12] ; [44 36],[16.2293578 12.7706422] ; [44.7706422 35.2293578],0
b1,1,0.738233,0.111685,[16 13] ; [47 33],[16.76146789 12.23853211] ; [46.23853211 33.76146789],0
s8,1,0.740081,0.110055,[ 5 23] ; [12 67],[ 4.44859813 23.55140187] ; [12.55140187 66.44859813],0
u1,1,0.759008,0.094116,[ 3 26] ; [10 70],[ 3.4587156 25.5412844] ; [ 9.5412844 70.4587156],0
v4,1,0.797256,0.065997,[22  7] ; [58 21],[21.48148148  7.51851852] ; [58.51851852 20.48148148],0
a8,1,0.821788,0.050736,[ 3 24] ; [ 7 66],[ 2.7 24.3] ; [ 7.3 65.7],0
u3,1,0.864691,0.029038,[5 7] ; [14 22],[4.75 7.25] ; [14.25 21.75],0
p7,1,0.864942,0.02893,[10 19] ; [29 51],[10.37614679 18.62385321] ; [28.62385321 51.37614679],0
s5,1,0.86993,0.026813,[ 4 24] ; [12 65],[ 4.26666667 23.73333333] ; [11.73333333 65.26666667],0
a3,1,0.890848,0.018832,[17 12] ; [44 33],[16.68867925 12.31132075] ; [44.31132075 32.68867925],0
a7,1,0.938118,0.006027,[18 11] ; [49 31],[17.82568807 11.17431193] ; [49.17431193 30.82568807],0
a1,1,0.95788,0.002789,[ 3 26] ; [ 8 72],[ 2.9266055 26.0733945] ; [ 8.0733945 71.9266055],0
