Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,33.378086,[232  49] ; [49 44],[211.12566845  69.87433155] ; [69.87433155 23.12566845],1
d3,1,0.0,30.024534,[222  59] ; [46 47],[201.35828877  79.64171123] ; [66.64171123 26.35828877],1
a2,1,9e-06,19.643446,[ 98 184] ; [10 83],[ 81.216 200.784] ; [26.784 66.216],1
b5,1,0.00079,11.264458,[180 102] ; [41 52],[166.192 115.808] ; [54.808 38.192],1
u1,1,0.001132,10.59862,[ 60 222] ; [ 6 87],[ 49.632 232.368] ; [16.368 76.632],0
r3,1,0.004475,8.080451,[261  18] ; [78 15],[254.25  24.75] ; [84.75  8.25],0
r1,1,0.008719,6.879452,[228  51] ; [64 29],[219.  60.] ; [73. 20.],0
u3,1,0.011401,6.401744,[42 28] ; [ 6 15],[36.92307692 33.07692308] ; [11.07692308  9.92307692],0
s2,1,0.012965,6.173909,[103 176] ; [21 71],[ 93.25067385 185.74932615] ; [30.74932615 61.25067385],0
r4,1,0.015533,5.854932,[245  37] ; [71 22],[237.632  44.368] ; [78.368 14.632],0
p4,1,0.017605,5.635078,[163 117] ; [40 51],[153.20754717 126.79245283] ; [49.79245283 41.20754717],0
v2,1,0.019855,5.424585,[155 112] ; [41 52],[145.36666667 121.63333333] ; [50.63333333 42.36666667],0
p6,1,0.020816,5.342129,[ 81 196] ; [15 74],[ 72.6557377 204.3442623] ; [23.3442623 65.6557377],0
p8,1,0.023017,5.167243,[141 135] ; [34 57],[131.60762943 144.39237057] ; [43.39237057 47.60762943],0
v4,1,0.028638,4.789265,[258  21] ; [78 14],[252.67924528  26.32075472] ; [83.32075472  8.67924528],0
p10,1,0.041234,4.166357,[216  62] ; [61 30],[208.68834688  69.31165312] ; [68.31165312 22.68834688],0
p9,1,0.100028,2.705101,[220  56] ; [65 26],[214.33242507  61.66757493] ; [70.66757493 20.33242507],0
p12,1,0.113798,2.50067,[ 18 260] ; [ 2 90],[ 15.02702703 262.97297297] ; [ 4.97297297 87.02702703],0
a8,1,0.149804,2.074249,[ 32 221] ; [ 6 80],[ 28.35988201 224.64011799] ; [ 9.64011799 76.35988201],0
b3,1,0.150366,2.068531,[ 46 105] ; [23 33],[ 50.33333333 100.66666667] ; [18.66666667 37.33333333],0
b2,1,0.150366,2.068531,[ 46 105] ; [23 33],[ 50.33333333 100.66666667] ; [18.66666667 37.33333333],0
s5,1,0.169323,1.888927,[ 64 208] ; [28 63],[ 68.93663912 203.06336088] ; [23.06336088 67.93663912],0
s6,1,0.174728,1.841904,[150 126] ; [42 49],[144.39237057 131.60762943] ; [47.60762943 43.39237057],0
v1,1,0.175349,1.836607,[136 139] ; [38 54],[130.38147139 144.61852861] ; [43.61852861 48.38147139],0
d1,1,0.217375,1.521618,[175 107] ; [51 42],[169.952 112.048] ; [56.048 36.952],0
p2,1,0.231571,1.431187,[225  55] ; [67 23],[220.97297297  59.02702703] ; [71.02702703 18.97297297],0
d4,1,0.249081,1.328451,[238  43] ; [74 19],[234.4171123  46.5828877] ; [77.5828877 15.4171123],0
v3,1,0.251058,1.317406,[ 94 177] ; [25 64],[ 89.58055556 181.41944444] ; [29.41944444 59.58055556],0
b1,1,0.267057,1.231803,[109 173] ; [42 51],[113.552 168.448] ; [37.448 55.552],0
r2,1,0.285814,1.139236,[258  18] ; [82  9],[255.69482289  20.30517711] ; [84.30517711  6.69482289],0
s4,1,0.290729,1.116244,[ 38 238] ; [17 76],[ 41.13821138 234.86178862] ; [13.86178862 79.13821138],0
d5,1,0.32703,0.960621,[236  45] ; [74 19],[232.9144385  48.0855615] ; [77.0855615 15.9144385],0
p3,1,0.349703,0.874535,[126 153] ; [36 55],[122.15675676 156.84324324] ; [39.84324324 51.15675676],0
n4,1,0.376241,0.782949,[216  66] ; [67 26],[212.816  69.184] ; [70.184 22.816],0
p1,1,0.397805,0.714951,[ 26 254] ; [ 6 87],[ 24.02144772 255.97855228] ; [ 7.97855228 85.02144772],0
s3,1,0.423305,0.641122,[112 164] ; [33 59],[108.75 167.25] ; [36.25 55.75],0
p11,1,0.463101,0.538388,[211  71] ; [66 27],[208.304  73.696] ; [68.696 24.304],0
n6,1,0.469364,0.523472,[223  57] ; [70 22],[220.53763441  59.46236559] ; [72.46236559 19.53763441],0
a4,1,0.515102,0.423689,[147 135] ; [51 40],[149.69436997 132.30563003] ; [48.30563003 42.69436997],0
n3,1,0.544671,0.366952,[44 20] ; [21  7],[45.2173913 18.7826087] ; [19.7826087  8.2173913],0
u2,1,0.574137,0.31581,[37 34] ; [ 9 11],[35.89010989 35.10989011] ; [10.10989011  9.89010989],0
a3,1,0.602098,0.271844,[210  71] ; [72 21],[211.87700535  69.12299465] ; [70.12299465 22.87700535],0
d2,1,0.603536,0.269696,[142 138] ; [49 42],[144.1509434 135.8490566] ; [46.8490566 44.1509434],0
p7,1,0.628092,0.234656,[155 121] ; [49 43],[153. 123.] ; [51. 41.],0
p5,1,0.648429,0.207887,[ 23 256] ; [ 9 83],[ 24.06469003 254.93530997] ; [ 7.93530997 84.06469003],0
s1,1,0.734243,0.115251,[ 10 270] ; [ 4 88],[ 10.53763441 269.46236559] ; [ 3.46236559 88.53763441],0
n1,1,0.747866,0.103333,[21 42] ; [ 9 21],[20.32258065 42.67741935] ; [ 9.67741935 20.32258065],0
n2,1,0.81669,0.053733,[47 18] ; [21  9],[46.52631579 18.47368421] ; [21.47368421  8.52631579],0
b4,1,0.842332,0.039566,[161 121] ; [52 41],[160.176 121.824] ; [52.824 40.176],0
n5,1,0.843588,0.03893,[198  81] ; [65 28],[197.25  81.75] ; [65.75 27.25],0
s7,1,0.845859,0.037793,[ 75 193] ; [25 61],[ 75.70621469 192.29378531] ; [24.29378531 61.70621469],0
a1,1,0.882725,0.021761,[ 17 265] ; [ 6 87],[ 17.296 264.704] ; [ 5.704 87.296],0
