Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,38.645087,[67  9] ; [ 6 19],[54.93069307 21.06930693] ; [18.06930693  6.93069307],1
r3,1,0.0,29.379737,[76  1] ; [15 10],[68.69607843  8.30392157] ; [22.30392157  2.69607843],1
a5,1,0.000424,12.423611,[55 22] ; [ 8 17],[47.55882353 29.44117647] ; [15.44117647  9.55882353],1
r2,1,0.004606,8.028004,[71  6] ; [16  7],[66.99 10.01] ; [20.01  2.99],0
a6,1,0.005656,7.656623,[57 20] ; [11 14],[51.33333333 25.66666667] ; [16.66666667  8.33333333],0
p11,1,0.008053,7.0217,[61 16] ; [13 12],[55.8627451 21.1372549] ; [18.1372549  6.8627451],0
d5,1,0.00912,6.799101,[63 14] ; [14 11],[58.12745098 18.87254902] ; [18.87254902  6.12745098],0
p3,1,0.023517,5.129912,[35 42] ; [ 5 20],[30.19607843 46.80392157] ; [ 9.80392157 15.19607843],0
v3,1,0.037054,4.347924,[24 47] ; [ 3 22],[19.96875 51.03125] ; [ 7.03125 17.96875],0
b1,1,0.038293,4.291948,[34 43] ; [17  8],[38.5 38.5] ; [12.5 12.5],0
p4,1,0.043584,4.072604,[42 34] ; [ 8 17],[37.62376238 38.37623762] ; [12.37623762 12.62376238],0
p2,1,0.070151,3.279487,[62 15] ; [15  9],[58.7029703 18.2970297] ; [18.2970297  5.7029703],0
u3,1,0.075927,3.15,[20  5] ; [5 5],[17.85714286  7.14285714] ; [7.14285714 2.85714286],0
a7,1,0.088649,2.898734,[57 20] ; [14 11],[53.59803922 23.40196078] ; [17.40196078  7.59803922],0
p8,1,0.110836,2.542255,[40 37] ; [ 8 16],[36.59405941 40.40594059] ; [11.40594059 12.59405941],0
v2,1,0.130984,2.280798,[37 32] ; [ 9 16],[33.76595745 35.23404255] ; [12.23404255 12.76595745],0
s6,1,0.135025,2.23376,[47 30] ; [11 14],[43.78431373 33.21568627] ; [14.21568627 10.78431373],0
p9,1,0.14131,2.163636,[70  7] ; [20  5],[67.94117647  9.05882353] ; [22.05882353  2.94117647],0
d4,1,0.144422,2.130198,[63 14] ; [17  8],[60.39215686 16.60784314] ; [19.60784314  5.39215686],0
n1,1,0.16612,1.917614,[7 9] ; [2 9],[ 5.33333333 10.66666667] ; [3.66666667 7.33333333],0
d1,1,0.206221,1.597762,[42 35] ; [10 15],[39.25490196 37.74509804] ; [12.74509804 12.25490196],0
n3,1,0.225041,1.471933,[13  4] ; [6 5],[11.53571429  5.46428571] ; [7.46428571 3.53571429],0
n5,1,0.246695,1.341922,[32 43] ; [14 11],[34.5 40.5] ; [11.5 13.5],0
p5,1,0.249944,1.323615,[ 4 72] ; [ 3 22],[ 5.26732673 70.73267327] ; [ 1.73267327 23.26732673],0
s4,1,0.257474,1.282286,[11 66] ; [ 6 19],[12.83333333 64.16666667] ; [ 4.16666667 20.83333333],0
u2,1,0.320988,0.984919,[22  4] ; [7 3],[20.94444444  5.05555556] ; [8.05555556 1.94444444],0
s8,1,0.336051,0.92544,[33 44] ; [ 8 17],[30.95098039 46.04901961] ; [10.04901961 14.95098039],0
b4,1,0.346792,0.885162,[41 36] ; [16  9],[43.02941176 33.97058824] ; [13.97058824 11.02941176],0
d3,1,0.407634,0.68569,[55 22] ; [15  9],[53.36633663 23.63366337] ; [16.63366337  7.36633663],0
a4,1,0.514999,0.423896,[27 50] ; [ 7 18],[25.66666667 51.33333333] ; [ 8.33333333 16.66666667],0
n2,1,0.527458,0.399287,[14  3] ; [10  1],[14.57142857  2.42857143] ; [9.42857143 1.57142857],0
n4,1,0.563372,0.3339,[39 38] ; [11 14],[37.74509804 39.25490196] ; [12.25490196 12.74509804],0
a3,1,0.570927,0.321133,[51 26] ; [15 10],[49.82352941 27.17647059] ; [16.17647059  8.82352941],0
s7,1,0.653398,0.201643,[28 44] ; [11 14],[28.94845361 43.05154639] ; [10.05154639 14.94845361],0
a2,1,0.660175,0.193311,[12 65] ; [ 3 22],[11.32352941 65.67647059] ; [ 3.67647059 21.32352941],0
b5,1,0.743865,0.106758,[49 28] ; [15 10],[48.31372549 28.68627451] ; [15.68627451  9.31372549],0
s5,1,0.838658,0.041457,[17 57] ; [ 6 18],[17.36734694 56.63265306] ; [ 5.63265306 18.36734694],0
s2,1,0.865535,0.028673,[35 41] ; [12 13],[35.36633663 40.63366337] ; [11.63366337 13.36633663],0
p7,1,0.867086,0.02801,[43 30] ; [14  9],[43.34375 29.65625] ; [13.65625  9.34375],0
b2,1,0.887927,0.019861,[11 30] ; [ 4 12],[10.78947368 30.21052632] ; [ 4.21052632 11.78947368],0
b3,1,0.887927,0.019861,[11 30] ; [ 4 12],[10.78947368 30.21052632] ; [ 4.21052632 11.78947368],0
a8,1,0.929626,0.0078,[ 6 64] ; [ 2 23],[ 5.89473684 64.10526316] ; [ 2.10526316 22.89473684],0
d2,1,0.932259,0.007226,[27 50] ; [ 9 16],[27.17647059 49.82352941] ; [ 8.82352941 16.17647059],0
p1,1,0.973215,0.001127,[ 6 71] ; [ 2 23],[ 6.03921569 70.96078431] ; [ 1.96078431 23.03921569],0
p6,1,0.973902,0.00107,[19 56] ; [ 6 18],[18.93939394 56.06060606] ; [ 6.06060606 17.93939394],0
a1,1,0.981449,0.000541,[ 3 74] ; [ 1 24],[ 3.01960784 73.98039216] ; [ 0.98039216 24.01960784],0
v1,1,0.992324,9.3e-05,[34 40] ; [11 13],[33.97959184 40.02040816] ; [11.02040816 12.97959184],0
s3,1,1.0,0.0,[42 33] ; [14 11],[42. 33.] ; [14. 11.],0
s1,1,1.0,0.0,[ 3 72] ; [ 1 24],[ 3. 72.] ; [ 1. 24.],0
