Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,95.410555,[170   3] ; [40 43],[141.9140625  31.0859375] ; [68.0859375 14.9140625],1
d2,1,0.0,82.75619,[127  45] ; [11 72],[93.08235294 78.91764706] ; [44.91764706 38.08235294],1
d4,1,0.0,81.896312,[171   2] ; [46 37],[146.64453125  26.35546875] ; [70.35546875 12.64453125],1
d3,1,0.0,53.782304,[162  11] ; [46 37],[140.5625  32.4375] ; [67.4375 15.5625],1
a2,1,0.0,36.261941,[81 93] ; [ 7 76],[ 59.57976654 114.42023346] ; [28.42023346 54.57976654],1
u1,1,0.0,29.707869,[ 61 113] ; [ 3 80],[ 43.3307393 130.6692607] ; [20.6692607 62.3307393],1
a4,1,1e-06,24.407271,[105  68] ; [23 60],[86.5 86.5] ; [41.5 41.5],1
a5,1,4e-06,21.26189,[148  26] ; [49 34],[133.37743191  40.62256809] ; [63.62256809 19.37743191],1
s8,1,6.3e-05,16.003257,[97 72] ; [25 57],[82.14342629 86.85657371] ; [39.85657371 42.14342629],1
a3,1,0.000108,14.989371,[142  30] ; [50 33],[129.50588235  42.49411765] ; [62.49411765 20.50588235],1
a6,1,0.00024,13.485336,[145  27] ; [53 30],[133.55294118  38.44705882] ; [64.44705882 18.55294118],1
v2,1,0.001922,9.622289,[149  23] ; [57 24],[140.04743083  31.95256917] ; [65.95256917 15.04743083],0
s3,1,0.004528,8.058829,[104  63] ; [34 45],[93.68292683 73.31707317] ; [44.31707317 34.68292683],0
s2,1,0.007285,7.201199,[100  70] ; [33 48],[90.07968127 79.92031873] ; [42.92031873 38.07968127],0
b1,1,0.012479,6.241523,[ 52 122] ; [38 45],[ 60.93385214 113.06614786] ; [29.06614786 53.93385214],0
p12,1,0.016221,5.778765,[ 33 140] ; [ 6 75],[ 26.56299213 146.43700787] ; [12.43700787 68.56299213],0
r1,1,0.018202,5.576562,[153  20] ; [64 19],[146.64453125  26.35546875] ; [70.35546875 12.64453125],0
p9,1,0.023434,5.136066,[152  18] ; [63 17],[146.2  23.8] ; [68.8 11.2],0
p10,1,0.024766,5.040202,[152  20] ; [62 18],[146.06349206  25.93650794] ; [67.93650794 12.06349206],0
r3,1,0.025455,4.992641,[170   3] ; [77  6],[166.91796875   6.08203125] ; [80.08203125  2.91796875],0
p2,1,0.027087,4.885234,[150  23] ; [62 20],[143.82745098  29.17254902] ; [68.17254902 13.82745098],0
p4,1,0.028475,4.799072,[117  55] ; [43 37],[109.20634921  62.79365079] ; [50.79365079 29.20634921],0
p11,1,0.028972,4.769274,[146  28] ; [60 23],[139.47081712  34.52918288] ; [66.52918288 16.47081712],0
n6,1,0.046559,3.961251,[155  16] ; [68 15],[150.12992126  20.87007874] ; [72.87007874 10.12992126],0
s7,1,0.064036,3.429633,[97 66] ; [35 40],[90.40336134 72.59663866] ; [41.59663866 33.40336134],0
n4,1,0.112462,2.519276,[146  28] ; [62 20],[141.375  32.625] ; [66.625 15.375],0
v1,1,0.121984,2.391665,[121  53] ; [49 33],[115.546875  58.453125] ; [54.453125 27.546875],0
a1,1,0.181352,1.78651,[ 14 160] ; [ 3 80],[ 11.50972763 162.49027237] ; [ 5.49027237 77.50972763],0
u3,1,0.192718,1.696713,[23  9] ; [18 14],[20.5 11.5] ; [20.5 11.5],0
n5,1,0.232886,1.423147,[140  33] ; [61 21],[136.36470588  36.63529412] ; [64.63529412 17.36470588],0
b5,1,0.271297,1.210178,[117  57] ; [50 33],[113.06614786  60.93385214] ; [53.93385214 29.06614786],0
p8,1,0.295827,1.092912,[103  67] ; [44 38],[99.16666667 70.83333333] ; [47.83333333 34.16666667],0
u2,1,0.3017,1.066667,[22 10] ; [18 14],[20. 12.] ; [20. 12.],0
p5,1,0.304092,1.056164,[ 25 148] ; [16 66],[ 27.81568627 145.18431373] ; [13.18431373 68.81568627],0
s6,1,0.320592,0.986531,[119  49] ; [51 28],[115.62753036  52.37246964] ; [54.37246964 24.62753036],0
n1,1,0.326717,0.961866,[ 8 23] ; [6 9],[ 9.43478261 21.56521739] ; [ 4.56521739 10.43478261],0
p1,1,0.340111,0.910014,[ 20 153] ; [13 69],[ 22.38823529 150.61176471] ; [10.61176471 71.38823529],0
p3,1,0.341878,0.903377,[99 73] ; [42 40],[95.48031496 76.51968504] ; [45.51968504 36.48031496],0
a8,1,0.342207,0.902145,[ 24 122] ; [ 9 68],[ 21.60538117 124.39461883] ; [11.39461883 65.60538117],0
u4,1,0.407425,0.686301,[  5 169] ; [ 1 82],[  4.06225681 169.93774319] ; [ 1.93774319 81.06225681],0
s5,1,0.411651,0.674027,[ 65 101] ; [27 53],[ 62.08130081 103.91869919] ; [29.91869919 50.08130081],0
