Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,186.066754,[ 70 281] ; [250 101],[160. 191.] ; [160. 191.],1
s2,1,0.0,122.93704,[114 235] ; [262  90],[187.19543509 161.80456491] ; [188.80456491 163.19543509],1
s3,1,0.0,101.033702,[133 214] ; [266  84],[198.64131994 148.35868006] ; [200.35868006 149.64131994],1
s6,1,0.0,83.314954,[180 164] ; [295  54],[235.78643579 108.21356421] ; [239.21356421 109.78643579],1
a3,1,0.0,31.917676,[230 121] ; [295  56],[262.5  88.5] ; [262.5  88.5],1
n4,1,0.0,30.546327,[237 114] ; [300  52],[268.11806543  82.88193457] ; [268.88193457  83.11806543],1
s5,1,0.0,29.703099,[ 87 253] ; [153 182],[120.88888889 219.11111111] ; [119.11111111 215.88888889],1
p6,1,0.0,29.690404,[ 94 250] ; [164 182],[128.62608696 215.37391304] ; [129.37391304 216.62608696],1
p3,1,0.0,29.20368,[136 212] ; [210 143],[171.7660485 176.2339515] ; [174.2339515 178.7660485],1
p4,1,1e-06,24.331271,[175 170] ; [243 109],[206.9010043 138.0989957] ; [211.0989957 140.9010043],1
u1,1,2e-06,22.17279,[ 48 304] ; [ 99 254],[ 73.39574468 278.60425532] ; [ 73.60425532 279.39574468],1
n5,1,7e-06,20.125891,[229 118] ; [285  67],[255.16165951  91.83834049] ; [258.83834049  93.16165951],1
p5,1,1.3e-05,18.938842,[ 21 329] ; [ 57 291],[ 39.11174785 310.88825215] ; [ 38.88825215 309.11174785],1
v3,1,0.000129,14.659522,[111 225] ; [161 178],[135.39555556 200.60444444] ; [136.60444444 202.39555556],1
p9,1,0.000237,13.509516,[279  68] ; [315  34],[296.14655172  50.85344828] ; [297.85344828  51.14655172],1
p7,1,0.000816,11.203665,[198 144] ; [238 101],[218.96035242 123.03964758] ; [217.03964758 121.96035242],1
a2,1,0.000913,10.997148,[ 73 279] ; [112 241],[ 92.36879433 259.63120567] ; [ 92.63120567 260.36879433],1
d2,1,0.002261,9.324469,[165 185] ; [207 146],[185.20625889 164.79374111] ; [186.79374111 166.20625889],0
n6,1,0.003224,8.676063,[282  68] ; [311  40],[296.07703281  53.92296719] ; [296.92296719  54.07703281],0
p12,1,0.003292,8.637887,[ 17 332] ; [ 38 312],[ 27.46065808 321.53934192] ; [ 27.53934192 322.46065808],0
u4,1,0.004248,8.174726,[  3 349] ; [ 15 338],[  8.98723404 343.01276596] ; [  9.01276596 343.98723404],0
a8,1,0.005943,7.567452,[ 32 296] ; [ 54 261],[ 43.86936236 284.13063764] ; [ 42.13063764 272.86936236],0
n1,1,0.008894,6.844016,[25 61] ; [36 37],[32.99371069 53.00628931] ; [28.00628931 44.99371069],0
s4,1,0.016566,5.741818,[ 48 297] ; [ 73 278],[ 59.97844828 285.02155172] ; [ 61.02155172 289.97844828],0
v1,1,0.017365,5.659104,[173 170] ; [204 139],[188.5 154.5] ; [188.5 154.5],0
a4,1,0.019395,5.465565,[155 197] ; [186 166],[170.5 181.5] ; [170.5 181.5],0
r1,1,0.020266,5.388846,[276  74] ; [302  51],[287.76671408  62.23328592] ; [290.23328592  62.76671408],0
p10,1,0.020859,5.338506,[272  75] ; [298  52],[283.7733142  63.2266858] ; [286.2266858  63.7733142],0
p8,1,0.024675,5.04658,[168 179] ; [197 149],[182.76334776 164.23665224] ; [182.23665224 163.76334776],0
u3,1,0.02627,4.938187,[70 49] ; [44 14],[76.6440678 42.3559322] ; [37.3559322 20.6440678],0
v2,1,0.029545,4.735593,[181 154] ; [213 129],[194.96307238 140.03692762] ; [199.03692762 142.96307238],0
d1,1,0.031195,4.642194,[232 120] ; [259  94],[245.15177305 106.84822695] ; [245.84822695 107.15177305],0
a5,1,0.031454,4.628025,[257  95] ; [282  71],[269.1177305  82.8822695] ; [269.8822695  83.1177305],0
p1,1,0.044745,4.028213,[ 19 331] ; [ 33 318],[ 25.96291013 324.03708987] ; [ 26.03708987 324.96291013],0
s1,1,0.048353,3.897678,[  6 340] ; [ 15 334],[ 10.45467626 335.54532374] ; [ 10.54532374 338.45467626],0
p2,1,0.069871,3.28605,[283  65] ; [304  48],[291.82285714  56.17714286] ; [295.17714286  56.82285714],0
u2,1,0.077718,3.111983,[67 52] ; [40 17],[72.34659091 46.65340909] ; [34.65340909 22.34659091],0
a7,1,0.108066,2.582274,[272  79] ; [255  98],[262.75142045  88.24857955] ; [264.24857955  88.75142045],0
b2,1,0.111034,2.53944,[ 66 115] ; [109 138],[ 74.00700935 106.99299065] ; [100.99299065 146.00700935],0
b3,1,0.111034,2.53944,[ 66 115] ; [109 138],[ 74.00700935 106.99299065] ; [100.99299065 146.00700935],0
r2,1,0.12092,2.405361,[330  18] ; [339  10],[334.02008608  13.97991392] ; [334.97991392  14.02008608],0
a6,1,0.141283,2.163934,[253  99] ; [235 117],[244. 108.] ; [244. 108.],0
b4,1,0.232248,1.427042,[216 136] ; [201 152],[208.20425532 143.79574468] ; [208.79574468 144.20425532],0
