Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,38.138148,[106  14] ; [14 22],[92.30769231 27.69230769] ; [27.69230769  8.30769231],1
n6,1,0.0,37.425239,[109  11] ; [16 20],[96.15384615 23.84615385] ; [28.84615385  7.15384615],1
r2,1,0.000323,12.932754,[119   2] ; [30  6],[114.8343949   6.1656051] ; [34.1656051  1.8343949],1
a6,1,0.003435,8.560769,[80 41] ; [14 22],[72.44585987 48.55414013] ; [21.55414013 14.44585987],0
r4,1,0.003832,8.36185,[110  11] ; [26 10],[104.81528662  16.18471338] ; [31.18471338  4.81528662],0
p10,1,0.005814,7.607085,[101  18] ; [23 13],[95.2 23.8] ; [28.8  7.2],0
p9,1,0.010787,6.5,[105  15] ; [25 11],[100.  20.] ; [30.  6.],0
p2,1,0.021008,5.326142,[101  19] ; [24 12],[96.15384615 23.84615385] ; [28.84615385  7.15384615],0
r1,1,0.022456,5.210084,[100  19] ; [24 12],[95.2 23.8] ; [28.8  7.2],0
d1,1,0.025438,4.993833,[66 55] ; [12 24],[60.11464968 60.88535032] ; [17.88535032 18.11464968],0
d5,1,0.034314,4.478981,[97 23] ; [23 13],[92.30769231 27.69230769] ; [27.69230769  8.30769231],0
u3,1,0.049499,3.858339,[19 15] ; [12  2],[21.95833333 12.04166667] ; [9.04166667 4.95833333],0
p8,1,0.049669,3.852583,[69 51] ; [14 22],[63.84615385 56.15384615] ; [19.15384615 16.84615385],0
p4,1,0.050885,3.812064,[79 42] ; [17 19],[73.98726115 47.01273885] ; [22.01273885 13.98726115],0
v4,1,0.057664,3.603335,[115   6] ; [30  5],[112.46794872   8.53205128] ; [32.53205128  2.46794872],0
d2,1,0.078491,3.095875,[57 64] ; [11 25],[52.40764331 68.59235669] ; [15.59235669 20.40764331],0
a2,1,0.080172,3.061401,[30 91] ; [ 4 32],[26.20382166 94.79617834] ; [ 7.79617834 28.20382166],0
s8,1,0.083358,2.998176,[58 63] ; [11 24],[53.51923077 67.48076923] ; [15.48076923 19.51923077],0
p5,1,0.087252,2.924357,[20 98] ; [ 2 34],[ 16.85714286 101.14285714] ; [ 5.14285714 30.85714286],0
r3,1,0.090477,2.865862,[109  11] ; [29  7],[106.15384615  13.84615385] ; [31.84615385  4.15384615],0
p7,1,0.099354,2.71588,[77 41] ; [18 18],[72.79220779 45.20779221] ; [22.20779221 13.79220779],0
p6,1,0.117238,2.453832,[46 75] ; [ 8 26],[42.15483871 78.84516129] ; [11.84516129 22.15483871],0
a5,1,0.122183,2.389114,[90 31] ; [22 14],[86.31847134 34.68152866] ; [25.68152866 10.31847134],0
u2,1,0.123512,2.372216,[16 18] ; [10  4],[18.41666667 15.58333333] ; [7.58333333 6.41666667],0
p11,1,0.148439,2.088219,[92 29] ; [23 13],[88.63057325 32.36942675] ; [26.36942675  9.63057325],0
a3,1,0.167359,1.906444,[87 32] ; [22 14],[83.68387097 35.31612903] ; [25.31612903 10.68387097],0
b1,1,0.19299,1.694641,[62 59] ; [14 22],[58.57324841 62.42675159] ; [17.42675159 18.57324841],0
s3,1,0.199898,1.643117,[70 48] ; [17 19],[66.66233766 51.33766234] ; [20.33766234 15.66233766],0
b5,1,0.240613,1.376997,[77 44] ; [19 17],[73.98726115 47.01273885] ; [22.01273885 13.98726115],0
p12,1,0.271114,1.211104,[ 10 111] ; [ 1 34],[  8.53205128 112.46794872] ; [ 2.46794872 32.53205128],0
a8,1,0.295771,1.093165,[17 92] ; [ 3 32],[15.13888889 93.86111111] ; [ 4.86111111 30.13888889],0
s6,1,0.328133,0.95625,[84 35] ; [21 13],[81.66666667 37.33333333] ; [23.33333333 10.66666667],0
s1,1,0.338615,0.915666,[  5 112] ; [ 3 33],[  6.11764706 110.88235294] ; [ 1.88235294 34.11764706],0
a7,1,0.349938,0.873681,[84 37] ; [22 14],[81.69426752 39.30573248] ; [24.30573248 11.69426752],0
d3,1,0.381049,0.767316,[77 44] ; [20 16],[74.75796178 46.24203822] ; [22.24203822 13.75796178],0
u1,1,0.427764,0.628887,[ 20 101] ; [ 4 32],[ 18.49681529 102.50318471] ; [ 5.50318471 30.49681529],0
n2,1,0.43115,0.619722,[21  4] ; [8 3],[20.13888889  4.86111111] ; [8.86111111 2.13888889],0
a4,1,0.438134,0.601165,[55 64] ; [14 22],[52.97419355 66.02580645] ; [16.02580645 19.97419355],0
n1,1,0.559339,0.34085,[14 11] ; [5 6],[13.19444444 11.80555556] ; [5.80555556 5.19444444],0
s4,1,0.612075,0.257164,[25 94] ; [ 9 27],[26.10322581 92.89677419] ; [ 7.89677419 28.10322581],0
b4,1,0.652188,0.203153,[69 52] ; [19 17],[67.82165605 53.17834395] ; [20.17834395 15.82165605],0
s2,1,0.682383,0.167455,[63 57] ; [17 18],[61.93548387 58.06451613] ; [18.06451613 16.93548387],0
s5,1,0.706668,0.141628,[45 71] ; [14 19],[45.93288591 70.06711409] ; [13.06711409 19.93288591],0
p1,1,0.83535,0.0432,[ 12 109] ; [ 4 32],[ 12.33121019 108.66878981] ; [ 3.66878981 32.33121019],0
d4,1,0.836638,0.042516,[92 28] ; [27  9],[91.53846154 28.46153846] ; [27.46153846  8.53846154],0
b2,1,0.842688,0.039385,[34 50] ; [ 9 12],[34.4 49.6] ; [ 8.6 12.4],0
b3,1,0.842688,0.039385,[34 50] ; [ 9 12],[34.4 49.6] ; [ 8.6 12.4],0
s7,1,0.845363,0.03804,[52 61] ; [15 19],[51.50340136 61.49659864] ; [15.49659864 18.50340136],0
n3,1,0.860817,0.030742,[16  8] ; [7 4],[15.77142857  8.22857143] ; [7.22857143 3.77142857],0
v3,1,0.926269,0.008564,[34 85] ; [10 26],[33.78064516 85.21935484] ; [10.21935484 25.78064516],0
a1,1,0.958514,0.002706,[  7 114] ; [ 2 34],[  6.93630573 114.06369427] ; [ 2.06369427 33.93630573],0
p3,1,0.976646,0.000857,[57 63] ; [17 19],[56.92307692 63.07692308] ; [17.07692308 18.92307692],0
