Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,106.896053,[ 55 200] ; [99 31],[102. 153.] ; [52. 78.],1
s6,1,0.0,66.663905,[108 160] ; [113  23],[146.6039604 121.3960396] ; [74.3960396 61.6039604],1
s2,1,0.0,62.288555,[ 75 192] ; [94 42],[111.96774194 155.03225806] ; [57.03225806 78.96774194],1
s3,1,0.0,30.998616,[105 161] ; [93 42],[131.34164589 134.65835411] ; [66.65835411 68.34164589],1
p10,1,2e-06,23.093682,[159 106] ; [113  22],[180.2  84.8] ; [91.8 43.2],1
p9,1,1.7e-05,18.513593,[173  90] ; [117  19],[191.15288221  71.84711779] ; [98.84711779 37.15288221],1
v3,1,6.1e-05,16.060341,[ 70 190] ; [59 65],[ 87.34375 172.65625] ; [41.65625 82.34375],1
r4,1,8.6e-05,15.431785,[196  73] ; [123  14],[211.35714286  57.64285714] ; [107.64285714  29.35714286],1
p3,1,0.000377,12.64167,[ 72 195] ; [61 76],[ 87.89851485 179.10148515] ; [45.10148515 91.89851485],1
v4,1,0.000579,11.842072,[222  43] ; [131   6],[232.69900498  32.30099502] ; [120.30099502  16.69900498],1
a5,1,0.000594,11.795307,[160 109] ; [105  32],[175.57881773  93.42118227] ; [89.42118227 47.57881773],1
d2,1,0.000712,11.457921,[111 153] ; [82 55],[127.06234414 136.93765586] ; [65.93765586 71.06234414],1
u3,1,0.000868,11.088988,[45 52] ; [27  7],[53.3129771 43.6870229] ; [18.6870229 15.3129771],1
n6,1,0.000962,10.898508,[187  79] ; [116  20],[200.49253731  65.50746269] ; [102.50746269  33.49253731],1
n4,1,0.002144,9.42214,[184  84] ; [112  23],[196.84367246  71.15632754] ; [99.15632754 35.84367246],0
p4,1,0.002166,9.403492,[ 96 171] ; [71 66],[110.36881188 156.63118812] ; [56.63118812 80.36881188],0
p6,1,0.0022,9.374654,[ 44 219] ; [41 96],[ 55.8875 207.1125] ; [ 29.1125 107.8875],0
d5,1,0.002379,9.231102,[195  73] ; [118  19],[207.12098765  60.87901235] ; [105.87901235  31.12098765],0
s5,1,0.002486,9.151082,[ 48 216] ; [41 88],[ 59.78625954 204.21374046] ; [29.21374046 99.78625954],0
v2,1,0.002696,9.002359,[114 143] ; [77 50],[127.83072917 129.16927083] ; [63.16927083 63.83072917],0
u1,1,0.0033,8.633716,[ 34 235] ; [ 33 104],[ 44.39162562 224.60837438] ; [ 22.60837438 114.39162562],0
u4,1,0.003353,8.604849,[  1 268] ; [  6 131],[  4.63793103 264.36206897] ; [  2.36206897 134.63793103],0
b5,1,0.004052,8.260306,[153 116] ; [98 39],[166.30295567 102.69704433] ; [84.69704433 52.30295567],0
v1,1,0.005317,7.768368,[107 157] ; [70 56],[119.81538462 144.18461538] ; [57.18461538 68.81538462],0
r3,1,0.005569,7.684659,[230  35] ; [131   6],[237.97263682  27.02736318] ; [123.02736318  13.97263682],0
r1,1,0.006231,7.482155,[181  86] ; [109  26],[192.6119403  74.3880597] ; [97.3880597 37.6119403],0
u2,1,0.007589,7.12791,[46 48] ; [25  8],[52.5511811 41.4488189] ; [18.4488189 14.5511811],0
p12,1,0.011168,6.43844,[  8 260] ; [ 12 125],[ 13.2345679 254.7654321] ; [  6.7654321 130.2345679],0
a3,1,0.023296,5.14633,[171  96] ; [103  34],[181.08415842  85.91584158] ; [92.91584158 44.08415842],0
r2,1,0.024081,5.088812,[229  35] ; [128   8],[235.62  28.38] ; [121.38  14.62],0
d1,1,0.039501,4.239201,[130 139] ; [81 56],[139.80049261 129.19950739] ; [71.19950739 65.80049261],0
a2,1,0.048917,3.878186,[ 55 214] ; [40 97],[ 62.94334975 206.05665025] ; [ 32.05665025 104.94334975],0
n5,1,0.051106,3.804781,[175  90] ; [102  33],[183.5125  81.4875] ; [93.4875 41.5125],0
n1,1,0.052401,3.76292,[30 61] ; [19 18],[34.8359375 56.1640625] ; [14.1640625 22.8359375],0
a8,1,0.056231,3.645205,[ 29 222] ; [23 99],[ 34.9919571 216.0080429] ; [ 17.0080429 104.9919571],0
p7,1,0.074987,3.170336,[ 98 164] ; [63 72],[106.25188917 155.74811083] ; [54.74811083 80.25188917],0
p11,1,0.123933,2.366905,[174  95] ; [99 38],[180.87931034  88.12068966] ; [92.12068966 44.87931034],0
a4,1,0.124006,2.365977,[113 154] ; [69 68],[120.28217822 146.71782178] ; [61.71782178 75.28217822],0
a7,1,0.225657,1.46803,[171  96] ; [96 41],[176.45792079  90.54207921] ; [90.54207921 46.45792079],0
b3,1,0.234124,1.415633,[56 94] ; [47 58],[60.58823529 89.41176471] ; [42.41176471 62.58823529],0
b2,1,0.234124,1.415633,[56 94] ; [47 58],[60.58823529 89.41176471] ; [42.41176471 62.58823529],0
