Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.005431,7.729906,[10 10] ; [15 62],[ 5.15463918 14.84536082] ; [19.84536082 57.15463918],0
p11,1,0.010586,6.533543,[15  6] ; [33 49],[ 9.78640777 11.21359223] ; [38.21359223 43.78640777],0
a3,1,0.025812,4.968599,[14  7] ; [32 49],[ 9.47058824 11.52941176] ; [36.52941176 44.47058824],0
s8,1,0.034347,4.477366,[ 7 14] ; [11 70],[ 3.70588235 17.29411765] ; [14.29411765 66.70588235],0
a7,1,0.035425,4.424567,[15  6] ; [37 44],[10.70588235 10.29411765] ; [41.29411765 39.70588235],0
v4,1,0.05198,3.776404,[19  1] ; [61 20],[15.84158416  4.15841584] ; [64.15841584 16.84158416],0
d5,1,0.078081,3.104405,[14  7] ; [37 45],[10.39805825 10.60194175] ; [40.60194175 41.39805825],0
a2,1,0.133773,2.248167,[ 2 19] ; [ 2 80],[ 0.81553398 20.18446602] ; [ 3.18446602 78.81553398],0
d2,1,0.138032,2.199765,[ 2 19] ; [20 62],[ 4.48543689 16.51456311] ; [17.51456311 64.48543689],0
p2,1,0.143086,2.144449,[14  7] ; [40 42],[11.00970874  9.99029126] ; [42.99029126 39.00970874],0
p7,1,0.147401,2.098947,[13  7] ; [38 43],[10.0990099  9.9009901] ; [40.9009901 40.0990099],0
u2,1,0.156239,2.010256,[5 2] ; [21 28],[3.25 3.75] ; [22.75 26.25],0
s2,1,0.163428,1.94222,[ 9 12] ; [22 59],[ 6.38235294 14.61764706] ; [24.61764706 56.38235294],0
b1,1,0.171908,1.866225,[14  7] ; [41 41],[11.21359223  9.78640777] ; [43.78640777 38.21359223],0
n2,1,0.191355,1.707158,[7 1] ; [19 11],[5.47368421 2.52631579] ; [20.52631579  9.47368421],0
a6,1,0.2031,1.619945,[13  8] ; [38 44],[10.39805825 10.60194175] ; [40.60194175 41.39805825],0
r1,1,0.216521,1.527283,[16  5] ; [50 31],[13.58823529  7.41176471] ; [52.41176471 28.58823529],0
d3,1,0.233761,1.417829,[ 9 12] ; [24 58],[ 6.72815534 14.27184466] ; [26.27184466 55.72815534],0
s3,1,0.307148,1.042899,[11 10] ; [32 48],[ 8.94059406 12.05940594] ; [34.05940594 45.94059406],0
s4,1,0.334124,0.932847,[ 2 19] ; [15 67],[ 3.46601942 17.53398058] ; [13.53398058 68.46601942],0
v1,1,0.36506,0.820412,[ 5 16] ; [28 54],[ 6.72815534 14.27184466] ; [26.27184466 55.72815534],0
p4,1,0.394465,0.725135,[ 9 12] ; [27 55],[ 7.33980583 13.66019417] ; [28.66019417 53.33980583],0
n6,1,0.412493,0.671605,[14  7] ; [46 35],[12.35294118  8.64705882] ; [47.64705882 33.35294118],0
a1,1,0.417355,0.65775,[ 2 19] ; [ 4 78],[ 1.22330097 19.77669903] ; [ 4.77669903 77.22330097],0
v3,1,0.422794,0.642535,[ 5 16] ; [26 53],[ 6.51 14.49] ; [24.49 54.51],0
r2,1,0.422814,0.642479,[18  3] ; [63 18],[16.67647059  4.32352941] ; [64.32352941 16.67647059],0
d4,1,0.43327,0.614043,[12  9] ; [39 43],[10.39805825 10.60194175] ; [40.60194175 41.39805825],0
b5,1,0.486426,0.484422,[10 11] ; [46 36],[11.41747573  9.58252427] ; [44.58252427 37.41747573],0
r4,1,0.491947,0.472264,[15  6] ; [52 30],[13.66019417  7.33980583] ; [53.33980583 28.66019417],0
u3,1,0.513193,0.427551,[4 3] ; [22 28],[3.19298246 3.80701754] ; [22.80701754 27.19298246],0
r3,1,0.513751,0.426419,[17  4] ; [60 21],[15.85294118  5.14705882] ; [61.14705882 19.85294118],0
v2,1,0.526537,0.40107,[ 8 12] ; [26 54],[ 6.8 13.2] ; [27.2 52.8],0
a5,1,0.540869,0.373931,[10 11] ; [33 49],[ 8.76699029 12.23300971] ; [34.23300971 47.76699029],0
n4,1,0.551266,0.355054,[12  9] ; [52 29],[13.17647059  7.82352941] ; [50.82352941 30.17647059],0
s1,1,0.561587,0.336965,[ 3 18] ; [ 8 73],[ 2.26470588 18.73529412] ; [ 8.73529412 72.26470588],0
a4,1,0.568503,0.325195,[ 5 16] ; [15 67],[ 4.0776699 16.9223301] ; [15.9223301 66.0776699],0
u1,1,0.572204,0.319009,[ 1 20] ; [ 2 80],[ 0.61165049 20.38834951] ; [ 2.38834951 79.61165049],0
b4,1,0.610885,0.258888,[11 10] ; [48 34],[12.02912621  8.97087379] ; [46.97087379 35.02912621],0
s6,1,0.624785,0.2392,[ 9 12] ; [30 51],[ 8.02941176 12.97058824] ; [30.97058824 50.02941176],0
n5,1,0.665098,0.18739,[12  9] ; [42 39],[11.11764706  9.88235294] ; [42.88235294 38.11764706],0
n3,1,0.698908,0.14961,[6 2] ; [19  9],[5.55555556 2.44444444] ; [19.44444444  8.55555556],0
b2,1,0.702425,0.145962,[3 9] ; [15 34],[3.54098361 8.45901639] ; [14.45901639 34.54098361],0
b3,1,0.702425,0.145962,[3 9] ; [15 34],[3.54098361 8.45901639] ; [14.45901639 34.54098361],0
p3,1,0.702726,0.145651,[ 6 15] ; [27 55],[ 6.72815534 14.27184466] ; [26.27184466 55.72815534],0
p8,1,0.716173,0.132189,[ 6 15] ; [20 61],[ 5.35294118 15.64705882] ; [20.64705882 60.35294118],0
p6,1,0.75261,0.099351,[ 4 17] ; [18 63],[ 4.52941176 16.47058824] ; [17.47058824 63.52941176],0
s5,1,0.93471,0.006711,[ 3 18] ; [12 68],[ 3.11881188 17.88118812] ; [11.88118812 68.11881188],0
a8,1,0.965064,0.001918,[ 2 19] ; [ 7 69],[ 1.94845361 19.05154639] ; [ 7.05154639 68.94845361],0
p1,1,0.973389,0.001113,[ 1 20] ; [ 4 77],[ 1.02941176 19.97058824] ; [ 3.97058824 77.02941176],0
n1,1,0.981731,0.000524,[3 4] ; [13 17],[3.02702703 3.97297297] ; [12.97297297 17.02702703],0
