Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,49.64905,[67 88] ; [112  22],[96.00346021 58.99653979] ; [82.99653979 51.00346021],1
v1,1,1.8e-05,18.344549,[76 77] ; [101  35],[93.70588235 59.29411765] ; [83.29411765 52.70588235],1
p12,1,0.002663,9.025406,[ 12 142] ; [ 27 109],[ 20.71034483 133.28965517] ; [ 18.28965517 117.71034483],0
p5,1,0.004385,8.117287,[ 25 130] ; [41 95],[ 35.15463918 119.84536082] ; [ 30.84536082 105.15463918],0
p1,1,0.007496,7.150143,[ 14 141] ; [ 27 108],[ 21.9137931 133.0862069] ; [ 19.0862069 115.9137931],0
s7,1,0.011457,6.392943,[74 72] ; [83 43],[84.27205882 61.72794118] ; [72.72794118 53.27205882],0
s8,1,0.013494,6.103203,[73 82] ; [82 51],[83.42013889 71.57986111] ; [71.57986111 61.42013889],0
n5,1,0.01677,5.720337,[118  36] ; [119  17],[125.85517241  28.14482759] ; [111.14482759  24.85517241],0
n2,1,0.026883,4.898337,[16 10] ; [14  1],[19.02439024  6.97560976] ; [10.97560976  4.02439024],0
a3,1,0.027282,4.872894,[106  49] ; [107  27],[114.23875433  40.76124567] ; [98.76124567 35.23875433],0
n4,1,0.030269,4.693949,[122  33] ; [120  16],[128.90034364  26.09965636] ; [113.09965636  22.90034364],0
s4,1,0.0352,4.435457,[ 37 117] ; [ 19 115],[ 29.94444444 124.05555556] ; [ 26.05555556 107.94444444],0
p10,1,0.039173,4.25336,[133  20] ; [128   8],[138.17647059  14.82352941] ; [122.82352941  13.17647059],0
r4,1,0.043504,4.075718,[140  15] ; [131   5],[144.34707904  10.65292096] ; [126.65292096   9.34707904],0
s5,1,0.048515,3.892045,[57 92] ; [65 65],[65.15412186 83.84587814] ; [56.84587814 73.15412186],0
a1,1,0.050042,3.840062,[  6 149] ; [ 13 123],[ 10.12027491 144.87972509] ; [  8.87972509 127.12027491],0
d1,1,0.079485,3.075391,[93 62] ; [95 41],[100.13745704  54.86254296] ; [87.86254296 48.13745704],0
s2,1,0.095278,2.78286,[75 80] ; [78 56],[82.05882353 72.94117647] ; [70.94117647 63.05882353],0
s3,1,0.142027,2.155862,[85 69] ; [86 49],[91.12110727 62.87889273] ; [79.87889273 55.12110727],0
n6,1,0.184753,1.758968,[134  20] ; [124  11],[137.48096886  16.51903114] ; [120.51903114  14.48096886],0
u4,1,0.185014,1.756879,[  2 153] ; [  5 131],[  3.72852234 151.27147766] ; [  3.27147766 132.72852234],0
p11,1,0.189885,1.718513,[131  24] ; [122  14],[134.75945017  20.24054983] ; [118.24054983  17.75945017],0
p9,1,0.194291,1.684775,[138  17] ; [127   9],[141.15120275  13.84879725] ; [123.84879725  12.15120275],0
r1,1,0.205472,1.603047,[126  29] ; [118  18],[129.96563574  25.03436426] ; [114.03436426  21.96563574],0
p7,1,0.282387,1.155568,[132  21] ; [122  13],[134.9375  18.0625] ; [119.0625  15.9375],0
v4,1,0.285568,1.140399,[148   7] ; [132   3],[149.65517241   5.34482759] ; [130.34482759   4.65517241],0
p2,1,0.343795,0.89623,[140  15] ; [127   9],[142.21649485  12.78350515] ; [124.78350515  11.21649485],0
a5,1,0.360892,0.834786,[121  34] ; [112  24],[124.10652921  30.89347079] ; [108.89347079  27.10652921],0
b5,1,0.48412,0.489568,[85 70] ; [69 67],[82.02749141 72.97250859] ; [71.97250859 64.02749141],0
u3,1,0.525245,0.403582,[30 18] ; [16 13],[28.67532468 19.32467532] ; [17.32467532 11.67532468],0
u2,1,0.547243,0.36228,[27 22] ; [18 11],[28.26923077 20.73076923] ; [16.73076923 12.26923077],0
s1,1,0.595489,0.281853,[  5 150] ; [  3 133],[  4.26116838 150.73883162] ; [  3.73883162 132.26116838],0
a2,1,0.609778,0.260498,[ 37 118] ; [ 36 100],[ 38.88316151 116.11683849] ; [ 34.11683849 101.88316151],0
b2,1,0.640782,0.21772,[36 61] ; [36 53],[37.5483871 59.4516129] ; [34.4516129 54.5483871],0
b3,1,0.640782,0.21772,[36 61] ; [36 53],[37.5483871 59.4516129] ; [34.4516129 54.5483871],0
a7,1,0.654244,0.200591,[110  45] ; [99 36],[111.70689655  43.29310345] ; [97.29310345 37.70689655],0
b1,1,0.66806,0.183879,[60 95] ; [56 80],[61.78694158 93.21305842] ; [54.21305842 81.78694158],0
p4,1,0.694871,0.153862,[132  23] ; [118  18],[133.16151203  21.83848797] ; [116.83848797  19.16151203],0
n3,1,0.742635,0.107824,[16 10] ; [10  5],[16.48780488  9.51219512] ; [9.51219512 5.48780488],0
u1,1,0.744846,0.105913,[ 32 123] ; [ 26 110],[ 30.89347079 124.10652921] ; [ 27.10652921 108.89347079],0
r2,1,0.747924,0.103284,[144   8] ; [129   6],[144.58536585   7.41463415] ; [128.41463415   6.58536585],0
a6,1,0.766799,0.08795,[107  48] ; [91 44],[105.82758621  49.17241379] ; [92.17241379 42.82758621],0
a8,1,0.798689,0.065047,[ 20 122] ; [ 16 107],[ 19.29056604 122.70943396] ; [ 16.70943396 106.29056604],0
b4,1,0.821075,0.05115,[88 67] ; [79 57],[88.95189003 66.04810997] ; [78.04810997 57.95189003],0
s6,1,0.824577,0.049134,[109  42] ; [93 38],[108.16312057  42.83687943] ; [93.83687943 37.16312057],0
d3,1,0.83705,0.0423,[110  45] ; [98 38],[110.79037801  44.20962199] ; [97.20962199 38.79037801],0
d2,1,0.881212,0.02233,[80 75] ; [69 67],[79.36426117 75.63573883] ; [69.63573883 66.36426117],0
n1,1,0.885131,0.020871,[11 15] ; [6 9],[10.7804878 15.2195122] ; [6.2195122 8.7804878],0
p6,1,0.910743,0.012567,[87 65] ; [77 56],[87.46666667 64.53333333] ; [76.53333333 56.46666667],0
r3,1,0.932036,0.007273,[148   6] ; [130   5],[148.1384083   5.8615917] ; [129.8615917   5.1384083],0
d5,1,0.949374,0.004031,[127  28] ; [111  24],[127.20689655  27.79310345] ; [110.79310345  24.20689655],0
a4,1,0.970786,0.001341,[72 83] ; [63 72],[72.15517241 82.84482759] ; [62.84482759 72.15517241],0
d4,1,0.995443,3.3e-05,[132  23] ; [115  20],[132.01724138  22.98275862] ; [114.98275862  20.01724138],0
