Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.013492,6.103405,[ 5 20] ; [23 23],[ 9.85915493 15.14084507] ; [18.14084507 27.85915493],0
v4,1,0.016838,5.713222,[13 12] ; [35  9],[17.39130435  7.60869565] ; [30.60869565 13.39130435],0
d5,1,0.029001,4.767549,[12 13] ; [34 12],[16.1971831  8.8028169] ; [29.8028169 16.1971831],0
b4,1,0.047354,3.932783,[12 13] ; [33 13],[15.84507042  9.15492958] ; [29.15492958 16.84507042],0
d3,1,0.048514,3.892106,[10 15] ; [29 16],[13.92857143 11.07142857] ; [25.07142857 19.92857143],0
d2,1,0.049753,3.849773,[ 6 19] ; [22 24],[ 9.85915493 15.14084507] ; [18.14084507 27.85915493],0
s8,1,0.056759,3.62963,[11 14] ; [10 35],[ 7.5 17.5] ; [13.5 31.5],0
s3,1,0.092296,2.83386,[ 7 18] ; [21 22],[10.29411765 14.70588235] ; [17.70588235 25.29411765],0
n5,1,0.12473,2.356902,[20  5] ; [28 17],[17.14285714  7.85714286] ; [30.85714286 14.14285714],0
a6,1,0.139364,2.184966,[ 9 16] ; [25 21],[11.97183099 13.02816901] ; [22.02816901 23.97183099],0
a2,1,0.153361,2.038494,[ 1 24] ; [ 7 39],[ 2.81690141 22.18309859] ; [ 5.18309859 40.81690141],0
p4,1,0.172409,1.86187,[14 11] ; [18 28],[11.26760563 13.73239437] ; [20.73239437 25.26760563],0
b1,1,0.183521,1.768875,[15 10] ; [20 26],[12.32394366 12.67605634] ; [22.67605634 23.32394366],0
p9,1,0.186216,1.747304,[23  2] ; [36  9],[21.07142857  3.92857143] ; [37.92857143  7.07142857],0
r3,1,0.212767,1.5525,[18  6] ; [27 18],[15.65217391  8.34782609] ; [29.34782609 15.65217391],0
u1,1,0.228719,1.448812,[ 3 22] ; [ 2 44],[ 1.76056338 23.23943662] ; [ 3.23943662 42.76056338],0
s1,1,0.243787,1.358564,[ 2 23] ; [ 1 45],[ 1.05633803 23.94366197] ; [ 1.94366197 44.05633803],0
b2,1,0.339275,0.913167,[ 5 12] ; [11 14],[ 6.47619048 10.52380952] ; [ 9.52380952 15.47619048],0
b3,1,0.339275,0.913167,[ 5 12] ; [11 14],[ 6.47619048 10.52380952] ; [ 9.52380952 15.47619048],0
p11,1,0.348034,0.880613,[19  6] ; [30 16],[17.25352113  7.74647887] ; [31.74647887 14.25352113],0
n2,1,0.365241,0.819792,[9 2] ; [14  7],[7.90625 3.09375] ; [15.09375  5.90625],0
s5,1,0.373143,0.79317,[ 3 22] ; [ 9 35],[ 4.34782609 20.65217391] ; [ 7.65217391 36.34782609],0
a7,1,0.386971,0.748439,[12 13] ; [27 19],[13.73239437 11.26760563] ; [25.26760563 20.73239437],0
p6,1,0.414882,0.664767,[ 5 20] ; [13 32],[ 6.42857143 18.57142857] ; [11.57142857 33.42857143],0
a3,1,0.444779,0.583923,[14 11] ; [30 16],[15.49295775  9.50704225] ; [28.50704225 17.49295775],0
n3,1,0.465411,0.53285,[7 4] ; [10 10],[6.03225806 4.96774194] ; [10.96774194  9.03225806],0
u3,1,0.483522,0.490909,[4 7] ; [8 8],[4.88888889 6.11111111] ; [7.11111111 8.88888889],0
v1,1,0.486759,0.483683,[11 14] ; [16 29],[ 9.64285714 15.35714286] ; [17.35714286 27.64285714],0
