Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,90.064814,[ 57 111] ; [116  15],[97.20401338 70.79598662] ; [75.79598662 55.20401338],1
d5,1,0.0,86.540137,[81 88] ; [128   3],[117.73666667  51.26333333] ; [91.26333333 39.73666667],1
d2,1,0.0,81.674208,[ 30 140] ; [90 40],[ 68. 102.] ; [52. 78.],1
d4,1,0.0,81.232918,[83 87] ; [127   4],[118.60465116  51.39534884] ; [91.39534884 39.60465116],1
u1,1,0.0,39.56935,[  2 168] ; [ 32 100],[ 19.13907285 150.86092715] ; [ 14.86092715 117.13907285],1
a5,1,0.0,26.793289,[83 87] ; [103  29],[104.70198675  65.29801325] ; [81.29801325 50.70198675],1
r1,1,0.0,25.916372,[88 82] ; [105  26],[109.00332226  60.99667774] ; [83.99667774 47.00332226],1
a2,1,1e-06,24.042041,[ 12 158] ; [37 95],[ 27.58278146 142.41721854] ; [ 21.41721854 110.58278146],1
a4,1,1e-05,19.520908,[ 43 125] ; [66 65],[ 61.24414716 106.75585284] ; [47.75585284 83.24414716],1
a3,1,2e-05,18.174939,[85 83] ; [98 33],[102.82274247  65.17725753] ; [80.17725753 50.82274247],1
r2,1,0.000162,14.232113,[136  33] ; [123   6],[146.88255034  22.11744966] ; [112.11744966  16.88255034],1
r4,1,0.000215,13.693079,[114  56] ; [113  19],[127.78145695  42.21854305] ; [99.21854305 32.78145695],1
s8,1,0.000889,11.044733,[ 36 134] ; [51 81],[ 48.97350993 121.02649007] ; [38.02649007 93.97350993],1
n4,1,0.00148,10.103726,[105  65] ; [104  28],[117.64900662  52.35099338] ; [91.35099338 40.64900662],0
a7,1,0.002072,9.484837,[98 71] ; [99 33],[110.60797342  58.39202658] ; [86.39202658 45.60797342],0
a6,1,0.00286,8.894676,[92 78] ; [93 38],[104.48504983  65.51495017] ; [80.51495017 50.48504983],0
r3,1,0.014866,5.932319,[135  34] ; [119  13],[142.61129568  26.38870432] ; [111.38870432  20.61129568],0
n6,1,0.016199,5.781155,[116  53] ; [106  25],[125.06  43.94] ; [96.94 34.06],0
v4,1,0.018091,5.587284,[139  30] ; [121  11],[145.98006645  23.01993355] ; [114.01993355  17.98006645],0
s6,1,0.02992,4.713878,[72 98] ; [72 59],[81.32890365 88.67109635] ; [62.67109635 68.32890365],0
p6,1,0.030616,4.674352,[ 32 136] ; [39 92],[ 39.89297659 128.10702341] ; [31.10702341 99.89297659],0
p8,1,0.031802,4.609145,[ 62 106] ; [65 67],[71.12 96.88] ; [55.88 76.12],0
s7,1,0.048393,3.89627,[ 48 114] ; [51 74],[ 55.8815331 106.1184669] ; [43.1184669 81.8815331],0
n5,1,0.059193,3.559857,[109  59] ; [99 33],[116.48  51.52] ; [91.52 40.48],0
u2,1,0.071954,3.237875,[39 45] ; [22 12],[43.42372881 40.57627119] ; [17.57627119 16.42372881],0
