Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,86.073915,[37 63] ; [426  98],[74.19871795 25.80128205] ; [388.80128205 135.19871795],1
n4,1,0.0,49.95669,[52 49] ; [437  88],[78.89616613 22.10383387] ; [410.10383387 114.89616613],1
p10,1,0.0,33.605583,[60 38] ; [447  74],[80.26817447 17.73182553] ; [426.73182553  94.26817447],1
p11,1,0.0,30.281419,[58 43] ; [432  94],[78.93141946 22.06858054] ; [411.06858054 114.93141946],1
p9,1,0.0,27.598192,[65 33] ; [454  65],[82.43435981 15.56564019] ; [436.56564019  82.43435981],1
v4,1,1e-05,19.485981,[89 12] ; [511  13],[96.96  4.04] ; [503.04  20.96],1
p4,1,3.5e-05,17.143814,[42 57] ; [337 185],[60.42028986 38.57971014] ; [318.57971014 203.42028986],1
r4,1,6e-05,16.097554,[88 13] ; [508  18],[96.00637959  4.99362041] ; [499.99362041  26.00637959],1
s6,1,9.1e-05,15.314398,[52 48] ; [370 145],[68.61788618 31.38211382] ; [353.38211382 161.61788618],1
s7,1,0.000139,14.515628,[30 61] ; [276 229],[46.72147651 44.27852349] ; [259.27852349 245.72147651],1
p7,1,0.000246,13.443045,[46 49] ; [348 164],[61.66392092 33.33607908] ; [332.33607908 179.66392092],1
p2,1,0.000381,12.621106,[72 28] ; [451  72],[83.94863563 16.05136437] ; [439.05136437  83.94863563],1
p6,1,0.000418,12.448963,[20 76] ; [207 314],[35.31928687 60.68071313] ; [191.68071313 329.31928687],1
s8,1,0.000692,11.511335,[32 69] ; [261 260],[47.57717042 53.42282958] ; [245.42282958 275.57717042],1
u1,1,0.000738,11.39048,[10 91] ; [133 393],[23.03508772 77.96491228] ; [119.96491228 406.03508772],1
d2,1,0.001053,10.731446,[41 60] ; [306 219],[55.985623 45.014377] ; [291.014377 233.985623],0
r2,1,0.001902,9.641648,[93  8] ; [510  11],[97.914791  3.085209] ; [505.085209  15.914791],0
s5,1,0.001966,9.581291,[21 75] ; [195 313],[34.33112583 61.66887417] ; [181.66887417 326.33112583],0
p8,1,0.003326,8.619634,[40 59] ; [293 226],[53.34466019 45.65533981] ; [279.65533981 239.34466019],0
p3,1,0.003862,8.347697,[37 63] ; [277 248],[50.24 49.76] ; [263.76 261.24],0
d1,1,0.00556,7.687789,[61 40] ; [389 137],[72.48803828 28.51196172] ; [377.51196172 148.48803828],0
a5,1,0.005779,7.617896,[69 32] ; [424 102],[79.41467305 21.58532695] ; [413.58532695 112.41467305],0
r3,1,0.008109,7.009144,[92  8] ; [510  14],[96.47435897  3.52564103] ; [505.52564103  18.47435897],0
a4,1,0.008303,6.967001,[39 62] ; [278 247],[51.14536741 49.85463259] ; [265.85463259 259.14536741],0
a2,1,0.016386,5.761025,[19 82] ; [161 365],[28.99521531 72.00478469] ; [151.00478469 374.99521531],0
u2,1,0.028845,4.776851,[23  6] ; [67 50],[17.87671233 11.12328767] ; [72.12328767 44.87671233],0
p5,1,0.029498,4.738303,[ 5 94] ; [ 66 456],[11.31884058 87.68115942] ; [ 59.68115942 462.31884058],0
v3,1,0.033314,4.529549,[29 64] ; [218 289],[38.285 54.715] ; [208.715 298.285],0
a8,1,0.036372,4.379568,[ 7 86] ; [ 75 397],[13.49734513 79.50265487] ; [ 68.50265487 403.49734513],0
p12,1,0.038181,4.296952,[ 3 95] ; [ 49 473],[ 8.21935484 89.78064516] ; [ 43.78064516 478.21935484],0
b2,1,0.040187,4.209984,[15 40] ; [135 187],[21.88328912 33.11671088] ; [128.11671088 193.88328912],0
b3,1,0.040187,4.209984,[15 40] ; [135 187],[21.88328912 33.11671088] ; [128.11671088 193.88328912],0
b1,1,0.044186,4.049449,[48 53] ; [194 332],[38.98245614 62.01754386] ; [203.01754386 322.98245614],0
s2,1,0.05146,3.793235,[44 56] ; [284 236],[52.90322581 47.09677419] ; [275.09677419 244.90322581],0
v1,1,0.055582,3.664528,[47 53] ; [295 219],[55.70032573 44.29967427] ; [286.29967427 227.70032573],0
p1,1,0.083507,2.995294,[ 3 97] ; [ 41 482],[ 7.06260032 92.93739968] ; [ 36.93739968 486.06260032],0
a3,1,0.109583,2.560231,[71 30] ; [407 117],[77.2448 23.7552] ; [400.7552 123.2448],0
v2,1,0.161865,1.956712,[51 44] ; [311 196],[57.12624585 37.87375415] ; [304.87375415 202.12624585],0
n3,1,0.188604,1.728491,[18 12] ; [74 28],[20.90909091  9.09090909] ; [71.09090909 30.90909091],0
d5,1,0.198909,1.650369,[86 15] ; [471  55],[89.72408293 11.27591707] ; [467.27591707  58.72408293],0
s1,1,0.204935,1.60685,[ 5 93] ; [ 14 506],[ 3.01294498 94.98705502] ; [ 15.98705502 504.01294498],0
u4,1,0.244897,1.35218,[  1 100] ; [ 16 510],[ 2.738437 98.261563] ; [ 14.261563 511.738437],0
s4,1,0.389555,0.740329,[13 88] ; [ 84 432],[15.87844408 85.12155592] ; [ 81.12155592 434.87844408],0
a1,1,0.426964,0.631067,[ 3 98] ; [ 25 501],[ 4.51036683 96.48963317] ; [ 23.48963317 502.51036683],0
a6,1,0.452935,0.563297,[68 33] ; [373 152],[71.15175719 29.84824281] ; [369.84824281 155.15175719],0
s3,1,0.465964,0.531531,[54 45] ; [303 215],[57.28200972 41.71799028] ; [299.71799028 218.28200972],0
n2,1,0.521425,0.411075,[20 11] ; [72 30],[21.44360902  9.55639098] ; [70.55639098 31.44360902],0
a7,1,0.558382,0.342514,[74 27] ; [399 126],[76.31469649 24.68530351] ; [396.68530351 128.31469649],0
n1,1,0.586962,0.295113,[10 21] ; [38 63],[11.27272727 19.72727273] ; [36.72727273 64.27272727],0
u3,1,0.64402,0.213523,[20  9] ; [76 42],[18.93877551 10.06122449] ; [77.06122449 40.93877551],0
b5,1,0.671647,0.179682,[62 39] ; [311 215],[60.08452951 40.91547049] ; [312.91547049 213.08452951],0
b4,1,0.923653,0.009184,[61 40] ; [315 211],[60.56778309 40.43221691] ; [315.43221691 210.56778309],0
d3,1,0.980547,0.000595,[79 22] ; [412 114],[79.09250399 21.90749601] ; [411.90749601 114.09250399],0
