Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.1e-05,19.403212,[ 8 35] ; [11  2],[14.58928571 28.41071429] ; [4.41071429 8.58928571],1
p6,1,0.000533,11.996581,[ 3 42] ; [6 7],[ 6.98275862 38.01724138] ; [ 2.01724138 10.98275862],1
s8,1,0.000533,11.996581,[ 3 42] ; [6 7],[ 6.98275862 38.01724138] ; [ 2.01724138 10.98275862],1
r4,1,0.00148,10.10301,[ 4 42] ; [6 7],[ 7.79661017 38.20338983] ; [ 2.20338983 10.79661017],0
s6,1,0.001874,9.669027,[ 8 37] ; [8 5],[12.4137931 32.5862069] ; [3.5862069 9.4137931],0
p2,1,0.003773,8.390143,[18 28] ; [11  2],[22.61016949 23.38983051] ; [6.38983051 6.61016949],0
s7,1,0.003958,8.30294,[ 6 35] ; [7 6],[ 9.87037037 31.12962963] ; [3.12962963 9.87037037],0
s5,1,0.004885,7.92155,[ 6 40] ; [6 6],[ 9.51724138 36.48275862] ; [2.48275862 9.51724138],0
n6,1,0.007053,7.259324,[19 26] ; [11  2],[23.27586207 21.72413793] ; [6.72413793 6.27586207],0
b5,1,0.012779,6.19939,[21 25] ; [11  2],[24.94915254 21.05084746] ; [7.05084746 5.94915254],0
p9,1,0.01427,6.004411,[16 26] ; [10  3],[19.85454545 22.14545455] ; [6.14545455 6.85454545],0
s4,1,0.017488,5.646679,[ 7 39] ; [6 7],[10.13559322 35.86440678] ; [ 2.86440678 10.13559322],0
p4,1,0.038484,4.283517,[11 35] ; [7 6],[14.03389831 31.96610169] ; [3.96610169 9.03389831],0
p11,1,0.040585,4.193265,[14 32] ; [8 5],[17.15254237 28.84745763] ; [4.84745763 8.15254237],0
p10,1,0.04458,4.034451,[17 28] ; [9 4],[20.17241379 24.82758621] ; [5.82758621 7.17241379],0
v4,1,0.04818,3.903711,[25 21] ; [11  2],[28.06779661 17.93220339] ; [7.93220339 5.06779661],0
b1,1,0.082913,3.006848,[30 16] ; [5 8],[27.28813559 18.71186441] ; [7.71186441 5.28813559],0
v2,1,0.084652,2.973235,[ 5 40] ; [4 9],[ 6.98275862 38.01724138] ; [ 2.01724138 10.98275862],0
n4,1,0.084802,2.970375,[27 19] ; [11  2],[29.62711864 16.37288136] ; [8.37288136 4.62711864],0
p8,1,0.098626,2.727625,[10 34] ; [6 7],[12.35087719 31.64912281] ; [3.64912281 9.35087719],0
u3,1,0.141123,2.165675,[ 6 17] ; [3 2],[ 7.39285714 15.60714286] ; [1.60714286 3.39285714],0
v1,1,0.157329,1.999711,[ 9 37] ; [5 8],[10.91525424 35.08474576] ; [3.08474576 9.91525424],0
s1,1,0.162209,1.953512,[ 2 44] ; [ 2 11],[ 3.11864407 42.88135593] ; [ 0.88135593 12.11864407],0
n1,1,0.166485,1.914312,[15 13] ; [1 4],[13.57575758 14.42424242] ; [2.42424242 2.57575758],0
n3,1,0.166485,1.914312,[13 15] ; [4 1],[14.42424242 13.57575758] ; [2.57575758 2.42424242],0
n2,1,0.214618,1.54,[14 14] ; [4 1],[15.27272727 12.72727273] ; [2.72727273 2.27272727],0
n5,1,0.281139,1.161575,[32 14] ; [11  2],[33.52542373 12.47457627] ; [9.47457627 3.52542373],0
p3,1,0.297487,1.085428,[11 35] ; [5 8],[12.47457627 33.52542373] ; [3.52542373 9.47457627],0
u1,1,0.33164,0.942484,[ 1 45] ; [ 1 12],[ 1.55932203 44.44067797] ; [ 0.44067797 12.55932203],0
d1,1,0.367771,0.811181,[15 31] ; [6 7],[16.37288136 29.62711864] ; [4.62711864 8.37288136],0
r2,1,0.409889,0.679122,[28 17] ; [9 3],[29.21052632 15.78947368] ; [7.78947368 4.21052632],0
d4,1,0.410131,0.67842,[26 20] ; [9 4],[27.28813559 18.71186441] ; [7.71186441 5.28813559],0
a5,1,0.461951,0.541164,[23 23] ; [8 5],[24.16949153 21.83050847] ; [6.83050847 6.16949153],0
d3,1,0.507627,0.438955,[20 26] ; [7 6],[21.05084746 24.94915254] ; [5.94915254 7.05084746],0
a7,1,0.507627,0.438955,[20 26] ; [7 6],[21.05084746 24.94915254] ; [5.94915254 7.05084746],0
a6,1,0.507627,0.438955,[20 26] ; [7 6],[21.05084746 24.94915254] ; [5.94915254 7.05084746],0
b3,1,0.539241,0.376948,[12 20] ; [3 8],[11.1627907 20.8372093] ; [3.8372093 7.1627907],0
b2,1,0.539241,0.376948,[12 20] ; [3 8],[11.1627907 20.8372093] ; [3.8372093 7.1627907],0
a3,1,0.55565,0.347293,[23 21] ; [8 5],[23.92982456 20.07017544] ; [7.07017544 5.92982456],0
r1,1,0.581997,0.303017,[18 28] ; [4 9],[17.15254237 28.84745763] ; [4.84745763 8.15254237],0
p7,1,0.590958,0.288851,[15 30] ; [5 7],[15.78947368 29.21052632] ; [4.21052632 7.78947368],0
a1,1,0.598308,0.277555,[ 6 40] ; [ 1 12],[ 5.45762712 40.54237288] ; [ 1.54237288 11.45762712],0
p1,1,0.656669,0.197595,[ 5 41] ; [ 2 11],[ 5.45762712 40.54237288] ; [ 1.54237288 11.45762712],0
a4,1,0.823368,0.049825,[15 29] ; [4 9],[14.66666667 29.33333333] ; [4.33333333 8.66666667],0
