Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,6e-06,20.502769,[36 29] ; [46  3],[46.75438596 18.24561404] ; [35.24561404 13.75438596],1
r2,1,3.2e-05,17.310964,[37 26] ; [45  3],[46.54054054 16.45945946] ; [35.45945946 12.54054054],1
n6,1,0.000825,11.185243,[35 30] ; [41  8],[43.33333333 21.66666667] ; [32.66666667 16.33333333],1
p2,1,0.003513,8.519949,[29 34] ; [36 13],[36.5625 26.4375] ; [28.4375 20.5625],0
n3,1,0.010896,6.482143,[15 13] ; [13  1],[18.66666667  9.33333333] ; [9.33333333 4.66666667],0
b5,1,0.01107,6.454082,[33 33] ; [36 13],[39.6 26.4] ; [29.4 19.6],0
a7,1,0.016302,5.770042,[29 37] ; [32 16],[35.31578947 30.68421053] ; [25.68421053 22.31578947],0
p11,1,0.019669,5.441022,[30 36] ; [33 16],[36.15652174 29.84347826] ; [26.84347826 22.15652174],0
p7,1,0.02118,5.311936,[19 45] ; [25 24],[24.92035398 39.07964602] ; [19.07964602 29.92035398],0
b1,1,0.023186,5.154545,[37 29] ; [17 32],[30.99130435 35.00869565] ; [23.00869565 25.99130435],0
u3,1,0.03423,4.483198,[ 7 26] ; [9 9],[10.35294118 22.64705882] ; [ 5.64705882 12.35294118],0
s8,1,0.043321,4.082844,[ 5 61] ; [10 39],[ 8.60869565 57.39130435] ; [ 6.39130435 42.60869565],0
d5,1,0.045705,3.992444,[36 30] ; [35 13],[41.10526316 24.89473684] ; [29.89473684 18.10526316],0
p3,1,0.050223,3.833983,[14 50] ; [19 30],[18.69026549 45.30973451] ; [14.30973451 34.69026549],0
a6,1,0.050735,3.81701,[31 35] ; [32 17],[36.15652174 29.84347826] ; [26.84347826 22.15652174],0
p10,1,0.075131,3.167204,[30 33] ; [31 17],[34.62162162 28.37837838] ; [26.37837838 21.62162162],0
p6,1,0.088332,2.90451,[10 52] ; [14 33],[13.65137615 48.34862385] ; [10.34862385 36.65137615],0
p9,1,0.091628,2.845541,[37 25] ; [36 12],[41.14545455 20.85454545] ; [31.85454545 16.14545455],0
v2,1,0.130146,2.290757,[14 50] ; [17 32],[17.55752212 46.44247788] ; [13.44247788 35.55752212],0
v3,1,0.146706,2.106166,[ 9 56] ; [12 37],[11.97368421 53.02631579] ; [ 9.02631579 39.97368421],0
p4,1,0.169286,1.889257,[19 46] ; [20 28],[22.43362832 42.56637168] ; [16.56637168 31.43362832],0
p5,1,0.175097,1.838758,[ 5 59] ; [ 1 48],[ 3.39823009 60.60176991] ; [ 2.60176991 46.39823009],0
a3,1,0.183161,1.771787,[33 32] ; [31 18],[36.49122807 28.50877193] ; [27.50877193 21.49122807],0
s1,1,0.194753,1.681292,[ 5 61] ; [ 1 47],[ 3.47368421 62.52631579] ; [ 2.52631579 45.47368421],0
d2,1,0.20055,1.638363,[28 37] ; [15 33],[24.73451327 40.26548673] ; [18.26548673 29.73451327],0
a8,1,0.221509,1.494565,[ 4 60] ; [ 6 40],[ 5.81818182 58.18181818] ; [ 4.18181818 41.81818182],0
s3,1,0.355519,0.853659,[15 49] ; [15 33],[17.14285714 46.85714286] ; [12.85714286 35.14285714],0
v1,1,0.454293,0.559917,[17 46] ; [10 38],[15.32432432 47.67567568] ; [11.67567568 36.32432432],0
s2,1,0.462068,0.540881,[10 56] ; [10 39],[11.47826087 54.52173913] ; [ 8.52173913 40.47826087],0
b2,1,0.466245,0.530862,[16 23] ; [14 14],[17.46268657 21.53731343] ; [12.53731343 15.46268657],0
