Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,4e-05,16.858142,[ 8 24] ; [18  4],[15.40740741 16.59259259] ; [10.59259259 11.40740741],1
n6,1,0.000154,14.327774,[ 8 24] ; [17  5],[14.81481481 17.18518519] ; [10.18518519 11.81481481],1
s8,1,0.003011,8.800975,[ 1 32] ; [ 7 15],[ 4.8 28.2] ; [ 3.2 18.8],0
p7,1,0.004868,7.927928,[ 6 27] ; [12 10],[10.8 22.2] ; [ 7.2 14.8],0
p11,1,0.011213,6.431256,[11 22] ; [15  7],[15.6 17.4] ; [10.4 11.6],0
p2,1,0.01466,5.956914,[ 8 25] ; [12  9],[12.22222222 20.77777778] ; [ 7.77777778 13.22222222],0
r3,1,0.014919,5.925974,[14 19] ; [16  5],[18.33333333 14.66666667] ; [11.66666667  9.33333333],0
p5,1,0.060714,3.517764,[ 1 31] ; [ 4 18],[ 2.96296296 29.03703704] ; [ 2.03703704 19.96296296],0
p3,1,0.073604,3.200758,[ 4 29] ; [ 7 15],[ 6.6 26.4] ; [ 4.4 17.6],0
u3,1,0.075752,3.15377,[ 1 13] ; [3 5],[ 2.54545455 11.45454545] ; [1.45454545 6.54545455],0
u2,1,0.075752,3.15377,[ 1 13] ; [3 5],[ 2.54545455 11.45454545] ; [1.45454545 6.54545455],0
p8,1,0.083294,2.999423,[ 4 28] ; [ 7 15],[ 6.51851852 25.48148148] ; [ 4.48148148 17.51851852],0
s6,1,0.103556,2.649907,[ 6 27] ; [ 8 13],[ 8.55555556 24.44444444] ; [ 5.44444444 15.55555556],0
p4,1,0.115109,2.482639,[ 7 26] ; [ 9 13],[ 9.6 23.4] ; [ 6.4 15.6],0
v1,1,0.146714,2.106088,[ 6 26] ; [ 8 14],[ 8.2962963 23.7037037] ; [ 5.7037037 16.2962963],0
s3,1,0.146714,2.106088,[ 6 26] ; [ 8 14],[ 8.2962963 23.7037037] ; [ 5.7037037 16.2962963],0
a6,1,0.185793,1.750663,[18 15] ; [ 8 14],[15.6 17.4] ; [10.4 11.6],0
r4,1,0.190083,1.716976,[ 8 25] ; [ 9 13],[10.2 22.8] ; [ 6.8 15.2],0
