Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.01249,6.24,[ 8 17] ; [18  9],[12.5 12.5] ; [13.5 13.5],0
v4,1,0.017463,5.649231,[ 8 16] ; [18  9],[12.23529412 11.76470588] ; [13.76470588 13.23529412],0
r3,1,0.034625,4.46359,[ 8 17] ; [16 10],[11.76470588 13.23529412] ; [12.23529412 13.76470588],0
b5,1,0.097746,2.741948,[10 15] ; [17 10],[12.98076923 12.01923077] ; [14.01923077 12.98076923],0
n4,1,0.097746,2.741948,[10 15] ; [17 10],[12.98076923 12.01923077] ; [14.01923077 12.98076923],0
p2,1,0.100462,2.69819,[12 13] ; [19  8],[14.90384615 10.09615385] ; [16.09615385 10.90384615],0
s7,1,0.119232,2.42738,[ 3 21] ; [ 8 18],[ 5.28 18.72] ; [ 5.72 20.28],0
p8,1,0.146959,2.103535,[ 6 18] ; [12 15],[ 8.47058824 15.52941176] ; [ 9.52941176 17.47058824],0
p11,1,0.157563,1.99746,[ 9 16] ; [15 12],[11.53846154 13.46153846] ; [12.46153846 14.53846154],0
p4,1,0.175455,1.835702,[ 5 20] ; [10 17],[ 7.21153846 17.78846154] ; [ 7.78846154 19.21153846],0
p3,1,0.202992,1.620713,[ 3 22] ; [ 7 20],[ 4.80769231 20.19230769] ; [ 5.19230769 21.80769231],0
s6,1,0.2788,1.172932,[ 5 20] ; [ 9 18],[ 6.73076923 18.26923077] ; [ 7.26923077 19.73076923],0
s5,1,0.316814,1.002054,[ 1 24] ; [ 3 23],[ 1.96078431 23.03921569] ; [ 2.03921569 23.96078431],0
s8,1,0.330297,0.947735,[ 3 22] ; [ 6 21],[ 4.32692308 20.67307692] ; [ 4.67307692 22.32692308],0
a4,1,0.374742,0.787879,[ 5 20] ; [ 3 24],[ 3.84615385 21.15384615] ; [ 4.15384615 22.84615385],0
s4,1,0.381214,0.766783,[ 4 21] ; [ 7 20],[ 5.28846154 19.71153846] ; [ 5.71153846 21.28846154],0
n3,1,0.420113,0.65,[7 6] ; [9 4],[8. 5.] ; [8. 5.],0
a5,1,0.422996,0.641975,[ 5 20] ; [ 8 19],[ 6.25 18.75] ; [ 6.75 20.25],0
v3,1,0.442181,0.590617,[ 2 23] ; [ 4 23],[ 2.88461538 22.11538462] ; [ 3.11538462 23.88461538],0
p1,1,0.442181,0.590617,[ 2 23] ; [ 4 23],[ 2.88461538 22.11538462] ; [ 3.11538462 23.88461538],0
a6,1,0.457942,0.550919,[ 6 19] ; [ 9 18],[ 7.21153846 17.78846154] ; [ 7.78846154 19.21153846],0
s3,1,0.484945,0.487723,[ 9 16] ; [ 7 19],[ 7.84313725 17.15686275] ; [ 8.15686275 17.84313725],0
a8,1,0.504463,0.445536,[ 2 22] ; [ 1 25],[ 1.44 22.56] ; [ 1.56 24.44],0
b3,1,0.519043,0.415794,[ 6 10] ; [ 4 11],[ 5.16129032 10.83870968] ; [ 4.83870968 10.16129032],0
b2,1,0.519043,0.415794,[ 6 10] ; [ 4 11],[ 5.16129032 10.83870968] ; [ 4.83870968 10.16129032],0
v1,1,0.528733,0.396825,[ 8 17] ; [ 6 19],[ 7. 18.] ; [ 7. 18.],0
s1,1,0.574608,0.315032,[ 3 22] ; [ 2 25],[ 2.40384615 22.59615385] ; [ 2.59615385 24.40384615],0
d3,1,0.612334,0.25679,[ 5 20] ; [ 7 20],[ 5.76923077 19.23076923] ; [ 6.23076923 20.76923077],0
n5,1,0.617919,0.248804,[15 10] ; [18  9],[15.86538462  9.13461538] ; [17.13461538  9.86538462],0
a7,1,0.624642,0.239397,[ 9 16] ; [ 8 19],[ 8.17307692 16.82692308] ; [ 8.82692308 18.17307692],0
d2,1,0.628688,0.233844,[ 6 19] ; [ 5 22],[ 5.28846154 19.71153846] ; [ 5.71153846 21.28846154],0
p6,1,0.643464,0.214241,[ 4 21] ; [ 3 23],[ 3.43137255 21.56862745] ; [ 3.56862745 22.43137255],0
u2,1,0.662521,0.190476,[ 4 10] ; [ 3 11],[ 3.5 10.5] ; [ 3.5 10.5],0
p10,1,0.667817,0.184167,[11 13] ; [14 13],[11.76470588 12.23529412] ; [13.23529412 13.76470588],0
n2,1,0.68017,0.169935,[8 5] ; [9 4],[8.5 4.5] ; [8.5 4.5],0
u3,1,0.683949,0.165714,[ 2 12] ; [ 3 12],[ 2.4137931 11.5862069] ; [ 2.5862069 12.4137931],0
d4,1,0.725526,0.123259,[ 9 16] ; [11 16],[ 9.61538462 15.38461538] ; [10.38461538 16.61538462],0
b1,1,0.764334,0.089877,[14 11] ; [14 13],[13.46153846 11.53846154] ; [14.53846154 12.46153846],0
p9,1,0.768278,0.086806,[13 11] ; [13 13],[12.48 11.52] ; [13.52 12.48],0
v2,1,0.813607,0.05559,[ 4 20] ; [ 5 21],[ 4.32 19.68] ; [ 4.68 21.32],0
r2,1,0.868699,0.027328,[11 13] ; [13 14],[11.29411765 12.70588235] ; [12.70588235 14.29411765],0
s2,1,0.872687,0.025679,[ 6 19] ; [ 7 20],[ 6.25 18.75] ; [ 6.75 20.25],0
r1,1,0.892269,0.018342,[ 5 20] ; [ 5 22],[ 4.80769231 20.19230769] ; [ 5.19230769 21.80769231],0
p7,1,0.920746,0.009899,[11 13] ; [12 15],[10.82352941 13.17647059] ; [12.17647059 14.82352941],0
a3,1,0.981875,0.000516,[11 13] ; [12 14],[11.04 12.96] ; [11.96 14.04],0
n1,1,1.0,0.0,[5 8] ; [5 8],[5. 8.] ; [5. 8.],0
