Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,23.515888,[35 48] ; [206  84],[53.62734584 29.37265416] ; [187.37265416 102.62734584],1
n4,1,4.3e-05,16.745417,[40 43] ; [210  81],[55.48128342 27.51871658] ; [194.51871658  96.48128342],1
p11,1,0.000156,14.301079,[45 38] ; [220  71],[58.81016043 24.18983957] ; [206.18983957  84.81016043],1
r4,1,0.000447,12.324942,[62 21] ; [261  30],[71.68181818 11.31818182] ; [251.31818182  39.68181818],1
p10,1,0.000657,11.608506,[45 35] ; [218  70],[57.17391304 22.82608696] ; [205.82608696  82.17391304],1
r3,1,0.002053,9.501731,[69 13] ; [274  16],[75.60752688  6.39247312] ; [267.39247312  22.60752688],0
p9,1,0.003613,8.468959,[52 28] ; [227  55],[61.65745856 18.34254144] ; [217.34254144  64.65745856],0
r2,1,0.010895,6.482375,[73  9] ; [279  11],[77.59139785  4.40860215] ; [274.40860215  15.59139785],0
u2,1,0.022493,5.207272,[19  7] ; [47 51],[13.83870968 12.16129032] ; [52.16129032 45.83870968],0
s6,1,0.055563,3.665108,[39 43] ; [170 116],[46.57065217 35.42934783] ; [162.42934783 123.57065217],0
v3,1,0.057817,3.59892,[19 57] ; [104 180],[25.96666667 50.03333333] ; [ 97.03333333 186.96666667],0
b1,1,0.06551,3.392075,[38 45] ; [101 190],[30.84759358 52.15240642] ; [108.15240642 182.84759358],0
u1,1,0.065733,3.386486,[ 5 78] ; [ 39 252],[ 9.76470588 73.23529412] ; [ 34.23529412 256.76470588],0
p2,1,0.06626,3.373332,[53 30] ; [215  75],[59.63538874 23.36461126] ; [208.36461126  81.63538874],0
b3,1,0.067944,3.332008,[ 8 29] ; [ 61 102],[12.765 24.235] ; [ 56.235 106.765],0
b2,1,0.067944,3.332008,[ 8 29] ; [ 61 102],[12.765 24.235] ; [ 56.235 106.765],0
p7,1,0.080846,3.047809,[30 47] ; [141 140],[36.77932961 40.22067039] ; [134.22067039 146.77932961],0
a2,1,0.088305,2.905008,[10 73] ; [ 59 232],[15.31283422 67.68716578] ; [ 53.68716578 237.31283422],0
s5,1,0.088434,2.902659,[14 63] ; [ 78 203],[19.7877095 57.2122905] ; [ 72.2122905 208.7877095],0
