Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,2.8e-05,17.560181,[32 34] ; [ 2 31],[22.66666667 43.33333333] ; [11.33333333 21.66666667],1
d4,1,3.9e-05,16.909633,[54 12] ; [13 19],[45.12244898 20.87755102] ; [21.87755102 10.12244898],1
a5,1,0.000193,13.896179,[46 20] ; [10 23],[37.33333333 28.66666667] ; [18.66666667 14.33333333],1
a6,1,0.001305,10.335634,[48 18] ; [13 20],[40.66666667 25.33333333] ; [20.33333333 12.66666667],0
a7,1,0.001305,10.335634,[48 18] ; [13 20],[40.66666667 25.33333333] ; [20.33333333 12.66666667],0
v2,1,0.002462,9.16895,[29 35] ; [ 4 26],[22.46808511 41.53191489] ; [10.53191489 19.46808511],0
d3,1,0.003316,8.624927,[42 23] ; [11 22],[35.15306122 29.84693878] ; [17.84693878 15.15306122],0
v4,1,0.006025,7.542666,[52 13] ; [17 15],[46.2371134 18.7628866] ; [22.7628866  9.2371134],0
r4,1,0.00612,7.514508,[45 21] ; [13 20],[38.66666667 27.33333333] ; [19.33333333 13.66666667],0
s3,1,0.012198,6.281792,[15 49] ; [16 17],[20.45360825 43.54639175] ; [10.54639175 22.45360825],0
r3,1,0.020364,5.380435,[51 15] ; [18 15],[46. 20.] ; [23. 10.],0
a3,1,0.026654,4.913102,[48 18] ; [16 16],[43.10204082 22.89795918] ; [20.89795918 11.10204082],0
n2,1,0.030896,4.658729,[ 7 12] ; [13  5],[10.27027027  8.72972973] ; [9.72972973 8.27027027],0
a2,1,0.035363,4.427549,[12 54] ; [ 1 32],[ 8.66666667 57.33333333] ; [ 4.33333333 28.66666667],0
b4,1,0.044723,4.02907,[42 24] ; [14 19],[37.33333333 28.66666667] ; [18.66666667 14.33333333],0
r2,1,0.051471,3.792866,[56  9] ; [23 10],[52.39795918 12.60204082] ; [26.60204082  6.39795918],0
r1,1,0.05747,3.60893,[45 21] ; [16 17],[40.66666667 25.33333333] ; [20.33333333 12.66666667],0
n4,1,0.087936,2.911765,[38 28] ; [13 20],[34. 32.] ; [17. 16.],0
p3,1,0.106779,2.601251,[19 44] ; [ 5 28],[15.75 47.25] ; [ 8.25 24.75],0
d2,1,0.107955,2.583909,[29 37] ; [ 9 24],[25.33333333 40.66666667] ; [12.66666667 20.33333333],0
p2,1,0.128359,2.312243,[37 26] ; [14 19],[33.46875 29.53125] ; [17.53125 15.46875],0
u2,1,0.130287,2.289087,[12  6] ; [ 7 10],[9.77142857 8.22857143] ; [9.22857143 7.77142857],0
s8,1,0.138011,2.2,[ 8 58] ; [ 1 32],[ 6. 60.] ; [ 3. 30.],0
n5,1,0.152653,2.045533,[25 41] ; [17 15],[28.28571429 37.71428571] ; [13.71428571 18.28571429],0
p4,1,0.193876,1.687912,[20 44] ; [ 6 26],[17.33333333 46.66666667] ; [ 8.66666667 23.33333333],0
p8,1,0.193876,1.687912,[20 44] ; [ 6 26],[17.33333333 46.66666667] ; [ 8.66666667 23.33333333],0
s4,1,0.238329,1.390449,[ 5 61] ; [ 5 28],[ 6.66666667 59.33333333] ; [ 3.33333333 29.66666667],0
p11,1,0.254902,1.296236,[34 32] ; [13 20],[31.33333333 34.66666667] ; [15.66666667 17.33333333],0
v3,1,0.278653,1.173646,[18 44] ; [ 6 26],[15.82978723 46.17021277] ; [ 8.17021277 23.82978723],0
s2,1,0.284522,1.145364,[10 55] ; [ 8 25],[11.93877551 53.06122449] ; [ 6.06122449 26.93877551],0
a1,1,0.296934,1.087912,[ 4 62] ; [ 4 29],[ 5.33333333 60.66666667] ; [ 2.66666667 30.33333333],0
s1,1,0.319293,0.991839,[ 4 60] ; [ 4 29],[ 5.27835052 58.72164948] ; [ 2.72164948 30.27835052],0
v1,1,0.339408,0.912667,[24 41] ; [ 9 24],[21.8877551 43.1122449] ; [11.1122449 21.8877551],0
s7,1,0.348177,0.880091,[10 47] ; [ 3 27],[ 8.51724138 48.48275862] ; [ 4.48275862 25.51724138],0
u1,1,0.371576,0.798387,[ 5 61] ; [ 1 32],[ 4. 62.] ; [ 2. 31.],0
b5,1,0.391805,0.733333,[38 28] ; [16 17],[36. 30.] ; [18. 15.],0
u3,1,0.394948,0.723653,[10  8] ; [ 7 10],[8.74285714 9.25714286] ; [8.25714286 8.74285714],0
b2,1,0.430262,0.622116,[ 9 25] ; [ 7 12],[10.26415094 23.73584906] ; [ 5.73584906 13.26415094],0
b3,1,0.430262,0.622116,[ 9 25] ; [ 7 12],[10.26415094 23.73584906] ; [ 5.73584906 13.26415094],0
p10,1,0.468939,0.524476,[31 33] ; [13 19],[29.33333333 34.66666667] ; [14.66666667 17.33333333],0
a4,1,0.470673,0.520395,[29 37] ; [12 21],[27.33333333 38.66666667] ; [13.66666667 19.33333333],0
b1,1,0.567269,0.327273,[38 28] ; [17 16],[36.66666667 29.33333333] ; [18.33333333 14.66666667],0
n1,1,0.580758,0.305011,[ 6 11] ; [ 8 10],[ 6.8 10.2] ; [ 7.2 10.8],0
n3,1,0.580758,0.305011,[10  8] ; [11  6],[10.8  7.2] ; [10.2  6.8],0
p6,1,0.66491,0.187613,[ 9 52] ; [ 6 27],[ 9.73404255 51.26595745] ; [ 5.26595745 27.73404255],0
p9,1,0.830682,0.045722,[34 31] ; [16 16],[33.50515464 31.49484536] ; [16.49484536 15.50515464],0
p7,1,0.865739,0.028586,[24 41] ; [12 19],[24.375 40.625] ; [11.625 19.375],0
a8,1,0.938596,0.005934,[ 4 60] ; [ 2 28],[ 4.08510638 59.91489362] ; [ 1.91489362 28.08510638],0
p1,1,0.981924,0.000513,[ 6 59] ; [ 3 30],[ 5.96938776 59.03061224] ; [ 3.03061224 29.96938776],0
