Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,6e-06,20.502561,[16  8] ; [10 51],[ 7.34117647 16.65882353] ; [18.65882353 42.34117647],1
s6,1,0.000152,14.345412,[20  4] ; [23 38],[12.14117647 11.85882353] ; [30.85882353 30.14117647],1
s4,1,0.000726,11.420381,[10 14] ; [ 6 55],[ 4.51764706 19.48235294] ; [11.48235294 49.51764706],1
s2,1,0.000858,11.110447,[17  7] ; [19 42],[10.16470588 13.83529412] ; [25.83529412 35.16470588],1
s5,1,0.001308,10.330829,[10 13] ; [ 7 53],[ 4.71084337 18.28915663] ; [12.28915663 47.71084337],0
v1,1,0.014306,6.0,[15  9] ; [20 40],[10. 14.] ; [25. 35.],0
p9,1,0.022858,5.179249,[19  4] ; [34 27],[14.51190476  8.48809524] ; [38.48809524 22.51190476],0
p10,1,0.022919,5.174626,[18  5] ; [31 30],[13.41666667  9.58333333] ; [35.58333333 25.41666667],0
d5,1,0.023199,5.153535,[21  3] ; [38 23],[16.65882353  7.34117647] ; [42.34117647 18.65882353],0
b3,1,0.062551,3.468431,[7 7] ; [ 8 27],[4.28571429 9.71428571] ; [10.71428571 24.28571429],0
b2,1,0.062551,3.468431,[7 7] ; [ 8 27],[4.28571429 9.71428571] ; [10.71428571 24.28571429],0
s3,1,0.084595,2.974325,[16  8] ; [28 33],[12.42352941 11.57647059] ; [31.57647059 29.42352941],0
u2,1,0.094509,2.79585,[8 1] ; [17 12],[5.92105263 3.07894737] ; [19.07894737  9.92105263],0
n1,1,0.097254,2.75,[5 4] ; [ 6 18],[3. 6.] ; [ 8. 16.],0
d4,1,0.101717,2.678411,[21  3] ; [43 18],[18.07058824  5.92941176] ; [45.92941176 15.07058824],0
d3,1,0.108803,2.571528,[17  7] ; [31 29],[13.71428571 10.28571429] ; [34.28571429 25.71428571],0
b5,1,0.112955,2.512384,[10 14] ; [37 24],[13.27058824 10.72941176] ; [33.72941176 27.27058824],0
p1,1,0.150762,2.064527,[ 4 20] ; [ 4 57],[ 2.25882353 21.74117647] ; [ 5.74117647 55.25882353],0
n2,1,0.157845,1.99475,[8 2] ; [13 11],[6.17647059 3.82352941] ; [14.82352941  9.17647059],0
p2,1,0.168176,1.899127,[18  6] ; [36 25],[15.24705882  8.75294118] ; [38.75294118 22.24705882],0
p6,1,0.18474,1.759078,[ 8 15] ; [12 46],[ 5.67901235 17.32098765] ; [14.32098765 43.67901235],0
p11,1,0.214086,1.543581,[15  9] ; [29 32],[12.42352941 11.57647059] ; [31.57647059 29.42352941],0
a7,1,0.266079,1.236852,[18  6] ; [38 23],[15.81176471  8.18823529] ; [40.18823529 20.81176471],0
d1,1,0.299832,1.074941,[12 12] ; [23 38],[ 9.88235294 14.11764706] ; [25.11764706 35.88235294],0
n5,1,0.304754,1.053275,[ 4 19] ; [17 43],[ 5.81927711 17.18072289] ; [15.18072289 44.81927711],0
p5,1,0.307297,1.042258,[ 2 21] ; [ 2 58],[ 1.10843373 21.89156627] ; [ 2.89156627 57.10843373],0
p3,1,0.326573,0.962441,[ 9 15] ; [16 44],[ 7.14285714 16.85714286] ; [17.85714286 42.14285714],0
r4,1,0.328521,0.954718,[18  6] ; [39 22],[16.09411765  7.90588235] ; [40.90588235 20.09411765],0
v2,1,0.384503,0.756256,[11 10] ; [24 34],[ 9.30379747 11.69620253] ; [25.69620253 32.30379747],0
a6,1,0.458395,0.549812,[17  7] ; [38 23],[15.52941176  8.47058824] ; [39.47058824 21.52941176],0
v4,1,0.535879,0.383232,[21  3] ; [50 11],[20.04705882  3.95294118] ; [50.95294118 10.04705882],0
u1,1,0.546913,0.362876,[ 2 22] ; [ 3 58],[ 1.41176471 22.58823529] ; [ 3.58823529 57.41176471],0
a5,1,0.582329,0.302485,[13 11] ; [29 32],[11.85882353 12.14117647] ; [30.14117647 30.85882353],0
r3,1,0.584285,0.299359,[20  3] ; [50 11],[19.16666667  3.83333333] ; [50.83333333 10.16666667],0
a3,1,0.624668,0.23936,[14 10] ; [32 29],[12.98823529 11.01176471] ; [33.01176471 27.98823529],0
r1,1,0.66989,0.181731,[14 10] ; [38 22],[14.85714286  9.14285714] ; [37.14285714 22.85714286],0
p7,1,0.678645,0.171655,[11 11] ; [26 32],[10.175 11.825] ; [26.825 31.175],0
a2,1,0.719359,0.129107,[ 3 21] ; [ 6 55],[ 2.54117647 21.45882353] ; [ 6.45882353 54.54117647],0
v3,1,0.738474,0.111472,[ 5 16] ; [12 47],[ 4.4625 16.5375] ; [12.5375 46.4625],0
a4,1,0.788702,0.071822,[ 6 18] ; [17 44],[ 6.49411765 17.50588235] ; [16.50588235 44.49411765],0
a8,1,0.80649,0.060004,[ 1 21] ; [ 2 57],[ 0.81481481 21.18518519] ; [ 2.18518519 56.81481481],0
b1,1,0.838172,0.041711,[12 12] ; [29 32],[11.57647059 12.42352941] ; [29.42352941 31.57647059],0
p8,1,0.844104,0.03867,[ 9 13] ; [26 34],[ 9.3902439 12.6097561] ; [25.6097561 34.3902439],0
d2,1,0.858399,0.031831,[ 7 17] ; [19 42],[ 7.34117647 16.65882353] ; [18.65882353 42.34117647],0
r2,1,0.881773,0.022118,[20  4] ; [50 11],[19.76470588  4.23529412] ; [50.23529412 10.76470588],0
b4,1,0.887092,0.02016,[13 11] ; [32 29],[12.70588235 11.29411765] ; [32.29411765 28.70588235],0
p4,1,0.888196,0.019765,[10 14] ; [24 36],[ 9.71428571 14.28571429] ; [24.28571429 35.71428571],0
n3,1,0.961245,0.002361,[7 3] ; [17  7],[7.05882353 2.94117647] ; [16.94117647  7.05882353],0
