Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000803,11.235434,[10 13] ; [13 86],[ 4.33606557 18.66393443] ; [18.66393443 80.33606557],1
s4,1,0.009848,6.662159,[ 2 21] ; [36 63],[ 7.16393443 15.83606557] ; [30.83606557 68.16393443],0
a1,1,0.017968,5.599299,[ 4 19] ; [ 4 97],[ 1.48387097 21.51612903] ; [ 6.51612903 94.48387097],0
b1,1,0.020214,5.393338,[15  8] ; [39 62],[10.01612903 12.98387097] ; [43.98387097 57.01612903],0
p8,1,0.032022,4.597324,[16  6] ; [48 53],[11.44715447 10.55284553] ; [52.55284553 48.44715447],0
n4,1,0.035742,4.409385,[21  2] ; [70 30],[17.01626016  5.98373984] ; [73.98373984 26.01626016],0
p1,1,0.058712,3.573398,[ 6 17] ; [11 89],[ 3.17886179 19.82113821] ; [13.82113821 86.17886179],0
n6,1,0.125056,2.352828,[22  1] ; [84 17],[19.66129032  3.33870968] ; [86.33870968 14.66129032],0
p11,1,0.142295,2.152963,[20  3] ; [73 28],[17.25  5.75] ; [75.75 25.25],0
p3,1,0.148005,2.092689,[15  8] ; [49 52],[11.87096774 11.12903226] ; [52.12903226 48.87096774],0
r2,1,0.153915,2.033013,[20  3] ; [96  5],[21.51612903  1.48387097] ; [94.48387097  6.51612903],0
a5,1,0.172946,1.857221,[19  4] ; [69 32],[16.32258065  6.67741935] ; [71.67741935 29.32258065],0
b5,1,0.184408,1.761738,[ 9 14] ; [55 46],[11.87096774 11.12903226] ; [52.12903226 48.87096774],0
s2,1,0.220912,1.498438,[18  5] ; [65 35],[15.5203252  7.4796748] ; [67.4796748 32.5203252],0
n5,1,0.267504,1.2295,[19  4] ; [72 29],[16.87903226  6.12096774] ; [74.12096774 26.87903226],0
s6,1,0.2833,1.151189,[20  1] ; [87 13],[18.57024793  2.42975207] ; [88.42975207 11.57024793],0
d4,1,0.284985,1.143161,[18  5] ; [87 13],[19.63414634  3.36585366] ; [85.36585366 14.63414634],0
p6,1,0.318242,0.996157,[13 10] ; [45 55],[10.84552846 12.15447154] ; [47.15447154 52.84552846],0
