Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3.7e-05,17.030112,[25  6] ; [ 6 18],[17.47272727 13.52727273] ; [13.52727273 10.47272727],1
p7,1,0.00036,12.729101,[13 15] ; [ 1 25],[ 7.25925926 20.74074074] ; [ 6.74074074 19.25925926],1
p11,1,0.00606,7.532515,[22  9] ; [ 9 17],[16.85964912 14.14035088] ; [14.14035088 11.85964912],0
p8,1,0.01043,6.559919,[11 19] ; [ 2 24],[ 6.96428571 23.03571429] ; [ 6.03571429 19.96428571],0
p5,1,0.020396,5.377657,[ 8 22] ; [ 1 25],[ 4.82142857 25.17857143] ; [ 4.17857143 21.82142857],0
p2,1,0.022096,5.238192,[19 10] ; [ 9 17],[14.76363636 14.23636364] ; [13.23636364 12.76363636],0
b4,1,0.030321,4.691006,[23  8] ; [12 14],[19.03508772 11.96491228] ; [15.96491228 10.03508772],0
s2,1,0.060871,3.513484,[15 14] ; [ 7 19],[11.6 17.4] ; [10.4 15.6],0
n2,1,0.095882,2.772736,[8 4] ; [ 6 11],[5.79310345 6.20689655] ; [8.20689655 8.79310345],0
s7,1,0.098907,2.723083,[15 15] ; [ 6 16],[12.11538462 17.88461538] ; [ 8.88461538 13.11538462],0
n5,1,0.126428,2.335829,[21  9] ; [13 13],[18.21428571 11.78571429] ; [15.78571429 10.21428571],0
p3,1,0.133257,2.254142,[13 17] ; [ 6 19],[10.36363636 19.63636364] ; [ 8.63636364 16.36363636],0
s3,1,0.161305,1.961951,[15 13] ; [ 9 17],[12.44444444 15.55555556] ; [11.55555556 14.44444444],0
r2,1,0.167561,1.904629,[23  5] ; [15  8],[20.8627451  7.1372549] ; [17.1372549  5.8627451],0
s5,1,0.172715,1.859223,[ 9 19] ; [ 4 21],[ 6.86792453 21.13207547] ; [ 6.13207547 18.86792453],0
v4,1,0.177634,1.817308,[21  7] ; [15 11],[18.66666667  9.33333333] ; [17.33333333  8.66666667],0
s8,1,0.196375,1.669134,[ 9 21] ; [ 4 22],[ 6.96428571 23.03571429] ; [ 6.03571429 19.96428571],0
s6,1,0.23823,1.391038,[13 15] ; [ 8 18],[10.88888889 17.11111111] ; [10.11111111 15.88888889],0
r1,1,0.260324,1.267034,[12 17] ; [ 7 19],[10.01818182 18.98181818] ; [ 8.98181818 17.01818182],0
r3,1,0.32522,0.967838,[20  9] ; [14 11],[18.25925926 10.74074074] ; [15.74074074  9.25925926],0
d3,1,0.333746,0.934307,[26  5] ; [24  2],[27.19298246  3.80701754] ; [22.80701754  3.19298246],0
b1,1,0.345901,0.888437,[14 17] ; [15 11],[15.77192982 15.22807018] ; [13.22807018 12.77192982],0
s4,1,0.389874,0.739334,[ 6 24] ; [ 3 23],[ 4.82142857 25.17857143] ; [ 4.17857143 21.82142857],0
b3,1,0.414172,0.666793,[ 7 11] ; [ 5 14],[ 5.83783784 12.16216216] ; [ 6.16216216 12.83783784],0
b2,1,0.414172,0.666793,[ 7 11] ; [ 5 14],[ 5.83783784 12.16216216] ; [ 6.16216216 12.83783784],0
v1,1,0.421725,0.645502,[ 9 20] ; [10 14],[10.39622642 18.60377358] ; [ 8.60377358 15.39622642],0
a5,1,0.442289,0.590336,[21 10] ; [20  6],[22.29824561  8.70175439] ; [18.70175439  7.29824561],0
b5,1,0.45195,0.565757,[16 15] ; [16 10],[17.40350877 13.59649123] ; [14.59649123 11.40350877],0
p4,1,0.505283,0.443823,[13 17] ; [ 9 17],[11.78571429 18.21428571] ; [10.21428571 15.78571429],0
a4,1,0.530244,0.393923,[16 15] ; [15 10],[17.16071429 13.83928571] ; [13.83928571 11.16071429],0
a7,1,0.54779,0.36129,[21 10] ; [15 10],[19.92857143 11.07142857] ; [16.07142857  8.92857143],0
a6,1,0.571783,0.319708,[18 13] ; [17  9],[19.03508772 11.96491228] ; [15.96491228 10.03508772],0
u2,1,0.576999,0.311111,[2 5] ; [3 4],[2.5 4.5] ; [2.5 4.5],0
d2,1,0.578158,0.309222,[24  7] ; [17  7],[23.10909091  7.89090909] ; [17.89090909  6.10909091],0
v3,1,0.602849,0.27072,[10 20] ; [ 7 19],[ 9.10714286 20.89285714] ; [ 7.89285714 18.10714286],0
n6,1,0.608815,0.261905,[20 10] ; [15 10],[19.09090909 10.90909091] ; [15.90909091  9.09090909],0
p1,1,0.619211,0.246977,[ 5 26] ; [ 3 23],[ 4.35087719 26.64912281] ; [ 3.64912281 22.35087719],0
n4,1,0.624989,0.238918,[21 10] ; [16 10],[20.12280702 10.87719298] ; [16.87719298  9.12280702],0
v2,1,0.625404,0.238345,[17 12] ; [13 12],[16.11111111 12.88888889] ; [13.88888889 11.11111111],0
a3,1,0.704428,0.143906,[24  7] ; [19  7],[23.38596491  7.61403509] ; [19.61403509  6.38596491],0
p6,1,0.765677,0.088824,[ 7 23] ; [ 5 20],[ 6.54545455 23.45454545] ; [ 5.45454545 19.54545455],0
u1,1,0.788213,0.072163,[ 4 27] ; [ 4 22],[ 4.35087719 26.64912281] ; [ 3.64912281 22.35087719],0
a1,1,0.819619,0.052,[ 3 28] ; [ 3 23],[ 3.26315789 27.73684211] ; [ 2.73684211 23.26315789],0
n1,1,0.927375,0.008308,[3 9] ; [ 4 13],[2.89655172 9.10344828] ; [ 4.10344828 12.89655172],0
n3,1,0.933748,0.006911,[5 6] ; [8 9],[5.10714286 5.89285714] ; [7.89285714 9.10714286],0
a8,1,0.934857,0.006681,[ 1 27] ; [ 1 24],[ 1.05660377 26.94339623] ; [ 0.94339623 24.05660377],0
a2,1,0.964524,0.001978,[ 7 24] ; [ 6 20],[ 7.07017544 23.92982456] ; [ 5.92982456 20.07017544],0
u3,1,1.0,0.0,[3 4] ; [3 4],[3. 4.] ; [3. 4.],0
