Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2e-06,22.62125,[16 89] ; [108 154],[35.47683924 69.52316076] ; [ 88.52316076 173.47683924],1
p9,1,2e-06,22.604874,[61 40] ; [221  43],[78.03287671 22.96712329] ; [203.96712329  60.03287671],1
p7,1,3.4e-05,17.202776,[32 71] ; [143 116],[49.79281768 53.20718232] ; [125.20718232 133.79281768],1
p10,1,0.000314,12.986306,[60 43] ; [205  61],[73.9701897 29.0298103] ; [191.0298103  74.9701897],1
p11,1,0.000572,11.864247,[64 41] ; [211  58],[77.20588235 27.79411765] ; [197.79411765  71.20588235],1
v4,1,0.001096,10.658745,[90 15] ; [254  12],[97.35849057  7.64150943] ; [246.64150943  19.35849057],0
b1,1,0.002969,8.826245,[50 55] ; [ 84 185],[37.62032086 67.37967914] ; [ 96.37967914 172.62032086],0
s1,1,0.0065,7.406172,[ 8 96] ; [  5 260],[  3.66395664 100.33604336] ; [  9.33604336 255.66395664],0
u4,1,0.009288,6.766625,[  4 101] ; [  1 268],[  1.40374332 103.59625668] ; [  3.59625668 265.40374332],0
d5,1,0.03281,4.555683,[70 34] ; [209  59],[78. 26.] ; [201.  67.],0
r1,1,0.049985,3.84195,[72 33] ; [209  58],[79.31451613 25.68548387] ; [201.68548387  65.31451613],0
n6,1,0.071896,3.239203,[76 29] ; [216  51],[82.41935484 22.58064516] ; [209.58064516  57.41935484],0
v1,1,0.088831,2.895424,[38 66] ; [120 139],[45.26721763 58.73278237] ; [112.73278237 146.26721763],0
p1,1,0.117077,2.455988,[ 8 97] ; [ 10 257],[ 5.08064516 99.91935484] ; [ 12.91935484 254.08064516],0
r2,1,0.120325,2.41308,[93 10] ; [252  14],[96.30081301  6.69918699] ; [248.69918699  17.30081301],0
r4,1,0.122502,2.385031,[88 17] ; [241  28],[92.36631016 12.63368984] ; [236.63368984  32.36631016],0
n1,1,0.183404,1.769826,[17 24] ; [21 51],[13.78761062 27.21238938] ; [24.21238938 47.78761062],0
s4,1,0.189381,1.722429,[21 83] ; [ 39 228],[16.81940701 87.18059299] ; [ 43.18059299 223.81940701],0
s3,1,0.19995,1.642743,[48 56] ; [143 124],[53.54177898 50.45822102] ; [137.45822102 129.54177898],0
a6,1,0.204725,1.608342,[63 41] ; [181  87],[68.21505376 35.78494624] ; [175.78494624  92.21505376],0
d2,1,0.207311,1.590108,[48 55] ; [106 163],[42.63978495 60.36021505] ; [111.36021505 157.63978495],0
