Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,27.125202,[97 13] ; [21 22],[84.83660131 25.16339869] ; [33.16339869  9.83660131],1
r4,1,3.6e-05,17.068091,[67 44] ; [10 33],[55.5 55.5] ; [21.5 21.5],1
p11,1,0.000659,11.600325,[77 34] ; [17 26],[67.75324675 43.24675325] ; [26.24675325 16.75324675],1
v4,1,0.000932,10.958632,[93 17] ; [25 17],[85.39473684 24.60526316] ; [32.60526316  9.39473684],1
b1,1,0.001287,10.361381,[38 73] ; [27 16],[46.85064935 64.14935065] ; [18.14935065 24.85064935],0
a1,1,0.001836,9.707016,[  4 107] ; [ 8 35],[  8.64935065 102.35064935] ; [ 3.35064935 39.64935065],0
p10,1,0.008172,6.99547,[77 32] ; [20 22],[70.01986755 38.98013245] ; [26.98013245 15.01986755],0
p2,1,0.019399,5.465143,[76 34] ; [21 22],[69.73856209 40.26143791] ; [27.26143791 15.73856209],0
b5,1,0.021397,5.2942,[74 37] ; [20 23],[67.75324675 43.24675325] ; [26.24675325 16.75324675],0
p9,1,0.028838,4.777272,[82 24] ; [25 17],[76.63513514 29.36486486] ; [30.36486486 11.63513514],0
p8,1,0.03145,4.628249,[39 72] ; [ 7 34],[33.59210526 77.40789474] ; [12.40789474 28.59210526],0
p3,1,0.07099,3.259976,[40 71] ; [ 9 34],[35.31818182 75.68181818] ; [13.68181818 29.31818182],0
d5,1,0.074857,3.173171,[74 37] ; [22 21],[69.19480519 41.80519481] ; [26.80519481 16.19480519],0
n5,1,0.139836,2.179764,[76 35] ; [24 19],[72.07792208 38.92207792] ; [27.92207792 15.07792208],0
n4,1,0.145079,2.123239,[71 40] ; [22 21],[67.03246753 43.96753247] ; [25.96753247 17.03246753],0
d4,1,0.17206,1.864907,[75 36] ; [24 19],[71.35714286 39.64285714] ; [27.64285714 15.35714286],0
r2,1,0.173628,1.851338,[83 26] ; [26 14],[79.73825503 29.26174497] ; [29.26174497 10.73825503],0
b4,1,0.17745,1.81885,[65 46] ; [20 23],[61.26623377 49.73376623] ; [23.73376623 19.26623377],0
p5,1,0.193242,1.692726,[  9 100] ; [ 1 41],[  7.21854305 101.78145695] ; [ 2.78145695 39.21854305],0
d2,1,0.238428,1.389863,[37 72] ; [19 24],[40.15789474 68.84210526] ; [15.84210526 27.15789474],0
s6,1,0.24107,1.374329,[52 57] ; [16 27],[48.76315789 60.23684211] ; [19.23684211 23.76315789],0
n1,1,0.2448,1.352741,[11 26] ; [7 8],[12.80769231 24.19230769] ; [5.19230769 9.80769231],0
p1,1,0.276279,1.185301,[  7 103] ; [ 5 38],[  8.62745098 101.37254902] ; [ 3.37254902 39.62745098],0
s1,1,0.318617,0.994617,[  2 109] ; [ 2 41],[  2.88311688 108.11688312] ; [ 1.11688312 41.88311688],0
v2,1,0.322197,0.980007,[36 74] ; [10 31],[33.50993377 76.49006623] ; [12.49006623 28.50993377],0
p4,1,0.324905,0.969097,[43 68] ; [13 30],[40.36363636 70.63636364] ; [15.63636364 27.36363636],0
n2,1,0.328302,0.955583,[28  9] ; [10  6],[26.52830189 10.47169811] ; [11.47169811  4.52830189],0
a2,1,0.366979,0.813868,[ 10 101] ; [ 6 37],[11.53246753 99.46753247] ; [ 4.46753247 38.53246753],0
u3,1,0.36979,0.804368,[17 35] ; [ 8 10],[18.57142857 33.42857143] ; [ 6.42857143 11.57142857],0
s2,1,0.376894,0.780809,[42 69] ; [13 30],[39.64285714 71.35714286] ; [15.35714286 27.64285714],0
d1,1,0.392536,0.731072,[39 72] ; [12 31],[36.75974026 74.24025974] ; [14.24025974 28.75974026],0
v3,1,0.398298,0.713457,[25 84] ; [ 7 35],[23.09933775 85.90066225] ; [ 8.90066225 33.09933775],0
u1,1,0.410428,0.677561,[  6 105] ; [ 1 42],[  5.04545455 105.95454545] ; [ 1.95454545 41.04545455],0
