Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,8.3e-05,15.478619,[260  32] ; [28 14],[251.78443114  40.21556886] ; [36.21556886  5.78443114],1
r1,1,0.003913,8.323755,[254  40] ; [29 13],[247.625  46.375] ; [35.375  6.625],0
r2,1,0.005271,7.78416,[289   3] ; [39  3],[286.75449102   5.24550898] ; [41.24550898  0.75449102],0
n1,1,0.036327,4.381703,[22 33] ; [ 1 11],[18.88059701 36.11940299] ; [4.11940299 7.88059701],0
s7,1,0.041982,4.135913,[197  88] ; [20 18],[191.47058824  93.52941176] ; [25.52941176 12.47058824],0
p12,1,0.046359,3.968503,[ 39 257] ; [ 1 40],[ 35.13353116 260.86646884] ; [ 4.86646884 36.13353116],0
p6,1,0.070235,3.277519,[121 173] ; [23 18],[126.3761194 167.6238806] ; [17.6238806 23.3761194],0
r4,1,0.10249,2.666367,[280  16] ; [37  5],[277.60946746  18.39053254] ; [39.39053254  2.60946746],0
p11,1,0.115335,2.479558,[230  66] ; [28 14],[225.9408284  70.0591716] ; [32.0591716  9.9408284],0
p9,1,0.121166,2.402186,[265  27] ; [34  7],[262.18618619  29.81381381] ; [36.81381381  4.18618619],0
s8,1,0.15583,2.01423,[174 120] ; [20 22],[169.75 124.25] ; [24.25 17.75],0
d3,1,0.168149,1.899365,[237  57] ; [30 12],[233.625  60.375] ; [33.375  8.625],0
d1,1,0.205551,1.602488,[205  91] ; [25 17],[201.42011834  94.57988166] ; [28.57988166 13.42011834],0
s5,1,0.212825,1.552102,[135 144] ; [16 26],[131.24299065 147.75700935] ; [19.75700935 22.24299065],0
p1,1,0.216361,1.528343,[ 32 261] ; [ 2 40],[ 29.73731343 263.26268657] ; [ 4.26268657 37.73731343],0
b1,1,0.227603,1.455777,[113 183] ; [12 30],[109.46745562 186.53254438] ; [15.53254438 26.46745562],0
d2,1,0.247004,1.340171,[161 133] ; [19 23],[157.5 136.5] ; [22.5 19.5],0
p2,1,0.276457,1.184424,[256  39] ; [33  8],[253.73511905  41.26488095] ; [35.26488095  5.73511905],0
p8,1,0.292494,1.108107,[153 140] ; [25 16],[156.1497006 136.8502994] ; [21.8502994 19.1497006],0
a3,1,0.299476,1.076527,[219  76] ; [28 14],[216.21661721  78.78338279] ; [30.78338279 11.21661721],0
n3,1,0.315415,1.007863,[44 11] ; [8 4],[42.68656716 12.31343284] ; [9.31343284 2.68656716],0
s4,1,0.323904,0.973117,[ 72 221] ; [ 7 33],[ 69.51051051 223.48948949] ; [ 9.48948949 30.51051051],0
u3,1,0.371654,0.798126,[52 23] ; [8 6],[50.56179775 24.43820225] ; [9.43820225 4.56179775],0
b3,1,0.391022,0.735763,[ 61 112] ; [ 9 11],[ 62.74611399 110.25388601] ; [ 7.25388601 12.74611399],0
b2,1,0.391022,0.735763,[ 61 112] ; [ 9 11],[ 62.74611399 110.25388601] ; [ 7.25388601 12.74611399],0
u2,1,0.393865,0.726976,[46 28] ; [7 7],[44.56818182 29.43181818] ; [8.43181818 5.56818182],0
d5,1,0.431863,0.617809,[245  49] ; [37  5],[246.75  47.25] ; [35.25  6.75],0
v3,1,0.485058,0.487471,[110 168] ; [19 23],[112.06875 165.93125] ; [16.93125 25.06875],0
v1,1,0.547388,0.362017,[155 129] ; [25 17],[156.80981595 127.19018405] ; [23.19018405 18.80981595],0
p5,1,0.556301,0.34615,[ 38 254] ; [ 4 37],[ 36.82882883 255.17117117] ; [ 5.17117117 35.82882883],0
b5,1,0.557054,0.344831,[198  98] ; [30 12],[199.66863905  96.33136095] ; [28.33136095 13.66863905],0
u1,1,0.561307,0.337446,[ 79 217] ; [13 29],[ 80.56804734 215.43195266] ; [11.43195266 30.56804734],0
a8,1,0.565652,0.330012,[ 47 225] ; [ 5 32],[ 45.77346278 226.22653722] ; [ 6.22653722 30.77346278],0
d4,1,0.652265,0.203056,[259  35] ; [38  4],[259.875  34.125] ; [37.125  4.875],0
v2,1,0.758423,0.094589,[167 113] ; [24 18],[166.08695652 113.91304348] ; [24.91304348 17.08695652],0
n2,1,0.791351,0.069991,[44 11] ; [10  2],[44.32835821 10.67164179] ; [9.67164179 2.32835821],0
n5,1,0.810649,0.057403,[228  67] ; [31 10],[227.39583333  67.60416667] ; [31.60416667  9.39583333],0
a2,1,0.813971,0.055369,[ 97 199] ; [13 29],[ 96.33136095 199.66863905] ; [13.66863905 28.33136095],0
p3,1,0.845962,0.037742,[153 141] ; [22 19],[153.58208955 140.41791045] ; [21.41791045 19.58208955],0
n6,1,0.868967,0.027215,[253  39] ; [36  6],[252.65868263  39.34131737] ; [36.34131737  5.65868263],0
b4,1,0.873059,0.025528,[180 116] ; [25 17],[179.52662722 116.47337278] ; [25.47337278 16.52662722],0
n4,1,0.874046,0.025129,[228  67] ; [32 10],[227.59643917  67.40356083] ; [32.40356083  9.59643917],0
r3,1,0.895792,0.017156,[285   8] ; [41  1],[285.12835821   7.87164179] ; [40.87164179  1.12835821],0
p10,1,0.931475,0.007394,[255  37] ; [36  5],[255.17117117  36.82882883] ; [35.82882883  5.17117117],0
a4,1,0.936122,0.006423,[139 157] ; [20 22],[139.24260355 156.75739645] ; [19.75739645 22.24260355],0
p4,1,0.95216,0.003599,[195  99] ; [27 14],[194.82985075  99.17014925] ; [27.17014925 13.82985075],0
a5,1,0.981687,0.000527,[226  70] ; [32 10],[225.9408284  70.0591716] ; [32.0591716  9.9408284],0
p7,1,0.986994,0.000266,[186  97] ; [27 14],[186.0462963  96.9537037] ; [26.9537037 14.0462963],0
a6,1,0.990783,0.000133,[223  70] ; [32 10],[223.02985075  69.97014925] ; [31.97014925 10.02985075],0
a1,1,0.992668,8.4e-05,[ 14 282] ; [ 2 40],[ 14.01183432 281.98816568] ; [ 1.98816568 40.01183432],0
v4,1,1.0,0.0,[287   7] ; [41  1],[287.   7.] ; [41.  1.],0
