Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000159,14.265603,[24 28] ; [25  3],[31.85 20.15] ; [17.15 10.85],1
s8,1,0.000183,13.99631,[11 42] ; [18 11],[18.74390244 34.25609756] ; [10.25609756 18.74390244],1
p7,1,0.00173,9.816526,[23 30] ; [23  6],[29.73170732 23.26829268] ; [16.26829268 12.73170732],0
p11,1,0.002583,9.080771,[33 20] ; [27  2],[38.7804878 14.2195122] ; [21.2195122  7.7804878],0
d1,1,0.003529,8.511496,[17 36] ; [19 10],[23.26829268 29.73170732] ; [12.73170732 16.26829268],0
d5,1,0.004081,8.247283,[34 19] ; [27  2],[39.42682927 13.57317073] ; [21.57317073  7.42682927],0
s7,1,0.0051,7.843583,[15 35] ; [17 10],[20.77922078 29.22077922] ; [11.22077922 15.77922078],0
d4,1,0.028465,4.799668,[36 17] ; [26  3],[40.07317073 12.92682927] ; [21.92682927  7.07317073],0
u1,1,0.031223,4.640678,[ 1 52] ; [ 4 25],[ 3.23170732 49.76829268] ; [ 1.76829268 27.23170732],0
p10,1,0.032978,4.546933,[39 14] ; [27  2],[42.65853659 10.34146341] ; [23.34146341  5.65853659],0
p8,1,0.034632,4.463206,[20 33] ; [18 11],[24.56097561 28.43902439] ; [13.43902439 15.56097561],0
p4,1,0.040938,4.178559,[28 25] ; [22  7],[32.31707317 20.68292683] ; [17.68292683 11.31707317],0
s5,1,0.042664,4.108683,[12 39] ; [12 14],[15.8961039 35.1038961] ; [ 8.1038961 17.8961039],0
r2,1,0.044338,4.043652,[39 13] ; [27  2],[42.37037037  9.62962963] ; [23.62962963  5.37037037],0
b4,1,0.059188,3.559981,[27 26] ; [21  8],[31.02439024 21.97560976] ; [16.97560976 12.02439024],0
v3,1,0.076407,3.139717,[19 33] ; [16 12],[22.75 29.25] ; [12.25 15.75],0
s2,1,0.079407,3.077001,[24 29] ; [19 10],[27.79268293 25.20731707] ; [15.20731707 13.79268293],0
r4,1,0.08345,2.996393,[30 23] ; [22  7],[33.6097561 19.3902439] ; [18.3902439 10.6097561],0
d3,1,0.083819,2.989255,[28 25] ; [21  8],[31.67073171 21.32926829] ; [17.32926829 11.67073171],0
p3,1,0.114683,2.488477,[27 26] ; [20  9],[30.37804878 22.62195122] ; [16.62195122 12.37804878],0
a6,1,0.145974,2.11383,[24 29] ; [18 11],[27.14634146 25.85365854] ; [14.85365854 14.14634146],0
n2,1,0.180802,1.791019,[13  2] ; [5 3],[11.73913043  3.26086957] ; [6.26086957 1.73913043],0
n6,1,0.186762,1.742974,[39 14] ; [25  4],[41.36585366 11.63414634] ; [22.63414634  6.36585366],0
v4,1,0.189762,1.719461,[43  9] ; [27  2],[44.9382716  7.0617284] ; [25.0617284  3.9382716],0
a5,1,0.203581,1.6165,[27 26] ; [19 10],[29.73170732 23.26829268] ; [16.26829268 12.73170732],0
s6,1,0.208938,1.578772,[32 19] ; [20  6],[34.44155844 16.55844156] ; [17.55844156  8.44155844],0
r3,1,0.217401,1.521444,[41 11] ; [26  3],[43.01234568  8.98765432] ; [23.98765432  5.01234568],0
b3,1,0.265948,1.23753,[ 7 20] ; [ 9 13],[ 8.81632653 18.18367347] ; [ 7.18367347 14.81632653],0
b2,1,0.265948,1.23753,[ 7 20] ; [ 9 13],[ 8.81632653 18.18367347] ; [ 7.18367347 14.81632653],0
n1,1,0.303552,1.058523,[6 9] ; [5 3],[7.17391304 7.82608696] ; [3.82608696 4.17391304],0
p2,1,0.346536,0.886103,[39 14] ; [24  5],[40.7195122 12.2804878] ; [22.2804878  6.7195122],0
n4,1,0.355522,0.853648,[35 18] ; [22  7],[36.84146341 16.15853659] ; [20.15853659  8.84146341],0
s3,1,0.407033,0.687451,[26 27] ; [17 12],[27.79268293 25.20731707] ; [15.20731707 13.79268293],0
p9,1,0.416282,0.660786,[44  9] ; [26  3],[45.24390244  7.75609756] ; [24.75609756  4.24390244],0
n3,1,0.435366,0.608466,[10  5] ; [4 4],[9.13043478 5.86956522] ; [4.86956522 3.13043478],0
n5,1,0.450213,0.570115,[38 15] ; [23  6],[39.42682927 13.57317073] ; [21.57317073  7.42682927],0
a1,1,0.458319,0.549997,[ 4 49] ; [ 1 28],[ 3.23170732 49.76829268] ; [ 1.76829268 27.23170732],0
a4,1,0.475679,0.508754,[16 37] ; [11 18],[17.45121951 35.54878049] ; [ 9.54878049 19.45121951],0
a8,1,0.480747,0.497169,[ 2 49] ; [ 2 24],[ 2.64935065 48.35064935] ; [ 1.35064935 24.64935065],0
u2,1,0.519043,0.415794,[10 11] ; [6 4],[10.83870968 10.16129032] ; [5.16129032 4.83870968],0
a3,1,0.532864,0.388926,[31 22] ; [19 10],[32.31707317 20.68292683] ; [17.68292683 11.31707317],0
a2,1,0.546005,0.364522,[ 5 48] ; [ 4 25],[ 5.81707317 47.18292683] ; [ 3.18292683 25.81707317],0
p1,1,0.664674,0.187896,[ 4 49] ; [ 3 26],[ 4.52439024 48.47560976] ; [ 2.47560976 26.52439024],0
b1,1,0.713902,0.134411,[26 27] ; [13 16],[25.20731707 27.79268293] ; [13.79268293 15.20731707],0
a7,1,0.769981,0.085498,[33 20] ; [19 10],[33.6097561 19.3902439] ; [18.3902439 10.6097561],0
u3,1,0.811235,0.057041,[12 10] ; [5 5],[11.6875 10.3125] ; [5.3125 4.6875],0
p12,1,0.82302,0.050025,[ 3 50] ; [ 2 27],[ 3.23170732 49.76829268] ; [ 1.76829268 27.23170732],0
s4,1,0.855466,0.033178,[10 43] ; [ 5 24],[ 9.69512195 43.30487805] ; [ 5.30487805 23.69512195],0
p5,1,0.873362,0.025405,[ 8 45] ; [ 4 25],[ 7.75609756 45.24390244] ; [ 4.24390244 24.75609756],0
b5,1,0.901534,0.015308,[34 19] ; [19 10],[34.25609756 18.74390244] ; [18.74390244 10.25609756],0
s1,1,0.9402,0.005628,[ 2 51] ; [ 1 28],[ 1.93902439 51.06097561] ; [ 1.06097561 27.93902439],0
d2,1,0.962098,0.002258,[18 35] ; [10 19],[18.09756098 34.90243902] ; [ 9.90243902 19.09756098],0
