Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,50.860769,[ 32 117] ; [134  94],[65.60742706 83.39257294] ; [100.39257294 127.60742706],1
v1,1,2e-06,23.014206,[65 82] ; [157  70],[87.25668449 59.74331551] ; [134.74331551  92.25668449],1
a5,1,0.000513,12.066806,[103  49] ; [195  40],[117.04392765  34.95607235] ; [180.95607235  54.04392765],1
d5,1,0.005429,7.730579,[122  30] ; [212  23],[131.18346253  20.81653747] ; [202.81653747  32.18346253],0
d1,1,0.010651,6.522622,[99 53] ; [181  54],[109.97416021  42.02583979] ; [170.02583979  64.97416021],0
s8,1,0.015364,5.874265,[82 70] ; [155  79],[93.32642487 58.67357513] ; [143.67357513  90.32642487],0
s7,1,0.017456,5.649987,[91 53] ; [169  57],[101.18918919  42.81081081] ; [158.81081081  67.18918919],0
d2,1,0.022687,5.192309,[75 77] ; [143  91],[85.84455959 66.15544041] ; [132.15544041 101.84455959],0
s4,1,0.026314,4.93524,[ 44 105] ; [ 46 188],[ 35.01305483 113.98694517] ; [ 54.98694517 179.01305483],0
a3,1,0.038199,4.296156,[109  43] ; [189  45],[117.34715026  34.65284974] ; [180.65284974  53.34715026],0
b1,1,0.038979,4.261798,[71 81] ; [ 85 150],[61.27131783 90.72868217] ; [ 94.72868217 140.27131783],0
r1,1,0.050496,3.824907,[118  34] ; [199  34],[125.15324675  26.84675325] ; [191.84675325  41.15324675],0
p12,1,0.074368,3.183878,[ 13 139] ; [ 34 198],[ 18.60416667 133.39583333] ; [ 28.39583333 203.60416667],0
u1,1,0.09303,2.821144,[ 30 122] ; [ 64 171],[ 36.91989664 115.08010336] ; [ 57.08010336 177.91989664],0
b4,1,0.130308,2.288828,[82 70] ; [145  90],[89.15762274 62.84237726] ; [137.84237726  97.15762274],0
p9,1,0.132662,2.261073,[128  22] ; [207  22],[132.58575198  17.41424802] ; [202.41424802  26.58575198],0
p7,1,0.134116,2.244208,[92 56] ; [156  68],[98.66666667 49.33333333] ; [149.33333333  74.66666667],0
s1,1,0.154236,2.029849,[ 10 141] ; [  8 223],[  7.11518325 143.88481675] ; [ 10.88481675 220.11518325],0
u2,1,0.15935,1.980388,[32 10] ; [28 17],[28.96551724 13.03448276] ; [31.03448276 13.96551724],0
r3,1,0.170765,1.876214,[144   7] ; [228   5],[146.28125   4.71875] ; [225.71875   7.28125],0
n4,1,0.183884,1.765948,[117  35] ; [193  41],[122.07253886  29.92746114] ; [187.92746114  46.07253886],0
n5,1,0.185633,1.751942,[113  39] ; [185  46],[118.26631854  33.73368146] ; [179.73368146  51.26631854],0
p10,1,0.198838,1.650885,[125  27] ; [201  30],[129.37859008  22.62140992] ; [196.62140992  34.37859008],0
a8,1,0.202479,1.624405,[ 19 128] ; [ 38 174],[ 23.33983287 123.66016713] ; [ 33.66016713 178.33983287],0
n3,1,0.233466,1.419621,[22 15] ; [31 12],[24.5125 12.4875] ; [28.4875 14.5125],0
u3,1,0.239499,1.38354,[33  9] ; [31 15],[30.54545455 11.45454545] ; [33.45454545 12.54545455],0
n2,1,0.267637,1.228818,[26 11] ; [34  8],[28.10126582  8.89873418] ; [31.89873418 10.10126582],0
u4,1,0.3036,1.058313,[  3 149] ; [  9 226],[  4.71317829 147.28682171] ; [  7.28682171 227.71317829],0
a2,1,0.305187,1.05139,[ 38 114] ; [ 70 165],[ 42.41860465 109.58139535] ; [ 65.58139535 169.41860465],0
a4,1,0.339387,0.912745,[72 80] ; [123 112],[76.58914729 75.41085271] ; [118.41085271 116.58914729],0
n6,1,0.373755,0.791141,[127  24] ; [200  29],[129.93947368  21.06052632] ; [197.06052632  31.93947368],0
p5,1,0.437334,0.603267,[ 22 127] ; [ 28 205],[ 19.5026178 129.4973822] ; [ 30.4973822 202.5026178],0
s5,1,0.442958,0.588607,[70 76] ; [115 106],[73.59673025 72.40326975] ; [111.40326975 109.59673025],0
d3,1,0.443438,0.587369,[119  33] ; [176  59],[115.86563307  36.13436693] ; [179.13436693  55.86563307],0
p11,1,0.447591,0.576745,[116  36] ; [187  48],[119.00775194  32.99224806] ; [183.99224806  51.00775194],0
n1,1,0.480181,0.498453,[17 20] ; [16 26],[15.4556962 21.5443038] ; [17.5443038 24.4556962],0
s6,1,0.492521,0.471015,[128  22] ; [201  28],[130.21108179  19.78891821] ; [198.78891821  30.21108179],0
r2,1,0.49515,0.465316,[142   8] ; [224   9],[143.34203655   6.65796345] ; [222.65796345  10.34203655],0
p8,1,0.584205,0.299486,[81 71] ; [128 100],[83.6 68.4] ; [125.4 102.6],0
a6,1,0.593805,0.284441,[96 56] ; [154  80],[98.44559585 53.55440415] ; [151.55440415  82.44559585],0
p3,1,0.601569,0.272635,[82 70] ; [132 101],[84.48831169 67.51168831] ; [129.51168831 103.48831169],0
b3,1,0.614329,0.25392,[41 55] ; [56 86],[39.12605042 56.87394958] ; [57.87394958 84.12605042],0
b2,1,0.614329,0.25392,[41 55] ; [56 86],[39.12605042 56.87394958] ; [57.87394958 84.12605042],0
v4,1,0.616537,0.250766,[146   6] ; [226   7],[146.86753247   5.13246753] ; [225.13246753   7.86753247],0
p6,1,0.673614,0.177404,[66 86] ; [104 124],[68. 84.] ; [102. 126.],0
a1,1,0.688613,0.160591,[ 10 142] ; [ 18 217],[ 10.99741602 141.00258398] ; [ 17.00258398 217.99741602],0
