Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000144,14.452171,[16 90] ; [9 7],[21.72131148 84.27868852] ; [ 3.27868852 12.72131148],1
s2,1,0.000768,11.317915,[37 73] ; [13  4],[43.30708661 66.69291339] ; [ 6.69291339 10.30708661],1
s3,1,0.00146,10.127969,[51 58] ; [15  2],[57.0952381 51.9047619] ; [8.9047619 8.0952381],0
s7,1,0.00606,7.532397,[28 73] ; [9 5],[32.49565217 68.50434783] ; [4.50434783 9.49565217],0
s8,1,0.030639,4.673058,[30 81] ; [9 8],[33.8203125 77.1796875] ; [ 5.1796875 11.8203125],0
s5,1,0.036386,4.378924,[18 88] ; [6 9],[21.02479339 84.97520661] ; [ 2.97520661 12.02479339],0
p3,1,0.045313,4.00697,[37 73] ; [10  7],[40.70866142 69.29133858] ; [ 6.29133858 10.70866142],0
s6,1,0.048567,3.890261,[54 57] ; [12  4],[57.68503937 53.31496063] ; [8.31496063 7.68503937],0
a5,1,0.069729,3.289386,[77 34] ; [8 9],[73.7109375 37.2890625] ; [11.2890625  5.7109375],0
b4,1,0.086074,2.946302,[70 41] ; [ 7 10],[66.7734375 44.2265625] ; [10.2265625  6.7734375],0
a7,1,0.110517,2.546818,[80 31] ; [9 8],[77.1796875 33.8203125] ; [11.8203125  5.1796875],0
p11,1,0.117435,2.451203,[68 43] ; [ 7 10],[65.0390625 45.9609375] ; [9.9609375 7.0390625],0
b1,1,0.170193,1.881239,[52 59] ; [11  6],[54.6328125 56.3671875] ; [8.3671875 8.6328125],0
p2,1,0.235023,1.410199,[75 35] ; [14  3],[77.08661417 32.91338583] ; [11.91338583  5.08661417],0
d5,1,0.242672,1.365004,[83 27] ; [15  2],[84.88188976 25.11811024] ; [13.11811024  3.88188976],0
v2,1,0.298554,1.080641,[52 49] ; [ 6 10],[50.06837607 50.93162393] ; [7.93162393 8.06837607],0
b3,1,0.322369,0.97931,[18 44] ; [1 7],[16.82857143 45.17142857] ; [2.17142857 5.82857143],0
b2,1,0.322369,0.97931,[18 44] ; [1 7],[16.82857143 45.17142857] ; [2.17142857 5.82857143],0
d3,1,0.406837,0.688024,[73 37] ; [13  4],[74.48818898 35.51181102] ; [11.51181102  5.48818898],0
n3,1,0.41126,0.675157,[22 14] ; [4 1],[22.82926829 13.17073171] ; [3.17073171 1.82926829],0
u3,1,0.413598,0.668435,[24 12] ; [5 1],[24.85714286 11.14285714] ; [4.14285714 1.85714286],0
a2,1,0.474316,0.511904,[21 90] ; [ 2 15],[19.9453125 91.0546875] ; [ 3.0546875 13.9453125],0
v4,1,0.50785,0.438494,[97 13] ; [15  1],[97.77777778 12.22222222] ; [14.22222222  1.77777778],0
p10,1,0.512825,0.428299,[63 46] ; [10  5],[64.16935484 44.83064516] ; [8.83064516 6.16935484],0
u2,1,0.554113,0.35,[28  8] ; [4 2],[27.42857143  8.57142857] ; [4.57142857 1.42857143],0
a8,1,0.56968,0.323219,[11 90] ; [ 1 15],[10.35897436 90.64102564] ; [ 1.64102564 14.35897436],0
r2,1,0.616419,0.250933,[102   9] ; [15  2],[101.4609375   9.5390625] ; [15.5390625  1.4609375],0
p4,1,0.653741,0.201217,[45 64] ; [8 9],[45.84920635 63.15079365] ; [7.15079365 9.84920635],0
n4,1,0.662279,0.190768,[59 52] ; [10  7],[59.8359375 51.1640625] ; [9.1640625 7.8359375],0
p7,1,0.666893,0.185258,[53 52] ; [9 7],[53.80165289 51.19834711] ; [8.19834711 7.80165289],0
p5,1,0.670041,0.181554,[  4 104] ; [ 1 16],[  4.32 103.68] ; [ 0.68 16.32],0
d4,1,0.681834,0.168069,[88 21] ; [13  4],[87.37301587 21.62698413] ; [13.62698413  3.37301587],0
n2,1,0.70561,0.142702,[26 12] ; [3 2],[25.62790698 12.37209302] ; [3.37209302 1.62790698],0
n1,1,0.70561,0.142702,[12 26] ; [2 3],[12.37209302 25.62790698] ; [1.62790698 3.37209302],0
u1,1,0.716607,0.131767,[ 10 101] ; [ 2 15],[ 10.40625 100.59375] ; [ 1.59375 15.40625],0
a6,1,0.73042,0.118727,[73 37] ; [12  5],[73.62204724 36.37795276] ; [11.37795276  5.62204724],0
r3,1,0.796415,0.066558,[102   9] ; [15  1],[102.25984252   8.74015748] ; [14.74015748  1.25984252],0
p9,1,0.799468,0.064534,[69 40] ; [10  5],[69.44354839 39.55645161] ; [9.55645161 5.44354839],0
d2,1,0.819235,0.052225,[42 68] ; [ 6 11],[41.57480315 68.42519685] ; [ 6.42519685 10.57480315],0
a3,1,0.834169,0.04383,[74 36] ; [11  6],[73.62204724 36.37795276] ; [11.37795276  5.62204724],0
b5,1,0.847866,0.036804,[68 43] ; [10  7],[67.640625 43.359375] ; [10.359375  6.640625],0
a4,1,0.847866,0.036804,[43 68] ; [ 7 10],[43.359375 67.640625] ; [ 6.640625 10.359375],0
d1,1,0.848299,0.036591,[55 56] ; [8 9],[54.6328125 56.3671875] ; [8.3671875 8.6328125],0
p8,1,0.85178,0.034912,[45 64] ; [7 9],[45.344 63.656] ; [6.656 9.344],0
v1,1,0.871178,0.026297,[49 60] ; [8 9],[49.30952381 59.69047619] ; [7.69047619 9.30952381],0
n5,1,0.892323,0.018324,[43 66] ; [ 7 10],[43.25396825 65.74603175] ; [ 6.74603175 10.25396825],0
v3,1,0.89564,0.017206,[31 69] ; [ 5 12],[30.76923077 69.23076923] ; [ 5.23076923 11.76923077],0
r4,1,0.921583,0.00969,[97 14] ; [15  2],[97.125 13.875] ; [14.875  2.125],0
p1,1,0.942655,0.005174,[  6 104] ; [ 1 16],[  6.06299213 103.93700787] ; [ 0.93700787 16.06299213],0
s1,1,0.979056,0.000689,[  7 102] ; [ 1 15],[  6.976 102.024] ; [ 1.024 14.976],0
