Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,24.287202,[ 9 56] ; [38 32],[22.62962963 42.37037037] ; [24.37037037 45.62962963],1
p4,1,6e-06,20.539192,[14 51] ; [42 28],[26.96296296 38.03703704] ; [29.03703704 40.96296296],1
p8,1,3.5e-05,17.132761,[14 51] ; [39 30],[25.70895522 39.29104478] ; [27.29104478 41.70895522],1
p2,1,0.000524,12.029032,[36 29] ; [58 12],[45.25925926 19.74074074] ; [48.74074074 21.25925926],1
p6,1,0.00065,11.62673,[ 7 57] ; [25 44],[15.39849624 48.60150376] ; [16.60150376 52.39849624],1
s8,1,0.005895,7.582225,[ 7 58] ; [21 49],[13.48148148 51.51851852] ; [14.51851852 55.48148148],0
b3,1,0.010372,6.569821,[15 15] ; [10 36],[ 9.86842105 20.13157895] ; [15.13157895 30.86842105],0
b2,1,0.010372,6.569821,[15 15] ; [10 36],[ 9.86842105 20.13157895] ; [15.13157895 30.86842105],0
s3,1,0.013572,6.093028,[19 45] ; [35 34],[25.98496241 38.01503759] ; [28.01503759 40.98496241],0
s6,1,0.015776,5.827668,[21 43] ; [36 31],[27.84732824 36.15267176] ; [29.15267176 37.84732824],0
s2,1,0.025455,4.992645,[16 49] ; [30 40],[22.14814815 42.85185185] ; [23.85185185 46.14814815],0
v2,1,0.042301,4.12312,[13 51] ; [25 44],[18.28571429 45.71428571] ; [19.71428571 49.28571429],0
v4,1,0.05511,3.678747,[48 17] ; [60  9],[52.3880597 12.6119403] ; [55.6119403 13.3880597],0
b4,1,0.093533,2.812486,[40 25] ; [33 37],[35.14814815 29.85185185] ; [37.85185185 32.14814815],0
s7,1,0.095421,2.780449,[15 49] ; [24 41],[19.34883721 44.65116279] ; [19.65116279 45.34883721],0
p11,1,0.114331,2.493305,[36 29] ; [48 22],[40.44444444 24.55555556] ; [43.55555556 26.44444444],0
s1,1,0.114379,2.492653,[ 1 64] ; [ 5 65],[ 2.88888889 62.11111111] ; [ 3.11111111 66.88888889],0
p5,1,0.141333,2.163382,[ 3 62] ; [ 8 61],[ 5.3358209 59.6641791] ; [ 5.6641791 63.3358209],0
r3,1,0.19021,1.715993,[46 18] ; [57 13],[49.19402985 14.80597015] ; [53.80597015 16.19402985],0
u2,1,0.194567,1.682692,[14 22] ; [21 18],[16.8 19.2] ; [18.2 20.8],0
a8,1,0.265222,1.241293,[ 9 51] ; [ 6 63],[ 6.97674419 53.02325581] ; [ 8.02325581 60.97674419],0
a6,1,0.266855,1.232843,[30 35] ; [39 31],[33.22222222 31.77777778] ; [35.77777778 34.22222222],0
p12,1,0.296447,1.090109,[ 2 62] ; [ 5 65],[ 3.34328358 60.65671642] ; [ 3.65671642 66.34328358],0
n5,1,0.329859,0.949451,[46 19] ; [44 26],[43.33333333 21.66666667] ; [46.66666667 23.33333333],0
d2,1,0.355398,0.85409,[13 51] ; [10 60],[10.98507463 53.01492537] ; [12.01492537 57.98507463],0
b5,1,0.37434,0.789206,[42 23] ; [40 30],[39.48148148 25.51851852] ; [42.51851852 27.48148148],0
s4,1,0.389098,0.741758,[11 54] ; [16 54],[13. 52.] ; [14. 56.],0
p1,1,0.435675,0.607648,[ 6 59] ; [ 4 66],[ 4.81481481 60.18518519] ; [ 5.18518519 64.81481481],0
d3,1,0.454884,0.558455,[19 46] ; [24 44],[21.01503759 43.98496241] ; [21.98496241 46.01503759],0
a2,1,0.457499,0.552006,[ 2 63] ; [ 4 66],[ 2.88888889 62.11111111] ; [ 3.11111111 66.88888889],0
d5,1,0.479199,0.500686,[29 36] ; [35 34],[31.04477612 33.95522388] ; [32.95522388 36.04477612],0
n3,1,0.483758,0.490381,[14  7] ; [19  6],[15.06521739  5.93478261] ; [17.93478261  7.06521739],0
p9,1,0.489023,0.478676,[46 15] ; [49 21],[44.23664122 16.76335878] ; [50.76335878 19.23664122],0
n6,1,0.514049,0.425817,[45 20] ; [52 18],[46.7037037 18.2962963] ; [50.2962963 19.7037037],0
u1,1,0.516213,0.421454,[ 2 63] ; [ 1 69],[ 1.44444444 63.55555556] ; [ 1.55555556 68.44444444],0
a4,1,0.517548,0.418777,[14 51] ; [12 58],[12.51851852 52.48148148] ; [13.48148148 56.51851852],0
p10,1,0.560556,0.338742,[38 25] ; [45 24],[39.61363636 23.38636364] ; [43.38636364 25.61363636],0
v1,1,0.602318,0.271513,[21 42] ; [26 43],[22.43181818 40.56818182] ; [24.56818182 44.43181818],0
b1,1,0.635287,0.224959,[28 37] ; [33 37],[29.37037037 35.62962963] ; [31.62962963 38.37037037],0
v3,1,0.6636,0.18918,[15 50] ; [14 56],[13.96296296 51.03703704] ; [15.03703704 54.96296296],0
r2,1,0.722522,0.126089,[46 19] ; [50 18],[46.91729323 18.08270677] ; [49.08270677 18.91729323],0
n4,1,0.725134,0.123626,[40 25] ; [41 29],[39. 26.] ; [42. 28.],0
s5,1,0.775405,0.081403,[11 52] ; [13 54],[11.63076923 51.36923077] ; [12.36923077 54.63076923],0
n1,1,0.80725,0.059524,[ 8 13] ; [10 14],[ 8.4 12.6] ; [ 9.6 14.4],0
a5,1,0.843532,0.038958,[24 41] ; [27 43],[24.55555556 40.44444444] ; [26.44444444 43.55555556],0
a1,1,0.852007,0.034804,[ 5 60] ; [ 6 64],[ 5.2962963 59.7037037] ; [ 5.7037037 64.2962963],0
a7,1,0.8546,0.033581,[34 31] ; [35 34],[33.47014925 31.52985075] ; [35.52985075 33.47014925],0
a3,1,0.894572,0.017562,[29 36] ; [30 39],[28.61940299 36.38059701] ; [30.38059701 38.61940299],0
d4,1,0.918642,0.010434,[31 34] ; [34 36],[31.2962963 33.7037037] ; [33.7037037 36.2962963],0
u3,1,0.919505,0.010212,[13 23] ; [14 26],[12.78947368 23.21052632] ; [14.21052632 25.78947368],0
r4,1,0.949064,0.004081,[34 31] ; [37 33],[34.18518519 30.81481481] ; [36.81481481 33.18518519],0
n2,1,0.965802,0.001838,[15  6] ; [18  7],[15.06521739  5.93478261] ; [17.93478261  7.06521739],0
