Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2e-06,22.93243,[18 12] ; [20 97],[ 7.75510204 22.24489796] ; [30.24489796 86.75510204],1
s6,1,2.1e-05,18.075744,[22  9] ; [37 88],[11.72435897 19.27564103] ; [47.27564103 77.72435897],1
s2,1,6.8e-05,15.852273,[18 13] ; [27 97],[ 9. 22.] ; [36. 88.],1
r4,1,0.001329,10.302426,[29  2] ; [80 45],[21.66025641  9.33974359] ; [87.33974359 37.66025641],0
p10,1,0.003073,8.763751,[14 17] ; [24 99],[ 7.64935065 23.35064935] ; [30.35064935 92.64935065],0
s3,1,0.00519,7.812173,[19 12] ; [42 82],[12.2 18.8] ; [48.8 75.2],0
u2,1,0.008808,6.861372,[8 1] ; [23 32],[4.359375 4.640625] ; [26.640625 28.359375],0
n6,1,0.022702,5.191137,[25  6] ; [72 51],[19.52597403 11.47402597] ; [77.47402597 45.52597403],0
n5,1,0.023445,5.135227,[23  8] ; [64 60],[17.4 13.6] ; [69.6 54.4],0
s5,1,0.030854,4.661091,[ 9 21] ; [ 17 108],[ 5.03225806 24.96774194] ; [ 20.96774194 104.03225806],0
v4,1,0.033567,4.516619,[29  2] ; [94 29],[24.75974026  6.24025974] ; [98.24025974 24.75974026],0
v3,1,0.040002,4.217785,[14 16] ; [33 88],[ 9.33774834 20.66225166] ; [37.66225166 83.33774834],0
r2,1,0.040694,4.188692,[30  1] ; [101  22],[26.37012987  4.62987013] ; [104.62987013  18.37012987],0
u3,1,0.04629,3.970992,[7 2] ; [24 33],[4.22727273 4.77272727] ; [26.77272727 30.22727273],0
b1,1,0.056989,3.622924,[22  9] ; [65 60],[17.28846154 13.71153846] ; [69.71153846 55.28846154],0
r3,1,0.058126,3.590057,[29  2] ; [97 26],[25.36363636  5.63636364] ; [100.63636364  22.36363636],0
d5,1,0.090604,2.863609,[25  6] ; [81 44],[21.06410256  9.93589744] ; [84.93589744 40.06410256],0
a3,1,0.103578,2.649573,[22  9] ; [68 56],[18. 13.] ; [72. 52.],0
b4,1,0.105672,2.617781,[23  8] ; [73 52],[19.07692308 11.92307692] ; [76.92307692 48.07692308],0
n2,1,0.109873,2.556042,[9 2] ; [25 20],[6.67857143 4.32142857] ; [27.32142857 17.67857143],0
v2,1,0.109949,2.554957,[17 13] ; [49 72],[13.11258278 16.88741722] ; [52.88741722 68.11258278],0
p2,1,0.116945,2.45777,[20 11] ; [61 64],[16.09615385 14.90384615] ; [64.90384615 60.09615385],0
p5,1,0.121815,2.393822,[ 3 28] ; [  4 120],[ 1.4 29.6] ; [  5.6 118.4],0
n4,1,0.148181,2.090879,[24  7] ; [79 45],[20.6 10.4] ; [82.4 41.6],0
p11,1,0.160167,1.972645,[19 12] ; [59 66],[15.5 15.5] ; [62.5 62.5],0
