Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.440059,0.596128,[10 13] ; [ 5 11],[ 8.84615385 14.15384615] ; [6.15384615 9.84615385],0
b3,1,0.440059,0.596128,[10 13] ; [ 5 11],[ 8.84615385 14.15384615] ; [6.15384615 9.84615385],0
d3,1,0.448869,0.573506,[32 12] ; [16  9],[30.60869565 13.39130435] ; [17.39130435  7.60869565],0
p8,1,0.458399,0.549802,[19 23] ; [ 9 16],[17.55223881 24.44776119] ; [10.44776119 14.55223881],0
d5,1,0.487626,0.481761,[38  6] ; [20  5],[36.98550725  7.01449275] ; [21.01449275  3.98550725],0
b4,1,0.53152,0.391484,[33 11] ; [17  8],[31.88405797 12.11594203] ; [18.11594203  6.88405797],0
b5,1,0.600848,0.273719,[24 20] ; [12 13],[22.95652174 21.04347826] ; [13.04347826 11.95652174],0
a7,1,0.677392,0.173076,[32 12] ; [17  8],[31.24637681 12.75362319] ; [17.75362319  7.24637681],0
n1,1,0.695895,0.152778,[5 7] ; [5 5],[5.45454545 6.54545455] ; [4.54545455 5.45454545],0
d1,1,0.698941,0.149576,[25 19] ; [13 12],[24.23188406 19.76811594] ; [13.76811594 11.23188406],0
v2,1,0.732927,0.116441,[23 21] ; [12 13],[22.31884058 21.68115942] ; [12.68115942 12.31884058],0
b1,1,0.740403,0.109773,[14 30] ; [ 7 18],[13.39130435 30.60869565] ; [ 7.60869565 17.39130435],0
p5,1,0.74861,0.102703,[ 4 38] ; [ 3 22],[ 4.3880597 37.6119403] ; [ 2.6119403 22.3880597],0
p4,1,0.801422,0.063256,[22 21] ; [12 13],[21.5 21.5] ; [12.5 12.5],0
r2,1,0.819053,0.052333,[41  3] ; [22  2],[40.76470588  3.23529412] ; [22.23529412  1.76470588],0
p2,1,0.842045,0.039712,[31 11] ; [19  6],[31.34328358 10.65671642] ; [18.65671642  6.34328358],0
n6,1,0.879104,0.023136,[30 13] ; [17  8],[29.72058824 13.27941176] ; [17.27941176  7.72058824],0
n4,1,0.926173,0.008586,[11 33] ; [ 6 19],[10.84057971 33.15942029] ; [ 6.15942029 18.84057971],0
v3,1,0.927161,0.008357,[13 30] ; [ 7 17],[12.8358209 30.1641791] ; [ 7.1641791 16.8358209],0
a4,1,0.941075,0.005464,[18 26] ; [10 15],[17.85507246 26.14492754] ; [10.14492754 14.85507246],0
p11,1,0.975903,0.000912,[28 16] ; [16  9],[28.05797101 15.94202899] ; [15.94202899  9.05797101],0
p1,1,0.990723,0.000135,[ 5 37] ; [ 3 22],[ 5.01492537 36.98507463] ; [ 2.98507463 22.01492537],0
