Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000404,12.513399,[11 61] ; [9 7],[16.36363636 55.63636364] ; [ 3.63636364 12.36363636],1
s7,1,0.000726,11.420381,[14 55] ; [10  6],[19.48235294 49.51764706] ; [ 4.51764706 11.48235294],1
s3,1,0.005023,7.871169,[34 42] ; [14  3],[39.22580645 36.77419355] ; [8.77419355 8.22580645],0
s2,1,0.008088,7.013882,[27 49] ; [12  5],[31.87096774 44.12903226] ; [7.12903226 9.87096774],0
a5,1,0.013746,6.070445,[43 33] ; [ 4 13],[38.40860215 37.59139785] ; [8.59139785 8.40860215],0
s5,1,0.0144,5.988445,[12 62] ; [7 9],[15.62222222 58.37777778] ; [ 3.37777778 12.62222222],0
s8,1,0.02319,5.154226,[19 57] ; [9 8],[22.88172043 53.11827957] ; [ 5.11827957 11.88172043],0
r1,1,0.028852,4.776399,[52 23] ; [ 7 10],[48.09782609 26.90217391] ; [10.90217391  6.09782609],0
p2,1,0.05505,3.680579,[43 32] ; [14  3],[46.4673913 28.5326087] ; [10.5326087  6.4673913],0
n1,1,0.055599,3.664033,[ 7 20] ; [5 3],[ 9.25714286 17.74285714] ; [2.74285714 5.25714286],0
s6,1,0.065264,3.3983,[33 43] ; [11  5],[36.34782609 39.65217391] ; [7.65217391 8.34782609],0
u3,1,0.099033,2.721056,[19 13] ; [8 1],[21.07317073 10.92682927] ; [5.92682927 3.07317073],0
v3,1,0.099189,2.718535,[18 54] ; [ 1 15],[15.54545455 56.45454545] ; [ 3.45454545 12.54545455],0
p1,1,0.141219,2.16463,[ 5 71] ; [ 3 14],[ 6.53763441 69.46236559] ; [ 1.46236559 15.53763441],0
d4,1,0.193407,1.691469,[55 20] ; [15  2],[57.06521739 17.93478261] ; [12.93478261  4.06521739],0
v2,1,0.271523,1.209038,[32 37] ; [ 5 11],[30.03529412 38.96470588] ; [6.96470588 9.03529412],0
n2,1,0.278272,1.17551,[15 13] ; [6 2],[16.33333333 11.66666667] ; [4.66666667 3.33333333],0
p3,1,0.302543,1.062953,[21 53] ; [ 7 10],[22.76923077 51.23076923] ; [ 5.23076923 11.76923077],0
v1,1,0.314254,1.012714,[32 43] ; [ 5 12],[30.16304348 44.83695652] ; [ 6.83695652 10.16304348],0
a2,1,0.33947,0.912431,[11 65] ; [ 1 16],[ 9.80645161 66.19354839] ; [ 2.19354839 14.80645161],0
b4,1,0.365822,0.817806,[40 36] ; [11  6],[41.67741935 34.32258065] ; [9.32258065 7.67741935],0
r2,1,0.380898,0.767802,[60 16] ; [15  2],[61.29032258 14.70967742] ; [13.70967742  3.29032258],0
b3,1,0.386336,0.750442,[11 31] ; [4 6],[12.11538462 29.88461538] ; [2.88461538 7.11538462],0
b2,1,0.386336,0.750442,[11 31] ; [4 6],[12.11538462 29.88461538] ; [2.88461538 7.11538462],0
d2,1,0.447943,0.575851,[24 52] ; [ 7 10],[25.33333333 50.66666667] ; [ 5.66666667 11.33333333],0
d5,1,0.451125,0.567823,[51 25] ; [13  4],[52.30107527 23.69892473] ; [11.69892473  5.30107527],0
u1,1,0.463782,0.536752,[ 5 71] ; [ 2 15],[ 5.72043011 70.27956989] ; [ 1.27956989 15.72043011],0
a3,1,0.475829,0.508407,[43 33] ; [8 9],[41.67741935 34.32258065] ; [9.32258065 7.67741935],0
p8,1,0.477638,0.504252,[32 42] ; [ 5 10],[30.76404494 43.23595506] ; [6.23595506 8.76404494],0
n3,1,0.486339,0.484615,[21  7] ; [5 3],[20.22222222  7.77777778] ; [5.77777778 2.22222222],0
a7,1,0.515846,0.42219,[51 25] ; [10  7],[49.84946237 26.15053763] ; [11.15053763  5.84946237],0
r3,1,0.570084,0.322542,[62 14] ; [14  2],[62.7826087 13.2173913] ; [13.2173913  2.7826087],0
a6,1,0.661902,0.191221,[49 27] ; [10  7],[48.21505376 27.78494624] ; [10.78494624  6.21505376],0
p10,1,0.702631,0.145749,[44 31] ; [8 7],[43.33333333 31.66666667] ; [8.66666667 6.33333333],0
b5,1,0.709204,0.139074,[44 32] ; [9 8],[43.31182796 32.68817204] ; [9.68817204 7.31182796],0
p11,1,0.750974,0.100714,[39 37] ; [8 9],[38.40860215 37.59139785] ; [8.59139785 8.40860215],0
a4,1,0.767059,0.087749,[24 52] ; [ 6 11],[24.51612903 51.48387097] ; [ 5.48387097 11.51612903],0
p9,1,0.769163,0.086124,[48 27] ; [9 6],[47.5 27.5] ; [9.5 5.5],0
r4,1,0.781235,0.077123,[51 25] ; [12  5],[51.48387097 24.51612903] ; [11.51612903  5.48387097],0
d1,1,0.78478,0.074581,[33 43] ; [8 9],[33.50537634 42.49462366] ; [7.49462366 9.50537634],0
n5,1,0.85431,0.033717,[19 55] ; [ 4 13],[18.7032967 55.2967033] ; [ 4.2967033 12.7032967],0
p7,1,0.890952,0.018796,[35 37] ; [7 8],[34.75862069 37.24137931] ; [7.24137931 7.75862069],0
b1,1,0.903511,0.014696,[39 37] ; [9 8],[39.22580645 36.77419355] ; [8.77419355 8.22580645],0
u2,1,0.905546,0.01408,[22 10] ; [6 3],[21.85365854 10.14634146] ; [6.14634146 2.85365854],0
d3,1,0.928828,0.007978,[45 30] ; [10  7],[44.83695652 30.16304348] ; [10.16304348  6.83695652],0
p4,1,0.961608,0.002317,[30 44] ; [ 7 10],[30.08791209 43.91208791] ; [ 6.91208791 10.08791209],0
v4,1,0.975419,0.000949,[62 13] ; [14  3],[61.95652174 13.04347826] ; [14.04347826  2.95652174],0
