Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,40.8,[63  9] ; [22 42],[45. 27.] ; [40. 24.],1
p7,1,0.0,28.548786,[61 11] ; [24 36],[46.36363636 25.63636364] ; [38.63636364 21.36363636],1
p6,1,0.000207,13.770344,[38 33] ; [14 49],[27.55223881 43.44776119] ; [24.44776119 38.55223881],1
p10,1,0.000465,12.250975,[64  8] ; [40 23],[55.46666667 16.53333333] ; [48.53333333 14.46666667],1
p2,1,0.000714,11.451438,[68  4] ; [47 17],[60.88235294 11.11764706] ; [54.11764706  9.88235294],1
p9,1,0.001596,9.963861,[65  7] ; [41 19],[57.81818182 14.18181818] ; [48.18181818 11.81818182],0
v3,1,0.003268,8.651309,[33 37] ; [14 48],[24.92424242 45.07575758] ; [22.07575758 39.92424242],0
p8,1,0.003622,8.464248,[43 29] ; [21 40],[34.64661654 37.35338346] ; [29.35338346 31.64661654],0
s1,1,0.009162,6.791038,[ 1 70] ; [ 8 55],[ 4.76865672 66.23134328] ; [ 4.23134328 58.76865672],0
p5,1,0.042503,4.115079,[11 61] ; [ 3 61],[ 7.41176471 64.58823529] ; [ 6.58823529 57.41176471],0
r4,1,0.050267,3.832528,[65  7] ; [50 14],[60.88235294 11.11764706] ; [54.11764706  9.88235294],0
s5,1,0.070241,3.277374,[31 39] ; [18 44],[25.98484848 44.01515152] ; [23.01515152 38.98484848],0
p11,1,0.07509,3.168097,[58 14] ; [43 21],[53.47058824 18.52941176] ; [47.52941176 16.47058824],0
p12,1,0.077801,3.110252,[ 6 66] ; [ 1 62],[ 3.73333333 68.26666667] ; [ 3.26666667 59.73333333],0
r3,1,0.092806,2.82502,[70  2] ; [56  6],[67.70149254  4.29850746] ; [58.29850746  3.70149254],0
n5,1,0.112382,2.520407,[55 16] ; [41 22],[50.86567164 20.13432836] ; [45.13432836 17.86567164],0
v4,1,0.137483,2.205907,[68  4] ; [54  8],[65.55223881  6.44776119] ; [56.44776119  5.55223881],0
v1,1,0.165519,1.923071,[36 35] ; [24 38],[32.03007519 38.96992481] ; [27.96992481 34.03007519],0
v2,1,0.181314,1.786821,[42 30] ; [29 33],[38.14925373 33.85074627] ; [32.85074627 29.14925373],0
d4,1,0.206431,1.596284,[62 10] ; [49 14],[59.2 12.8] ; [51.8 11.2],0
d3,1,0.210163,1.5703,[55 17] ; [42 21],[51.73333333 20.26666667] ; [45.26666667 17.73333333],0
d5,1,0.211989,1.557791,[60 12] ; [47 16],[57.06666667 14.93333333] ; [49.93333333 13.06666667],0
r1,1,0.230276,1.439153,[60 12] ; [48 16],[57.17647059 14.82352941] ; [50.82352941 13.17647059],0
n6,1,0.279255,1.17071,[61 11] ; [48 14],[58.56716418 13.43283582] ; [50.43283582 11.56716418],0
a4,1,0.293055,1.105532,[38 34] ; [28 36],[34.94117647 37.05882353] ; [31.05882353 32.94117647],0
n4,1,0.323135,0.976215,[60 12] ; [49 15],[57.70588235 14.29411765] ; [51.29411765 12.70588235],0
a6,1,0.340762,0.907563,[48 24] ; [37 26],[45.33333333 26.66666667] ; [39.66666667 23.33333333],0
s6,1,0.379147,0.773467,[53 18] ; [42 20],[50.71428571 20.28571429] ; [44.28571429 17.71428571],0
u3,1,0.392147,0.732274,[12  5] ; [9 7],[10.81818182  6.18181818] ; [10.18181818  5.81818182],0
b1,1,0.397104,0.717078,[31 41] ; [23 41],[28.58823529 43.41176471] ; [25.41176471 38.58823529],0
s4,1,0.427491,0.62963,[20 52] ; [14 50],[18. 54.] ; [16. 48.],0
p1,1,0.458524,0.549495,[ 7 65] ; [ 4 60],[ 5.82352941 66.17647059] ; [ 5.17647059 58.82352941],0
b4,1,0.458524,0.549495,[45 27] ; [36 28],[42.88235294 29.11764706] ; [38.11764706 25.88235294],0
u1,1,0.462526,0.539774,[16 56] ; [11 53],[14.29411765 57.70588235] ; [12.70588235 51.29411765],0
a2,1,0.4711,0.519394,[22 50] ; [16 48],[20.11764706 51.88235294] ; [17.88235294 46.11764706],0
n3,1,0.502927,0.448754,[5 4] ; [17  8],[5.82352941 3.17647059] ; [16.17647059  8.82352941],0
n1,1,0.502944,0.448718,[3 6] ; [12 14],[3.85714286 5.14285714] ; [11.14285714 14.85714286],0
d2,1,0.564987,0.331142,[39 33] ; [31 32],[37.33333333 34.66666667] ; [32.66666667 30.33333333],0
r2,1,0.607976,0.263133,[67  5] ; [59  3],[67.70149254  4.29850746] ; [58.29850746  3.70149254],0
a3,1,0.736677,0.113069,[55 16] ; [48 16],[54.17037037 16.82962963] ; [48.82962963 15.17037037],0
a8,1,0.752225,0.09967,[10 56] ; [10 48],[10.64516129 55.35483871] ; [ 9.35483871 48.64516129],0
u2,1,0.754725,0.097603,[10  7] ; [8 7],[9.5625 7.4375] ; [8.4375 6.5625],0
a1,1,0.819117,0.052295,[ 4 68] ; [ 3 61],[ 3.70588235 68.29411765] ; [ 3.29411765 60.70588235],0
a7,1,0.820359,0.051567,[53 19] ; [46 18],[52.41176471 19.58823529] ; [46.58823529 17.41176471],0
a5,1,0.820359,0.051567,[53 19] ; [46 18],[52.41176471 19.58823529] ; [46.58823529 17.41176471],0
n2,1,0.846667,0.037393,[7 2] ; [21  5],[7.2 1.8] ; [20.8  5.2],0
s2,1,0.901948,0.015179,[42 30] ; [38 26],[42.35294118 29.64705882] ; [37.64705882 26.35294118],0
d1,1,0.919077,0.010322,[40 32] ; [35 29],[39.70588235 32.29411765] ; [35.29411765 28.70588235],0
b5,1,0.951462,0.003705,[39 33] ; [35 29],[39.17647059 32.82352941] ; [34.82352941 29.17647059],0
s3,1,0.961619,0.002316,[45 27] ; [39 23],[45.13432836 26.86567164] ; [38.86567164 23.13432836],0
b2,1,0.976524,0.000866,[17 31] ; [15 27],[17.06666667 30.93333333] ; [14.93333333 27.06666667],0
b3,1,0.976524,0.000866,[17 31] ; [15 27],[17.06666667 30.93333333] ; [14.93333333 27.06666667],0
