Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.000983,10.858974,[20  4] ; [16 23],[13.71428571 10.28571429] ; [22.28571429 16.71428571],1
p2,1,0.003685,8.432945,[ 9 15] ; [29 10],[14.47619048  9.52380952] ; [23.52380952 15.47619048],0
p11,1,0.009463,6.733358,[10 14] ; [29 10],[14.85714286  9.14285714] ; [24.14285714 14.85714286],0
n5,1,0.013456,6.108173,[ 9 15] ; [27 12],[13.71428571 10.28571429] ; [22.28571429 16.71428571],0
n4,1,0.017564,5.639161,[ 8 16] ; [25 14],[12.57142857 11.42857143] ; [20.42857143 18.57142857],0
p4,1,0.021421,5.29222,[ 7 17] ; [23 16],[11.42857143 12.57142857] ; [18.57142857 20.42857143],0
r3,1,0.03925,4.250027,[13 11] ; [30  8],[16.64516129  7.35483871] ; [26.35483871 11.64516129],0
s5,1,0.046081,3.978647,[ 1 23] ; [ 9 30],[ 3.80952381 20.19047619] ; [ 6.19047619 32.80952381],0
a4,1,0.071089,3.257692,[10 14] ; [ 8 31],[ 6.85714286 17.14285714] ; [11.14285714 27.85714286],0
p3,1,0.077777,3.110744,[ 3 20] ; [13 26],[ 5.93548387 17.06451613] ; [10.06451613 28.93548387],0
p9,1,0.082119,3.022448,[11 12] ; [26 11],[14.18333333  8.81666667] ; [22.81666667 14.18333333],0
r4,1,0.100834,2.692308,[ 4 20] ; [14 25],[ 6.85714286 17.14285714] ; [11.14285714 27.85714286],0
a1,1,0.116281,2.466713,[ 3 21] ; [ 1 38],[ 1.52380952 22.47619048] ; [ 2.47619048 36.52380952],0
s2,1,0.131374,2.276198,[ 3 21] ; [11 27],[ 5.41935484 18.58064516] ; [ 8.58064516 29.41935484],0
s6,1,0.180784,1.791164,[ 7 17] ; [18 21],[ 9.52380952 14.47619048] ; [15.47619048 23.52380952],0
p10,1,0.195331,1.676946,[10 13] ; [23 15],[12.44262295 10.55737705] ; [20.55737705 17.44262295],0
d1,1,0.205811,1.600651,[ 5 19] ; [14 25],[ 7.23809524 16.76190476] ; [11.76190476 27.23809524],0
a7,1,0.207109,1.591521,[15  9] ; [18 21],[12.57142857 11.42857143] ; [20.42857143 18.57142857],0
s8,1,0.211734,1.559534,[ 4 20] ; [12 27],[ 6.0952381 17.9047619] ; [ 9.9047619 29.0952381],0
v3,1,0.211734,1.559534,[ 4 20] ; [12 27],[ 6.0952381 17.9047619] ; [ 9.9047619 29.0952381],0
p7,1,0.223129,1.484135,[13 11] ; [15 24],[10.66666667 13.33333333] ; [17.33333333 21.66666667],0
v4,1,0.223129,1.484135,[11 13] ; [24 15],[13.33333333 10.66666667] ; [21.66666667 17.33333333],0
b4,1,0.227807,1.454505,[13 11] ; [27 12],[15.23809524  8.76190476] ; [24.76190476 14.23809524],0
u2,1,0.231998,1.428571,[8 4] ; [ 8 10],[6.4 5.6] ; [9.6 8.4],0
d3,1,0.255653,1.292145,[10 14] ; [22 17],[12.19047619 11.80952381] ; [19.80952381 19.19047619],0
p12,1,0.255819,1.291245,[ 1 23] ; [ 5 34],[ 2.28571429 21.71428571] ; [ 3.71428571 35.28571429],0
b2,1,0.264617,1.244441,[ 3 11] ; [ 9 14],[4.54054054 9.45945946] ; [ 7.45945946 15.54054054],0
b3,1,0.264617,1.244441,[ 3 11] ; [ 9 14],[4.54054054 9.45945946] ; [ 7.45945946 15.54054054],0
n2,1,0.279426,1.169881,[5 6] ; [10  5],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
a2,1,0.29317,1.105007,[ 3 21] ; [ 2 37],[ 1.9047619 22.0952381] ; [ 3.0952381 35.9047619],0
s3,1,0.348769,0.877931,[ 8 15] ; [ 9 29],[ 6.40983607 16.59016393] ; [10.59016393 27.40983607],0
n1,1,0.352704,0.863705,[4 7] ; [ 3 12],[2.96153846 8.03846154] ; [ 4.03846154 10.96153846],0
d2,1,0.366862,0.814267,[ 6 18] ; [14 25],[ 7.61904762 16.38095238] ; [12.38095238 26.61904762],0
d5,1,0.368803,0.807692,[12 12] ; [24 15],[13.71428571 10.28571429] ; [22.28571429 16.71428571],0
s7,1,0.382193,0.763636,[ 3 17] ; [ 9 27],[ 4.28571429 15.71428571] ; [ 7.71428571 28.28571429],0
p1,1,0.385188,0.754078,[ 1 23] ; [ 4 35],[ 1.9047619 22.0952381] ; [ 3.0952381 35.9047619],0
d4,1,0.58208,0.302885,[15  9] ; [27 12],[16.  8.] ; [26. 13.],0
a5,1,0.585545,0.297355,[14 10] ; [20 19],[12.95238095 11.04761905] ; [21.04761905 17.95238095],0
v2,1,0.603856,0.269219,[ 7 15] ; [15 24],[ 7.93442623 14.06557377] ; [14.06557377 24.93442623],0
