Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,34.490499,[101  19] ; [38 46],[81.76470588 38.23529412] ; [57.23529412 26.76470588],1
v4,1,6e-05,16.098907,[109  10] ; [58 25],[98.38118812 20.61881188] ; [68.61881188 14.38118812],1
d4,1,0.000178,14.054716,[96 22] ; [48 36],[84.11881188 33.88118812] ; [59.88118812 24.11881188],1
d3,1,0.000338,12.844981,[83 37] ; [36 46],[70.69306931 49.30693069] ; [48.30693069 33.69306931],1
v2,1,0.000348,12.793749,[51 61] ; [17 65],[39.25773196 72.74226804] ; [28.74226804 53.25773196],1
r2,1,0.000382,12.616405,[109  10] ; [59 22],[99.96 19.04] ; [68.04 12.96],1
a5,1,0.000395,12.556913,[80 40] ; [35 49],[67.64705882 52.35294118] ; [47.35294118 36.64705882],1
r3,1,0.000712,11.458279,[105  14] ; [58 26],[95.55172414 23.44827586] ; [67.44827586 16.55172414],1
a7,1,0.00187,9.672571,[87 32] ; [43 40],[76.58415842 42.41584158] ; [53.41584158 29.58415842],0
u3,1,0.006704,7.350585,[22 20] ; [ 9 30],[16.07407407 25.92592593] ; [14.92592593 24.07407407],0
d1,1,0.012967,6.173551,[64 56] ; [30 54],[55.29411765 64.70588235] ; [38.70588235 45.29411765],0
p11,1,0.014929,5.92483,[83 37] ; [44 40],[74.70588235 45.29411765] ; [52.29411765 31.70588235],0
p10,1,0.017502,5.64537,[78 42] ; [39 42],[69.85074627 50.14925373] ; [47.14925373 33.85074627],0
a2,1,0.059,3.565286,[23 97] ; [ 8 76],[ 18.23529412 101.76470588] ; [12.76470588 71.23529412],0
p1,1,0.069668,3.290831,[  6 113] ; [10 73],[  9.42574257 109.57425743] ; [ 6.57425743 76.42574257],0
b2,1,0.072827,3.21813,[18 48] ; [22 29],[22.56410256 43.43589744] ; [17.43589744 33.56410256],0
b3,1,0.072827,3.21813,[18 48] ; [22 29],[22.56410256 43.43589744] ; [17.43589744 33.56410256],0
a3,1,0.085502,2.957079,[78 41] ; [45 39],[72.10344828 46.89655172] ; [50.89655172 33.10344828],0
a6,1,0.093171,2.818721,[81 39] ; [47 37],[75.29411765 44.70588235] ; [52.70588235 31.29411765],0
d5,1,0.105785,2.616082,[88 32] ; [52 31],[82.75862069 37.24137931] ; [57.24137931 25.75862069],0
u2,1,0.11436,2.492911,[23 18] ; [15 24],[19.475 21.525] ; [18.525 20.475],0
v3,1,0.115905,2.471805,[30 84] ; [14 69],[25.46192893 88.53807107] ; [18.53807107 64.46192893],0
s4,1,0.122551,2.384416,[  7 113] ; [10 74],[ 10. 110.] ; [ 7. 77.],0
a4,1,0.167632,1.903993,[49 71] ; [26 57],[44.33497537 75.66502463] ; [30.66502463 52.33497537],0
p7,1,0.17564,1.83413,[56 62] ; [31 51],[51.33 66.67] ; [35.67 46.33],0
s7,1,0.194338,1.684422,[25 86] ; [12 68],[21.5026178 89.4973822] ; [15.4973822 64.5026178],0
p2,1,0.219838,1.505429,[79 41] ; [47 35],[74.85148515 45.14851485] ; [51.14851485 30.85148515],0
p8,1,0.225715,1.46766,[45 75] ; [24 58],[40.99009901 79.00990099] ; [28.00990099 53.99009901],0
s5,1,0.25264,1.308646,[ 11 106] ; [ 4 76],[  8.90862944 108.09137056] ; [ 6.09137056 73.90862944],0
n4,1,0.275527,1.189021,[79 41] ; [49 35],[75.29411765 44.70588235] ; [52.70588235 31.29411765],0
b5,1,0.29021,1.118646,[61 59] ; [49 35],[64.70588235 55.29411765] ; [45.29411765 38.70588235],0
n5,1,0.333196,0.936437,[65 53] ; [52 32],[68.34653465 49.65346535] ; [48.65346535 35.34653465],0
a1,1,0.369986,0.803712,[  4 116] ; [ 5 79],[  5.29411765 114.70588235] ; [ 3.70588235 80.29411765],0
p6,1,0.381939,0.764453,[21 99] ; [18 62],[23.4 96.6] ; [15.6 64.4],0
u1,1,0.400679,0.706288,[ 11 109] ; [ 5 79],[  9.41176471 110.58823529] ; [ 6.58823529 77.41176471],0
p3,1,0.488522,0.479779,[35 84] ; [21 63],[32.82758621 86.17241379] ; [23.17241379 60.82758621],0
s1,1,0.493265,0.469397,[  5 114] ; [ 2 81],[  4.12376238 114.87623762] ; [ 2.87623762 80.12376238],0
b4,1,0.612229,0.256941,[70 50] ; [46 38],[68.23529412 51.76470588] ; [47.76470588 36.23529412],0
n3,1,0.615412,0.252369,[23 16] ; [22 12],[24.04109589 14.95890411] ; [20.95890411 13.04109589],0
p4,1,0.660599,0.192797,[39 79] ; [25 58],[37.5721393 80.4278607] ; [26.4278607 56.5721393],0
n1,1,0.687498,0.161808,[15 27] ; [10 22],[14.18918919 27.81081081] ; [10.81081081 21.18918919],0
p5,1,0.69881,0.149713,[  2 118] ; [ 2 80],[  2.37623762 117.62376238] ; [ 1.62376238 80.37623762],0
s3,1,0.702239,0.146153,[31 89] ; [19 62],[29.85074627 90.14925373] ; [20.14925373 60.85074627],0
d2,1,0.712002,0.136286,[51 68] ; [33 49],[49.73134328 69.26865672] ; [34.26865672 47.73134328],0
a8,1,0.713647,0.134661,[ 9 99] ; [ 8 73],[ 9.71428571 98.28571429] ; [ 7.28571429 73.71428571],0
b1,1,0.77292,0.083265,[49 71] ; [36 48],[50. 70.] ; [35. 49.],0
n2,1,0.784663,0.074664,[26 16] ; [20 14],[25.42105263 16.57894737] ; [20.57894737 13.42105263],0
p12,1,0.798879,0.064922,[  1 119] ; [ 1 83],[  1.17647059 118.82352941] ; [ 0.82352941 83.17647059],0
