Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,7.5e-05,15.681958,[ 2 28] ; [28 29],[10.34482759 19.65517241] ; [19.65517241 37.34482759],1
d3,1,0.012568,6.228857,[12 18] ; [38 18],[17.44186047 12.55813953] ; [32.55813953 23.44186047],0
d4,1,0.021707,5.269154,[16 13] ; [45 12],[20.56976744  8.43023256] ; [40.43023256 16.56976744],0
p3,1,0.024604,5.051532,[ 5 25] ; [23 34],[ 9.65517241 20.34482759] ; [18.34482759 38.65517241],0
a8,1,0.027439,4.862988,[ 4 24] ; [ 1 52],[ 1.72839506 26.27160494] ; [ 3.27160494 49.72839506],0
v4,1,0.02768,4.847884,[24  5] ; [55  2],[26.63953488  2.36046512] ; [52.36046512  4.63953488],0
r1,1,0.042346,4.121316,[15 15] ; [41 16],[19.31034483 10.68965517] ; [36.68965517 20.31034483],0
a3,1,0.048083,3.907097,[14 16] ; [39 18],[18.27586207 11.72413793] ; [34.72413793 22.27586207],0
r2,1,0.051492,3.792193,[22  8] ; [51  6],[25.17241379  4.82758621] ; [47.82758621  9.17241379],0
a5,1,0.076389,3.140096,[13 17] ; [36 21],[16.89655172 13.10344828] ; [32.10344828 24.89655172],0
a6,1,0.082818,3.008717,[16 14] ; [41 16],[19.65517241 10.34482759] ; [37.34482759 19.65517241],0
p9,1,0.088705,2.897727,[21  9] ; [47  8],[24.  6.] ; [44. 11.],0
u2,1,0.089,2.892361,[ 6 10] ; [12  6],[8.47058824 7.52941176] ; [9.52941176 8.47058824],0
r4,1,0.096174,2.767871,[20 10] ; [47 10],[23.10344828  6.89655172] ; [43.89655172 13.10344828],0
a7,1,0.118968,2.430851,[16 14] ; [40 17],[19.31034483 10.68965517] ; [36.68965517 20.31034483],0
b4,1,0.208176,1.584068,[20 10] ; [30 27],[17.24137931 12.75862069] ; [32.75862069 24.24137931],0
v2,1,0.225685,1.467851,[11 18] ; [28 26],[13.62650602 15.37349398] ; [25.37349398 28.62650602],0
r3,1,0.236239,1.402896,[24  6] ; [50  6],[25.81395349  4.18604651] ; [48.18604651  7.81395349],0
p4,1,0.334015,0.93327,[12 18] ; [29 28],[14.13793103 15.86206897] ; [26.86206897 30.13793103],0
p2,1,0.384237,0.757101,[20 10] ; [43 14],[21.72413793  8.27586207] ; [41.27586207 15.72413793],0
p6,1,0.385245,0.753896,[ 6 24] ; [16 40],[ 7.6744186 22.3255814] ; [14.3255814 41.6744186],0
b1,1,0.388416,0.743895,[15 15] ; [23 34],[13.10344828 16.89655172] ; [24.89655172 32.10344828],0
n1,1,0.391504,0.734266,[4 9] ; [ 4 18],[ 2.97142857 10.02857143] ; [ 5.02857143 16.97142857],0
p7,1,0.408992,0.681729,[15 14] ; [33 21],[16.77108434 12.22891566] ; [31.22891566 22.77108434],0
b5,1,0.451208,0.567615,[17 13] ; [37 20],[18.62068966 11.37931034] ; [35.37931034 21.62068966],0
n3,1,0.452461,0.564479,[9 4] ; [13 10],[7.94444444 5.05555556] ; [14.05555556  8.94444444],0
s2,1,0.474856,0.510653,[11 19] ; [25 31],[12.55813953 17.44186047] ; [23.44186047 32.55813953],0
p5,1,0.480634,0.497425,[ 2 27] ; [ 2 55],[ 1.34883721 27.65116279] ; [ 2.65116279 54.34883721],0
u3,1,0.491967,0.472222,[7 9] ; [10  8],[8. 8.] ; [9. 9.],0
