Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,78.1622,[176  38] ; [145 184],[126.50828729  87.49171271] ; [194.49171271 134.50828729],1
v1,1,0.0,32.371794,[146  70] ; [141 189],[113.53846154 102.46153846] ; [173.46153846 156.53846154],1
p12,1,2.1e-05,18.137182,[ 33 182] ; [ 16 320],[ 19.11978221 195.88021779] ; [ 29.88021779 306.11978221],1
s8,1,7.7e-05,15.635232,[112 101] ; [120 218],[ 89.68421053 123.31578947] ; [142.31578947 195.68421053],1
s7,1,0.000339,12.841613,[117  87] ; [134 190],[ 96.97727273 107.02272727] ; [154.02272727 169.97727273],1
d1,1,0.000907,11.008299,[171  46] ; [222 116],[153.65945946  63.34054054] ; [239.34054054  98.65945946],1
d2,1,0.002766,8.955405,[131  85] ; [161 177],[113.84837545 102.15162455] ; [178.15162455 159.84837545],0
n5,1,0.004356,8.12921,[168  47] ; [224 111],[153.23636364  61.76363636] ; [238.76363636  96.23636364],0
a2,1,0.005008,7.876454,[ 83 134] ; [ 91 247],[ 68.03243243 148.96756757] ; [105.96756757 232.03243243],0
n6,1,0.005332,7.763387,[191  24] ; [268  68],[179.10163339  35.89836661] ; [279.89836661  56.10163339],0
p5,1,0.00688,7.304035,[ 34 182] ; [ 28 309],[ 24.21699819 191.78300181] ; [ 37.78300181 299.21699819],0
a4,1,0.007004,7.271833,[118  98] ; [145 193],[102.54151625 113.45848375] ; [160.45848375 177.54151625],0
p1,1,0.013445,6.109589,[ 23 193] ; [ 17 319],[ 15.65217391 200.34782609] ; [ 24.34782609 311.65217391],0
r3,1,0.015014,5.91481,[212   4] ; [314  21],[206.19963702   9.80036298] ; [319.80036298  15.19963702],0
n4,1,0.022161,5.233128,[175  41] ; [245  93],[163.75451264  52.24548736] ; [256.24548736  81.75451264],0
p3,1,0.022285,5.223417,[117  99] ; [149 188],[103.89873418 112.10126582] ; [162.10126582 174.89873418],0
p10,1,0.023622,5.122142,[182  31] ; [260  75],[171.79927007  41.20072993] ; [270.20072993  64.79927007],0
r4,1,0.029027,4.766013,[202  15] ; [295  43],[194.32252252  22.67747748] ; [302.67747748  35.32252252],0
s4,1,0.031224,4.640588,[ 26 187] ; [ 64 269],[ 35.10989011 177.89010989] ; [ 54.89010989 278.10989011],0
u4,1,0.036075,4.393553,[  6 211] ; [  2 336],[  3.12792793 213.87207207] ; [  4.87207207 333.12792793],0
a1,1,0.044649,4.031846,[ 16 201] ; [ 12 326],[ 10.94774775 206.05225225] ; [ 17.05225225 320.94774775],0
u1,1,0.052638,3.755361,[ 64 153] ; [ 75 263],[ 54.34774775 162.65225225] ; [ 84.65225225 253.34774775],0
d3,1,0.05695,3.624046,[192  25] ; [279  59],[184.15675676  32.84324324] ; [286.84324324  51.15675676],0
p8,1,0.061084,3.507718,[123  90] ; [166 169],[112.33029197 100.66970803] ; [176.66970803 158.33029197],0
s5,1,0.068796,3.311512,[ 79 129] ; [ 99 227],[ 69.33333333 138.66666667] ; [108.66666667 217.33333333],0
p4,1,0.100312,2.700582,[137  77] ; [192 145],[127.77858439  86.22141561] ; [201.22141561 135.77858439],0
r2,1,0.101686,2.678903,[210   7] ; [308  21],[205.87179487  11.12820513] ; [312.12820513  16.87179487],0
a3,1,0.112435,2.519662,[167  48] ; [242  96],[159.01446655  55.98553345] ; [249.98553345  88.01446655],0
p11,1,0.11289,2.51329,[175  42] ; [253  85],[167.34414414  49.65585586] ; [260.65585586  77.34414414],0
s2,1,0.114335,2.493252,[119  94] ; [165 172],[109.98545455 103.01454545] ; [174.01454545 162.98545455],0
v4,1,0.115086,2.482956,[209   6] ; [317  19],[205.24500907   9.75499093] ; [320.75499093  15.24500907],0
p9,1,0.141758,2.158767,[182  29] ; [272  62],[175.76880734  35.23119266] ; [278.23119266  55.76880734],0
b4,1,0.165911,1.91951,[143  74] ; [203 135],[135.28288288  81.71711712] ; [210.71711712 127.28288288],0
r1,1,0.192015,1.702092,[183  33] ; [270  66],[177.26086957  38.73913043] ; [275.73913043  60.26086957],0
p2,1,0.229327,1.445031,[186  30] ; [278  60],[180.90974729  35.09025271] ; [283.09025271  54.90974729],0
p7,1,0.232597,1.424912,[135  74] ; [195 133],[128.43575419  80.56424581] ; [201.56424581 126.43575419],0
s1,1,0.257585,1.281693,[  4 207] ; [ 12 324],[  6.17184644 204.82815356] ; [  9.82815356 326.17184644],0
s6,1,0.258653,1.275952,[148  61] ; [223 114],[142.01282051  66.98717949] ; [228.98717949 108.01282051],0
d5,1,0.306475,1.045807,[195  22] ; [294  44],[191.19459459  25.80540541] ; [297.80540541  40.19459459],0
b1,1,0.383235,0.7603,[ 73 144] ; [126 212],[ 77.80720721 139.19279279] ; [121.19279279 216.80720721],0
a5,1,0.414785,0.665043,[169  48] ; [253  85],[164.9981982  52.0018018] ; [257.0018018  80.9981982],0
n1,1,0.426885,0.631284,[13 30] ; [31 52],[15.01587302 27.98412698] ; [28.98412698 54.01587302],0
u2,1,0.50373,0.447069,[32 17] ; [56 38],[30.15384615 18.84615385] ; [57.84615385 36.15384615],0
b3,1,0.509746,0.434588,[52 82] ; [ 68 125],[49.17431193 84.82568807] ; [ 70.82568807 122.17431193],0
b2,1,0.509746,0.434588,[52 82] ; [ 68 125],[49.17431193 84.82568807] ; [ 70.82568807 122.17431193],0
s3,1,0.575448,0.313652,[118  91] ; [182 155],[114.83516484  94.16483516] ; [185.16483516 151.83516484],0
n3,1,0.58796,0.293541,[31 15] ; [59 23],[32.34375 13.65625] ; [57.65625 24.34375],0
n2,1,0.598198,0.277723,[34 12] ; [57 25],[32.703125 13.296875] ; [58.296875 23.703125],0
a8,1,0.603761,0.269361,[ 31 156] ; [ 46 264],[ 28.97183099 158.02816901] ; [ 48.02816901 261.97183099],0
p6,1,0.80932,0.058227,[ 79 132] ; [122 213],[ 77.67582418 133.32417582] ; [123.32417582 211.67582418],0
u3,1,0.946902,0.004435,[31 18] ; [60 34],[31.18181818 17.81818182] ; [59.81818182 34.18181818],0
a6,1,0.961163,0.002371,[171  45] ; [267  71],[170.77256318  45.22743682] ; [267.22743682  70.77256318],0
b5,1,0.989747,0.000165,[142  75] ; [221 117],[141.92972973  75.07027027] ; [221.07027027 116.92972973],0
