Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.000569,11.874309,[73  8] ; [30 16],[65.69291339 15.30708661] ; [37.30708661  8.69291339],1
v4,1,0.000759,11.339308,[80  1] ; [39  8],[75.3046875  5.6953125] ; [43.6953125  3.3046875],1
p10,1,0.002014,9.537093,[66 15] ; [27 21],[58.39534884 22.60465116] ; [34.60465116 13.39534884],0
s2,1,0.008333,6.96042,[62 19] ; [26 22],[55.25581395 25.74418605] ; [32.74418605 15.25581395],0
s6,1,0.012944,6.176813,[70 11] ; [32 15],[64.546875 16.453125] ; [37.453125  9.546875],0
d5,1,0.017641,5.631426,[71 10] ; [34 14],[65.93023256 15.06976744] ; [39.06976744  8.93023256],0
v3,1,0.021139,5.315286,[33 42] ; [11 36],[27.04918033 47.95081967] ; [16.95081967 30.04918033],0
u3,1,0.029727,4.725,[14  2] ; [6 6],[11.42857143  4.57142857] ; [8.57142857 3.42857143],0
p3,1,0.033902,4.499615,[34 47] ; [11 36],[28.4765625 52.5234375] ; [16.5234375 30.4765625],0
s3,1,0.035588,4.416744,[61 20] ; [27 20],[55.6875 25.3125] ; [32.3125 14.6875],0
r4,1,0.038885,4.265873,[72  9] ; [36 12],[67.81395349 13.18604651] ; [40.18604651  7.81395349],0
n5,1,0.04874,3.884301,[65 16] ; [31 17],[60.27906977 20.72093023] ; [35.72093023 12.27906977],0
r1,1,0.066258,3.373379,[67 14] ; [33 15],[62.79069767 18.20930233] ; [37.20930233 10.79069767],0
p12,1,0.067915,3.332708,[ 9 72] ; [ 1 46],[ 6.328125 74.671875] ; [ 3.671875 43.328125],0
p6,1,0.072678,3.221481,[23 58] ; [ 7 41],[18.8372093 62.1627907] ; [11.1627907 36.8372093],0
a6,1,0.073579,3.201309,[55 26] ; [25 23],[50.23255814 30.76744186] ; [29.76744186 18.23255814],0
d1,1,0.087701,2.916068,[56 25] ; [26 22],[51.48837209 29.51162791] ; [30.51162791 17.48837209],0
a2,1,0.129189,2.302218,[27 54] ; [10 38],[23.23255814 57.76744186] ; [13.76744186 34.23255814],0
u1,1,0.131155,2.278782,[25 56] ; [ 9 39],[21.34883721 59.65116279] ; [12.65116279 35.34883721],0
d2,1,0.157385,1.999171,[54 27] ; [26 22],[50.23255814 30.76744186] ; [29.76744186 18.23255814],0
v2,1,0.173182,1.855185,[43 35] ; [20 27],[39.312 38.688] ; [23.688 23.312],0
n6,1,0.179783,1.799414,[71 10] ; [37 10],[68.34375 12.65625] ; [39.65625  7.34375],0
u2,1,0.193931,1.6875,[10  5] ; [5 7],[8.33333333 6.66666667] ; [6.66666667 5.33333333],0
p4,1,0.209763,1.573059,[43 38] ; [20 28],[39.55813953 41.44186047] ; [23.44186047 24.55813953],0
n1,1,0.276162,1.185882,[16  9] ; [8 9],[14.28571429 10.71428571] ; [9.71428571 7.28571429],0
s5,1,0.306068,1.047565,[28 47] ; [13 33],[25.41322314 49.58677686] ; [15.58677686 30.41322314],0
a7,1,0.356487,0.850233,[57 24] ; [30 18],[54.62790698 26.37209302] ; [32.37209302 15.62790698],0
s1,1,0.36417,0.823461,[ 5 76] ; [ 5 42],[ 6.328125 74.671875] ; [ 3.671875 43.328125],0
