Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,36.340089,[283  52] ; [22 25],[267.47382199  67.52617801] ; [37.52617801  9.47382199],1
n4,1,0.0,29.991631,[284  51] ; [24 23],[270.10471204  64.89528796] ; [37.89528796  9.10471204],1
r2,1,0.0,25.937089,[319  11] ; [36 10],[311.56914894  18.43085106] ; [43.43085106  2.56914894],1
p9,1,2e-05,18.235084,[304  29] ; [33 14],[295.31842105  37.68157895] ; [41.68157895  5.31842105],1
r4,1,4.9e-05,16.47212,[318  17] ; [37 10],[311.32198953  23.67801047] ; [43.67801047  3.32198953],1
b1,1,0.000154,14.319281,[124 211] ; [31 16],[135.92931937 199.07068063] ; [19.07068063 27.92931937],1
d4,1,0.000948,10.927305,[285  49] ; [31 16],[277.0183727  56.9816273] ; [38.9816273  8.0183727],1
p10,1,0.001852,9.690344,[301  33] ; [35 12],[294.5511811  39.4488189] ; [41.4488189  5.5511811],0
s7,1,0.003867,8.345114,[182 136] ; [15 29],[173.05524862 144.94475138] ; [23.94475138 20.05524862],0
d1,1,0.004945,7.899589,[214 121] ; [20 27],[205.20942408 129.79057592] ; [28.79057592 18.20942408],0
a5,1,0.005144,7.828077,[262  73] ; [28 19],[254.31937173  80.68062827] ; [35.68062827 11.31937173],0
a3,1,0.006123,7.513605,[248  85] ; [26 21],[240.11052632  92.88947368] ; [33.88947368 13.11052632],0
s2,1,0.014215,6.011221,[180 153] ; [16 30],[172.21108179 160.78891821] ; [23.78891821 22.21108179],0
u1,1,0.014283,6.002875,[ 62 273] ; [ 2 45],[ 56.12565445 278.87434555] ; [ 7.87434555 39.12565445],0
u2,1,0.016643,5.733624,[41 46] ; [16  5],[45.91666667 41.08333333] ; [11.08333333  9.91666667],0
v1,1,0.01757,5.638491,[204 126] ; [20 26],[196.59574468 133.40425532] ; [27.40425532 18.59574468],0
s5,1,0.018705,5.528869,[140 181] ; [12 35],[132.58695652 188.41304348] ; [19.41304348 27.58695652],0
p5,1,0.023837,5.106433,[ 67 268] ; [ 3 44],[ 61.38743455 273.61256545] ; [ 8.61256545 38.38743455],0
d2,1,0.025745,4.973042,[165 170] ; [15 32],[157.85340314 177.14659686] ; [22.14659686 24.85340314],0
p2,1,0.025898,4.962814,[314  20] ; [40  7],[310.33070866  23.66929134] ; [43.66929134  3.33070866],0
b3,1,0.025925,4.961015,[ 81 124] ; [ 5 23],[ 75.66523605 129.33476395] ; [10.33476395 17.66523605],0
b2,1,0.025925,4.961015,[ 81 124] ; [ 5 23],[ 75.66523605 129.33476395] ; [10.33476395 17.66523605],0
v3,1,0.02852,4.796337,[151 176] ; [13 32],[144.16129032 182.83870968] ; [19.83870968 25.16129032],0
p11,1,0.031039,4.650793,[300  35] ; [37 10],[295.53664921  39.46335079] ; [41.46335079  5.53664921],0
p3,1,0.050502,3.824719,[233 102] ; [26 21],[227.13350785 107.86649215] ; [31.86649215 15.13350785],0
a4,1,0.05446,3.698531,[149 185] ; [14 33],[142.89238845 191.10761155] ; [20.10761155 26.89238845],0
b5,1,0.063698,3.438371,[180 155] ; [32 15],[185.91623037 149.08376963] ; [26.08376963 20.91623037],0
s8,1,0.067269,3.348434,[175 158] ; [18 29],[169.12894737 163.87105263] ; [23.87105263 23.12894737],0
a8,1,0.090834,2.859536,[ 51 255] ; [ 3 41],[ 47.21142857 258.78857143] ; [ 6.78857143 37.21142857],0
v4,1,0.118757,2.433635,[325   8] ; [43  3],[323.33509235   9.66490765] ; [44.66490765  1.33509235],0
p12,1,0.135874,2.224077,[ 38 296] ; [ 2 45],[ 35.0656168 298.9343832] ; [ 4.9343832 42.0656168],0
p6,1,0.149068,2.081765,[186 147] ; [20 25],[181.47619048 151.52380952] ; [24.52380952 20.47619048],0
b4,1,0.174231,1.846157,[192 143] ; [22 25],[187.67015707 147.32984293] ; [26.32984293 20.67015707],0
d3,1,0.215734,1.532521,[243  92] ; [30 17],[239.41099476  95.58900524] ; [33.58900524 13.41099476],0
p4,1,0.220916,1.498411,[262  73] ; [33 14],[258.70418848  76.29581152] ; [36.29581152 10.70418848],0
p1,1,0.234342,1.414313,[ 41 292] ; [ 3 44],[ 38.55789474 294.44210526] ; [ 5.44210526 41.55789474],0
